"","perl_cutting_edge_programming_language","perl_encouraged_at_workplace","perl_good_language_for_startup","perl_easy_to_maintain","perl_code_scales_well","management_encourages_perl_for_new_projects","management_views_perl_as_cutting_edge","management_views_perl_as_easy_to_maintain","management_thinks_perl_scales_well","perl_good_first_programming_language","perl_good_tool_for_beginners","perl_good_tool_early_career_programmers","perl_good_tool_experienced_programmers","perl_good_tool_system_administrators","perl_good_tool_network_engineers","perl_good_tool_embedded_systems_programmers","perl_good_tool_applications_programmers"
"87",4,3,5,4,4,3,2,2,2,4,4,3,6,6,6,5,5
"88",6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7
"89",6,5,6,6,6,5,5,5,5,6,6,7,7,7,6,7,6
"90",4,7,6,1,6,7,6,6,6,5,6,6,7,7,7,1,6
"91",5,1,6,6,6,1,1,1,1,7,7,7,7,7,7,3,5
"92",5,2,5,5,6,2,2,2,2,3,5,5,6,7,7,3,6
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",7,5,7,7,6,6,6,4,1,6,7,6,7,7,7,1,4
"95",4,4,3,2,3,4,5,4,4,4,3,4,5,6,6,4,5
"96",3,4,7,7,6,1,1,1,1,7,7,7,7,7,7,1,7
"97",6,1,7,7,7,1,1,1,1,7,7,7,7,7,6,1,6
"98",5,1,6,4,4,1,1,1,1,6,6,6,6,7,7,4,5
"99",5,5,2,3,3,3,3,3,3,3,2,4,4,7,4,3,6
"100",2,2,2,2,2,7,7,7,7,2,2,2,2,2,2,2,2
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",6,7,4,5,5,7,6,7,6,4,4,4,6,7,7,3,3
"104",7,6,6,6,7,7,6,6,6,7,7,7,6,5,5,5,6
"105",4,4,5,3,4,2,2,2,2,5,4,4,5,7,7,3,6
"106",5,7,7,6,6,7,5,6,6,7,7,7,7,7,7,5,7
"107",3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
"108",6,7,6,5,6,7,1,1,1,4,4,6,7,7,7,6,5
"109",5,7,NA,7,7,7,7,7,7,7,7,7,7,7,NA,1,7
"110",NA,6,6,6,NA,NA,NA,NA,NA,6,5,NA,6,7,5,3,4
"111",5,5,4,4,6,4,3,3,3,2,6,6,7,6,6,3,4
"112",4,7,5,5,6,1,1,1,1,NA,3,1,7,6,1,1,1
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",6,6,5,6,6,5,5,5,5,6,6,6,6,6,6,5,6
"115",5,7,5,6,5,7,6,7,7,7,7,7,7,7,7,4,6
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",4,5,5,6,3,4,3,4,5,6,5,5,6,7,7,3,4
"118",7,3,5,6,6,3,2,2,2,7,7,7,7,7,7,7,4
"119",3,5,3,6,5,5,6,6,6,3,3,3,5,6,6,1,3
"120",6,2,6,5,5,2,2,2,2,6,6,6,6,1,1,1,6
"121",5,6,4,4,4,1,1,1,1,4,6,6,6,6,1,1,5
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",3,1,4,4,3,1,1,1,1,4,5,6,6,7,7,1,3
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",5,3,5,3,4,3,2,2,2,3,4,4,6,7,7,7,7
"126",5,7,7,7,7,7,5,6,6,5,5,6,6,7,7,1,7
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",6,7,6,6,6,6,6,1,1,6,6,6,6,6,1,2,3
"129",6,6,6,5,6,6,NA,NA,NA,4,4,6,6,6,6,NA,6
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1,7,1,6,6,1,1,1,1,NA,NA,4,7,5,5,2,7
"134",4,1,1,6,1,1,1,1,1,4,6,7,7,7,6,1,7
"135",3,2,2,2,5,2,2,2,5,2,2,2,6,6,6,3,2
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",6,7,7,6,7,7,6,6,7,5,5,6,7,7,7,3,7
"138",7,7,7,7,6,7,6,6,6,7,7,7,7,7,7,5,7
"139",4,6,5,4,5,6,3,5,5,2,2,4,6,7,7,6,5
"140",2,2,4,3,1,2,2,2,2,3,3,4,6,6,6,2,2
"141",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",7,6,6,4,3,5,6,3,3,6,7,7,7,7,6,1,7
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",5,4,7,7,7,4,1,4,1,7,7,7,7,7,7,7,7
"146",7,5,7,7,5,NA,1,1,1,7,7,7,7,7,7,5,7
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",5,4,4,3,3,3,3,3,4,4,5,6,7,7,7,5,6
"149",5,4,4,5,5,3,3,1,1,3,3,4,6,6,5,3,5
"150",6,7,6,7,7,7,5,5,6,4,5,5,7,7,7,5,5
"151",3,2,3,2,2,2,2,2,2,2,3,4,7,7,6,5,5
"152",5,4,4,6,6,1,1,1,1,3,4,6,6,7,7,5,5
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",6,1,6,6,6,1,1,1,1,5,5,5,7,7,1,1,1
"155",5,3,5,3,5,3,2,2,2,5,5,6,6,7,6,6,5
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",3,4,3,4,5,3,3,NA,4,2,2,3,5,7,6,3,5
"158",1,6,6,6,1,4,2,1,1,3,7,7,7,7,7,1,5
"159",7,7,6,6,1,7,7,6,1,7,7,7,7,7,7,1,1
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2,2,3,3,3,1,1,1,2,2,2,6,6,6,3,3,6
"162",5,3,5,5,5,2,2,4,4,5,5,5,6,6,6,5,5
"163",5,5,6,6,6,5,1,4,1,4,5,6,7,7,7,4,6
"164",2,5,5,6,6,6,2,5,6,5,6,5,6,6,6,5,5
"165",2,6,4,2,5,4,3,4,1,3,3,4,6,7,1,1,3
"166",7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,1,7
"167",7,3,7,6,2,2,3,3,3,7,7,7,7,7,6,5,5
"168",7,6,7,7,7,1,1,1,1,6,6,6,7,7,7,1,2
"169",6,6,6,4,5,5,5,4,4,5,5,6,6,7,5,5,6
"170",7,5,1,6,7,5,5,5,5,1,1,6,7,7,7,2,6
"171",5,6,5,5,5,6,5,5,5,6,6,3,6,6,6,3,5
"172",6,7,3,5,3,7,3,3,3,2,2,2,6,6,5,1,2
"173",7,7,5,6,NA,3,2,3,2,5,6,7,7,7,7,2,6
"174",7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",5,3,5,6,5,1,1,1,1,5,5,5,6,7,7,5,3
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",5,6,5,6,7,4,3,3,5,7,7,7,7,7,7,4,4
"181",5,1,6,6,5,1,1,1,1,3,4,4,5,5,5,1,5
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",2,2,2,6,6,1,1,1,1,2,2,2,2,2,2,1,1
"184",5,7,6,6,5,7,5,5,5,4,4,7,7,7,1,1,1
"185",5,5,6,4,1,3,3,2,1,6,6,6,6,6,6,1,5
"186",4,5,1,5,3,1,3,5,1,5,5,6,7,7,7,6,6
"187",6,7,5,7,7,7,6,5,6,6,5,6,7,7,7,3,7
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",3,6,3,5,5,5,2,5,6,3,3,4,6,7,1,1,6
"193",4,1,4,6,6,1,1,1,1,3,3,3,6,6,6,3,6
"194",6,7,6,5,1,6,6,6,6,6,6,6,6,6,1,1,1
"195",7,7,5,6,6,6,5,5,6,6,6,6,7,7,7,3,6
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",5,1,1,1,3,1,1,1,1,1,7,7,7,7,5,3,6
"199",5,3,4,5,6,6,4,5,5,6,6,6,6,7,1,1,5
"200",5,6,6,5,5,6,5,5,5,6,6,6,6,6,5,5,5
"201",5,6,1,5,3,6,1,1,1,1,3,5,5,6,6,1,4
"202",6,7,6,6,7,7,7,7,7,5,5,6,7,7,7,5,7
"203",5,5,5,5,6,4,4,4,5,3,5,5,6,6,6,3,4
"204",3,3,2,2,4,3,3,3,3,4,2,1,5,5,5,1,3
"205",3,2,5,5,4,2,2,2,2,3,3,5,7,7,7,6,6
"206",5,6,3,5,4,3,3,3,3,5,5,5,6,6,1,3,4
"207",6,7,7,7,7,7,7,7,7,4,5,5,6,7,1,1,6
"208",5,6,3,3,1,3,2,2,1,3,3,3,5,6,6,1,6
"209",3,6,5,6,3,6,3,6,5,7,7,7,7,7,7,1,6
"210",5,3,6,5,4,3,3,2,2,4,4,6,6,6,6,4,4
"211",5,4,5,5,6,4,4,4,5,6,6,6,7,7,7,5,5
"212",5,4,5,5,6,4,2,3,1,5,5,6,7,7,7,7,7
"213",6,5,7,7,7,5,3,3,3,3,3,5,6,6,6,1,3
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",6,5,6,6,6,5,5,5,5,6,6,7,7,7,7,4,5
"217",5,1,5,4,5,1,1,1,1,2,4,6,7,7,7,1,6
"218",5,3,3,3,4,1,1,1,1,2,2,2,6,6,6,7,5
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",6,3,2,5,6,3,3,3,6,4,5,5,6,6,6,4,6
"223",5,1,6,6,1,1,1,1,1,6,6,6,6,6,1,3,4
"224",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"225",4,7,7,2,5,6,5,1,1,2,2,3,7,7,7,2,5
"226",4,2,2,4,5,2,2,2,2,2,2,6,6,6,6,6,6
"227",2,1,3,2,3,1,1,1,1,4,6,5,6,7,7,5,4
"228",4,7,5,3,5,1,1,1,1,4,5,5,1,7,7,1,1
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,6,3,3,3,3,3,2,2,3,5,4,7,7,7,4,6
"231",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"232",6,7,1,6,5,7,7,6,5,7,6,6,6,6,6,4,6
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",6,6,6,5,5,6,5,5,5,6,6,6,6,7,6,6,4
"236",4,7,3,3,1,5,4,3,1,3,3,4,7,7,1,1,4
"237",6,5,6,5,5,1,1,1,1,5,5,5,7,7,7,1,6
"238",1,3,7,6,6,3,2,3,3,7,7,1,6,7,7,1,6
"239",5,6,4,6,7,7,3,4,7,5,5,6,7,7,6,1,1
"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",6,7,6,7,7,6,6,6,6,5,5,5,6,6,6,4,6
"242",7,7,5,6,7,5,5,5,5,7,7,7,7,6,5,3,6
"243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",3,2,3,4,4,2,2,2,2,4,5,5,5,5,5,4,5
"245",5,6,6,3,5,3,3,1,1,5,6,6,6,7,6,1,5
"246",7,7,7,6,6,7,7,6,7,6,5,6,7,7,7,7,5
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6
"249",6,3,5,5,5,3,1,1,1,6,6,6,6,7,5,3,5
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",6,6,3,3,1,3,6,4,4,3,3,1,6,6,6,1,6
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",6,6,6,3,5,6,5,4,4,4,5,6,7,7,7,4,6
"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",6,7,7,6,6,7,7,7,7,5,5,5,7,7,7,4,4
"256",5,6,6,6,5,6,5,5,6,6,6,6,6,6,1,1,5
"257",7,2,7,7,7,2,2,2,2,7,7,7,7,7,7,1,5
"258",6,6,5,3,6,6,6,5,5,3,3,5,6,6,5,1,1
"259",5,7,5,6,6,7,6,6,6,5,5,6,6,6,3,2,6
"260",6,1,6,6,5,1,1,1,1,6,6,6,6,6,6,5,5
"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",5,5,6,4,2,3,3,3,3,5,2,2,6,7,6,1,5
"263",5,5,6,6,6,5,4,5,5,4,6,6,6,7,6,1,6
"264",5,6,7,5,6,6,5,5,5,6,6,6,6,7,7,5,6
"265",5,5,5,4,6,5,3,6,6,5,5,6,6,7,7,3,4
"266",6,7,6,5,6,7,5,5,6,4,5,6,7,7,7,5,6
"267",1,4,6,6,6,1,1,1,1,7,7,1,7,7,7,1,6
"268",6,6,6,6,1,1,1,1,1,7,7,7,7,7,1,1,7
"269",5,5,6,5,NA,3,3,3,3,6,6,6,6,7,7,1,6
"270",7,7,7,6,6,7,6,6,7,5,5,6,6,7,7,6,7
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",7,7,6,6,6,7,6,6,6,6,6,5,7,7,1,1,1
"273",7,1,1,4,4,1,1,3,1,3,3,6,7,7,7,3,6
"274",3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,5
"275",5,2,3,3,3,2,2,2,2,3,3,4,5,6,NA,3,2
"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",6,5,6,6,6,4,3,4,4,5,5,6,7,7,7,3,7
"278",3,3,6,3,7,4,3,3,7,2,2,5,7,7,7,7,7
"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",5,4,4,5,5,4,4,3,4,4,4,5,6,6,5,5,6
"281",5,3,7,7,7,2,2,2,2,7,7,7,7,7,7,7,5
"282",7,6,7,5,6,6,4,1,1,6,6,6,6,7,1,1,1
"283",5,5,NA,3,6,6,5,3,4,4,2,3,7,7,7,7,7
"284",3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4
"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",6,3,7,4,6,3,2,2,3,6,6,4,7,7,7,6,6
"288",2,5,3,4,2,5,3,4,2,2,6,6,7,7,6,NA,4
"289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",3,5,5,5,6,4,2,4,5,5,5,5,5,6,1,1,1
"293",6,6,6,4,6,6,6,4,6,6,NA,6,6,7,6,1,6
"294",6,4,4,4,5,4,4,3,4,4,6,6,6,6,6,4,5
"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",4,5,4,4,5,4,4,4,4,5,6,6,6,6,6,6,6
"297",2,2,3,3,2,2,6,1,6,5,5,5,5,5,5,4,5
"298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",6,7,7,6,6,7,5,5,6,6,6,7,7,7,7,7,6
"300",1,3,1,1,4,3,3,3,3,3,6,6,6,7,6,1,4
"301",6,5,6,6,6,5,3,3,1,5,4,5,6,7,7,7,6
"302",4,3,5,5,3,2,3,3,5,4,4,5,6,6,6,6,6
"303",3,5,6,2,2,2,3,3,3,6,6,6,6,6,6,6,6
"304",3,6,6,6,7,5,3,6,6,2,5,5,6,6,6,6,6
"305",5,5,5,5,5,4,6,4,4,6,5,5,7,7,7,4,6
"306",6,4,4,6,7,4,3,4,5,6,6,6,6,7,7,3,5
"307",5,3,1,5,5,4,NA,2,3,3,3,5,7,6,4,4,7
"308",6,6,6,6,6,1,1,1,1,5,5,5,7,7,7,1,6
"309",3,6,3,3,6,4,5,5,7,6,7,7,7,7,7,5,4
"310",5,3,6,5,6,3,1,1,1,6,6,6,7,7,7,3,6
"311",4,6,5,3,4,6,1,1,1,3,4,4,5,6,6,1,4
"312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",6,6,7,6,6,7,1,1,1,7,7,7,7,7,6,5,6
"315",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",4,7,5,5,5,7,5,5,6,4,4,5,6,7,6,5,5
"317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",5,5,4,6,5,6,4,5,4,5,6,6,6,6,6,6,6
"319",6,6,5,5,6,6,1,1,1,2,2,5,5,6,6,1,3
"320",6,7,6,6,6,7,6,6,6,7,7,7,7,7,7,7,7
"321",1,7,6,6,6,7,1,1,6,3,3,6,6,6,6,1,5
"322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",5,4,5,3,6,4,4,4,4,6,6,6,6,6,6,4,5
"324",6,7,7,7,7,7,7,7,7,4,6,6,7,7,7,3,7
"325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
