old,new
ocean,
octave,
octave scripting,octave
ooc,
ooo,
openoffice basic,basic
openwatcom c/c++,c
openwatcom fortran,fortran
oracle pl/sql,sql
oracle sql,sql
parrot,
parrot intermediate representation,parrot
pascal,
pawn,
peoplecode,
perl,
perl 5,perl6
perl 6,perl6
perl6,perl6
php,php
php ,php
php (drupal framework),php
php (sadly),php
php (yuck),php
php but i don't like to,php
"php, sql",php
php4,php
php5,php
phyton,python
pic assembler,assembler
pike,
pl pgsql,sql
pl sql,sql
pl/* (postgresql stored procedure languages),sql
pl/i,sql
pl/pgsql,sql
pl/sql,sql
"pl/sql, shell scripting",sql
plpgsql,sql
plsql,sql
plsql/plpgsql,sql
posix sh,shell
posix shell,shell
postgres  plsql,sql
postscript,
power shell,powershell
powerbuilder,
powerscript,powershell
powershell,
praat,
pro,
pro*c,c
processing,
processing.org (java language/library),java
product specific scripting and parameter languages,propietary
progress,progress
progress 4gl,progress
progress/webspeed,progress
prolifics panther,
prolog,
propriatery and rare,propietary
proprietary internal languages,propietary
pscal,
puppet,
py,python
python,python
python ,python
python vala,python
q/pure,
quickbasic,basic
r,r
r stats package,r
ragel,
rails,ruby
rakudo,perl6
realbasic,basic
rebol,
redcode,
rexx,
rpg,
rpg iv,rpg
rpg iv ile,rpg
ruby,
ruby (hmm),ruby
ruby (rails),ruby
ruby on rails,rubh
"sao, tdu - my own",propietary
sas,
scade,
scala,
scheme,lisp
scratch,
sed,
sensetalk,
sh,shell
sh (+ assorted tools),shell
sh (bourne),shell
sh (csh and bsh),shell
sh/bash,shell
sh/bash/ksh,shell
shell,shell
"shell (bash and ksh, mostly)",shell
"shell (bash, korn shell)",shell
shell (bash),shell
"shell (ksh, bash)",shell
shell / awk,shell
shell programming,shell
shell script,shell
shell script (bash),shell
shell scripting,shell
shell scripting (bash and ksh),shell
shell scripting (bash),shell
shell scripting in unix/lunix,shell
shell scripts,shell
shell scripts (bash),shell
"shell, bash",v
shell(bash),shell
shell/bash,shell
shells,shell
shellscript,shell
sieve,
skill,
smalltalk,
sml,
spel,
spl (vendor-specific language for chemistry),sqp
spss,
sql,sql
sql ,sql
sql - ugh,sql
"sql (mysql , oracle pl/sql)",sql
sql (postgresql),sql
sql & pl/sql,sql
sql variants,sql
sql(postgres),sql
sql*plus,sql
sql/plpgsql,sql
sql/plsql,sql
sqr,sql
standard ml,
sybase sql,sql
sybase transact sql,sql
systemverilog,
t-sql,sql
tcl,tcl
tcl ,tcl
tcl tk,tcl
tcl/expect,tcl
tcl/tk,tcl
tcsh,shell
telsis fastssp/fasttc nodal,telsis fastssp
template toolkit,tt
tex,tex
ti-basic,basic
tpu,
transact sql,sql
transact-sql,sql
tsql,sql
twincat (plc),twincat
unibasic,basic
unix,shell
unix csh,shell
"unix scripting - bash, ksh, sed.grep. tr, etc",shell
unix shell,shell
unix shell (bash),shell
unix shell (bash/ksh/sh),shell
unix shell script,shell
unix-shell,shell
vala,
various shell scripting languages,shell
vax basic,basic
vb,visualbasic
vb .net,visualbasic
vb script,visualbasic
vb.net,visualbasic
vb/c#,visualbasic
vb6,visualbasic
vba,visualbasic
"vba (""embedded"" visual basic)",visualbasic
vba macros,visualbasic
vbscript,vbscript
vbscript/asp,vbscript
vcl,
verilog,
vhdl,
vi,
vimscript,
visal basic,visualbasic
visual,visualbasic
visual basic,visualbasic
visual basic (sucks),visualbasic
visual basic 6,visualbasic
visual basic for applications,visualbasic
visual basic.net,visualbasic
visual c++,c++
visual foxpro,foxpro
visualbasic,visualbasic
windows batch,windows batch
windows cmd,windows batch
windows cmd script,windows batch
windows powershell,powershell
windows scripting,windows batch
windows shell,windows batch
windows shell (batch),windows batch
windows shell script,windows batch
windows-cmd,windows batch
wsh/vbscript,vbscript
x++,
x86 assembler,assembler
xhtml,html
xml,xml
xpath,xpath
xquery,xquery
xs,c
xsl,xsl
xslt,xsl
z shell,shell
zsh,shell
zsh/bash,shell
