language,count,percent,mean rank,sd rank
puppet,2,0.04127967,1.5,0.707106781
cold fusion,2,0.04127967,1.5,0.707106781
visual foxpro,2,0.04127967,1,0
windows cmd,1,0.020639835,6,0
comal,1,0.020639835,6,0
parrot,1,0.020639835,6,0
farnsworth,1,0.020639835,6,0
i only use perl,1,0.020639835,6,0
emcascript,1,0.020639835,6,0
visual,1,0.020639835,6,0
golang,1,0.020639835,6,0
lolcode,1,0.020639835,6,0
many other,1,0.020639835,6,0
"shell (bash and ksh, mostly)",1,0.020639835,6,0
dhcp-eval (embedded language in isc dhcp server),1,0.020639835,6,0
ms batch,1,0.020639835,6,0
euclid,1,0.020639835,6,0
hskell,1,0.020639835,6,0
sqr,1,0.020639835,6,0
bsd make,1,0.020639835,6,0
octave scripting,1,0.020639835,6,0
scratch,1,0.020639835,6,0
spel,1,0.020639835,6,0
-,1,0.020639835,6,0
proprietary internal languages,1,0.020639835,6,0
ldap,1,0.020639835,6,0
dotnet,1,0.020639835,6,0
csharp,1,0.020639835,6,0
microsoft basic 4.0,1,0.020639835,6,0
openoffice basic,1,0.020639835,6,0
j/apl,1,0.020639835,6,0
.net/c#,1,0.020639835,6,0
xhtml,1,0.020639835,6,0
mozart,1,0.020639835,5,0
fortran 77,1,0.020639835,5,0
vbscript/asp,1,0.020639835,5,0
tpu,1,0.020639835,5,0
fortran77,1,0.020639835,5,0
faust,1,0.020639835,5,0
majic,1,0.020639835,5,0
obejct pascal,1,0.020639835,5,0
fsharp,1,0.020639835,5,0
javascript and html,1,0.020639835,5,0
.bat,1,0.020639835,5,0
c like languages,1,0.020639835,5,0
xpath,1,0.020639835,5,0
ccscript,1,0.020639835,5,0
r stats package,1,0.020639835,5,0
py,1,0.020639835,5,0
pro*c,1,0.020639835,5,0
bash (does that count?),1,0.020639835,5,0
processing.org (java language/library),1,0.020639835,5,0
sql/plpgsql,1,0.020639835,5,0
vimscript,1,0.020639835,5,0
ooc,1,0.020639835,5,0
phyton,1,0.020639835,5,0
visual c++,1,0.020639835,5,0
rakudo,1,0.020639835,5,0
ant,1,0.020639835,5,0
telsis fastssp/fasttc nodal,1,0.020639835,5,0
falcon,1,0.020639835,5,0
bash?,1,0.020639835,5,0
vb/c#,1,0.020639835,5,0
sml,1,0.020639835,5,0
"vba (""embedded"" visual basic)",1,0.020639835,5,0
visal basic,1,0.020639835,5,0
ruby (hmm),1,0.020639835,5,0
makefile language,1,0.020639835,5,0
comedy option : brainfuck,1,0.020639835,5,0
sieve,1,0.020639835,5,0
arexx,1,0.020639835,5,0
pike,1,0.020639835,4,0
nqp,1,0.020639835,4,0
visual basic 6,1,0.020639835,4,0
j2ee,1,0.020639835,4,0
common lisp (sbcl),1,0.020639835,4,0
tcl/expect,1,0.020639835,4,0
windows shell script,1,0.020639835,4,0
c/cal,1,0.020639835,4,0
m (matlab),1,0.020639835,4,0
jsp,1,0.020639835,4,0
windows powershell,1,0.020639835,4,0
6502 asm,1,0.020639835,4,0
javafx,1,0.020639835,4,0
cython,1,0.020639835,4,0
power shell,1,0.020639835,4,0
lisaac,1,0.020639835,4,0
jaava,1,0.020639835,4,0
consistent changes,1,0.020639835,4,0
openwatcom c/c++,1,0.020639835,4,0
mason,1,0.020639835,4,0
rpg iv ile,1,0.020639835,4,0
x86 assembler,1,0.020639835,4,0
mosel,1,0.020639835,4,0
sql*plus,1,0.020639835,4,0
bash ,1,0.020639835,4,0
"bash, sed, awk",1,0.020639835,4,0
perl 5,1,0.020639835,4,0
javascript/css/html,1,0.020639835,4,0
gnu awk,1,0.020639835,4,0
lisp (for fun),1,0.020639835,4,0
ocean,1,0.020639835,4,0
db2 sql,1,0.020639835,4,0
ocaml/fsharp,1,0.020639835,4,0
expect,1,0.020639835,4,0
sh (bourne),1,0.020639835,4,0
mel,1,0.020639835,4,0
php (yuck),1,0.020639835,4,0
"""shellscript""",1,0.020639835,4,0
factor,1,0.020639835,4,0
unix,1,0.020639835,4,0
idoc,1,0.020639835,4,0
ragel,1,0.020639835,4,0
"sao, tdu - my own",1,0.020639835,4,0
vi,1,0.020639835,4,0
various shell scripting languages,1,0.020639835,4,0
windows-cmd,1,0.020639835,4,0
object-c,1,0.020639835,4,0
c# (mono),1,0.020639835,4,0
shell scripting in unix/lunix,1,0.020639835,4,0
matlab/octave,1,0.020639835,4,0
jcl,1,0.020639835,4,0
lisp emacs/sawfish,1,0.020639835,4,0
jsfl,1,0.020639835,4,0
progress,1,0.020639835,4,0
abf,1,0.020639835,4,0
cpp,1,0.020639835,4,0
autohotkey,1,0.020639835,4,0
sql - ugh,1,0.020639835,4,0
assembler (review),1,0.020639835,4,0
javascript|,1,0.020639835,4,0
quickbasic,1,0.020639835,4,0
chuck,1,0.020639835,4,0
arm assembler,1,0.020639835,3,0
windows scripting,1,0.020639835,3,0
freepascal,1,0.020639835,3,0
donald knuth tex,1,0.020639835,3,0
q/pure,1,0.020639835,3,0
.net 2008,1,0.020639835,3,0
sql ,1,0.020639835,3,0
pl pgsql,1,0.020639835,3,0
bourne sh,1,0.020639835,3,0
c(++),1,0.020639835,3,0
dibol,1,0.020639835,3,0
vb script,1,0.020639835,3,0
shell / awk,1,0.020639835,3,0
java6,1,0.020639835,3,0
a86 assembler,1,0.020639835,3,0
diverse bactch script,1,0.020639835,3,0
sql (postgresql),1,0.020639835,3,0
z shell,1,0.020639835,3,0
cmd.exe,1,0.020639835,3,0
shell script (bash),1,0.020639835,3,0
ilerpg,1,0.020639835,3,0
html ?,1,0.020639835,3,0
*nix shell,1,0.020639835,3,0
python ,1,0.020639835,3,0
bourne again shell,1,0.020639835,3,0
visual basic (sucks),1,0.020639835,3,0
ms visual basic 6,1,0.020639835,3,0
advanced revelation r/basic (is like pick basic),1,0.020639835,3,0
sybase sql,1,0.020639835,3,0
esql,1,0.020639835,3,0
javascrip,1,0.020639835,3,0
posix sh,1,0.020639835,3,0
java me,1,0.020639835,3,0
"c, c++",1,0.020639835,3,0
tsql,1,0.020639835,3,0
bc,1,0.020639835,3,0
progress/webspeed,1,0.020639835,3,0
b,1,0.020639835,3,0
cucumber,1,0.020639835,3,0
"shell (ksh, bash)",1,0.020639835,3,0
dos batch file programming,1,0.020639835,3,0
grace,1,0.020639835,3,0
"unix scripting - bash, ksh, sed.grep. tr, etc",1,0.020639835,3,0
visual basic.net,1,0.020639835,3,0
sh (csh and bsh),1,0.020639835,3,0
sql(postgres),1,0.020639835,3,0
spl (vendor-specific language for chemistry),1,0.020639835,3,0
c (ansi c),1,0.020639835,3,0
jacascript,1,0.020639835,3,0
autoit3,1,0.020639835,3,0
c (historic),1,0.020639835,3,0
shell programming,1,0.020639835,3,0
shell scripts (bash),1,0.020639835,3,0
rails,1,0.020639835,3,0
shell(bash),1,0.020639835,3,0
make (nbmake),1,0.020639835,3,0
hal/s (review),1,0.020639835,3,0
delphi (pascal),1,0.020639835,3,0
python vala,1,0.020639835,3,0
af-apl,1,0.020639835,3,0
nawk,1,0.020639835,3,0
c / c++,1,0.020639835,3,0
windows cmd script,1,0.020639835,3,0
haskell (for fun),1,0.020639835,3,0
mvs basic assembler,1,0.020639835,3,0
pro,1,0.020639835,3,0
openwatcom fortran,1,0.020639835,3,0
cocoa/xcode,1,0.020639835,3,0
php4,1,0.020639835,3,0
eiffel,1,0.020639835,3,0
classic asp,1,0.020639835,3,0
prolifics panther,1,0.020639835,3,0
bash/batch,1,0.020639835,3,0
plsql/plpgsql,1,0.020639835,3,0
ooo,1,0.020639835,3,0
sql & pl/sql,1,0.020639835,3,0
c ,1,0.020639835,3,0
processing,1,0.020639835,3,0
korn shell/bash,1,0.020639835,3,0
makefiles,1,0.020639835,3,0
bat files,1,0.020639835,3,0
c shell,1,0.020639835,3,0
makepp,1,0.020639835,3,0
assembly(x86),1,0.020639835,3,0
emca script,1,0.020639835,3,0
ctl,1,0.020639835,3,0
windows shell (batch),1,0.020639835,3,0
bash - bourne again shell,1,0.020639835,2,0
php5,1,0.020639835,2,0
custom domain languages,1,0.020639835,2,0
arc,1,0.020639835,2,0
php but i don't like to,1,0.020639835,2,0
twincat (plc),1,0.020639835,2,0
*sh,1,0.020639835,2,0
pscal,1,0.020639835,2,0
c++/cli,1,0.020639835,2,0
capl,1,0.020639835,2,0
.net 2010,1,0.020639835,2,0
unix shell (bash),1,0.020639835,2,0
bash / shell,1,0.020639835,2,0
javascript (jquery rocks!),1,0.020639835,2,0
jruby,1,0.020639835,2,0
bash/shell scripting,1,0.020639835,2,0
hlsl,1,0.020639835,2,0
oracle sql,1,0.020639835,2,0
cgi,1,0.020639835,2,0
c (and xs),1,0.020639835,2,0
pl/* (postgresql stored procedure languages),1,0.020639835,2,0
posix shell,1,0.020639835,2,0
avr c,1,0.020639835,2,0
lsl,1,0.020639835,2,0
natural (see http://www.softwareag.com),1,0.020639835,2,0
no other currently,1,0.020639835,2,0
windows shell,1,0.020639835,2,0
j2me,1,0.020639835,2,0
unix csh,1,0.020639835,2,0
borne shell,1,0.020639835,2,0
propriatery and rare,1,0.020639835,2,0
/bin/bash,1,0.020639835,2,0
cuda,1,0.020639835,2,0
rpg iv,1,0.020639835,2,0
javascript (ecma-262 3rd ed),1,0.020639835,2,0
spss,1,0.020639835,2,0
vcl,1,0.020639835,2,0
parrot intermediate representation,1,0.020639835,2,0
c++/c,1,0.020639835,2,0
lua ,1,0.020639835,2,0
bourne-again shell,1,0.020639835,2,0
praat,1,0.020639835,2,0
progress 4gl,1,0.020639835,2,0
ti-basic,1,0.020639835,2,0
cecil,1,0.020639835,2,0
objective c++,1,0.020639835,2,0
wsh/vbscript,1,0.020639835,2,0
"shell (bash, korn shell)",1,0.020639835,2,0
"pl/sql, shell scripting",1,0.020639835,2,0
"shell, bash",1,0.020639835,2,0
xs,1,0.020639835,2,0
korn/bourne/bash shells,1,0.020639835,2,0
inform 7,1,0.020639835,2,0
"bash (if it qualifies as a ""programming language"")",1,0.020639835,2,0
"sql (mysql , oracle pl/sql)",1,0.020639835,2,0
(z)(ba)sh,1,0.020639835,2,0
visualbasic,1,0.020639835,2,0
dbase,1,0.020639835,2,0
unibasic,1,0.020639835,2,0
c++/qt,1,0.020639835,2,0
dsssl,1,0.020639835,2,0
c++ ,1,0.020639835,2,0
bourne shell scripts,1,0.020639835,2,0
ansi c,1,0.020639835,2,0
gnu make,1,0.020639835,2,0
css/xhtml,1,0.020639835,2,0
vax basic,1,0.020639835,2,0
none,1,0.020639835,2,0
c# - visual studio,1,0.020639835,2,0
postgres  plsql,1,0.020639835,2,0
php ,1,0.020639835,2,0
objective  c,1,0.020639835,2,0
ms shell/powershell,1,0.020639835,2,0
intercal,1,0.020639835,2,0
c'/c++,1,0.020639835,2,0
batch/bash scripting,1,0.020639835,2,0
sh (+ assorted tools),1,0.020639835,2,0
e (specman),1,0.020639835,1,0
lpc,1,0.020639835,1,0
zsh/bash,1,0.020639835,1,0
hungarian,1,0.020639835,1,0
pawn,1,0.020639835,1,0
c/al,1,0.020639835,1,0
sh/bash/ksh,1,0.020639835,1,0
"dcl (on vms, a scripting tool)",1,0.020639835,1,0
internal google languages,1,0.020639835,1,0
[ba]sh/zsh shell scripting,1,0.020639835,1,0
bmc remedy,1,0.020639835,1,0
clp,1,0.020639835,1,0
scade,1,0.020639835,1,0
labview ,1,0.020639835,1,0
pl/i,1,0.020639835,1,0
unix-shell,1,0.020639835,1,0
objective-c/cocoa,1,0.020639835,1,0
centura,1,0.020639835,1,0
java se/ee,1,0.020639835,1,0
php (drupal framework),1,0.020639835,1,0
sybase transact sql,1,0.020639835,1,0
unix shell (bash/ksh/sh),1,0.020639835,1,0
abap (sap),1,0.020639835,1,0
php (sadly),1,0.020639835,1,0
extjs,1,0.020639835,1,0
c#.net,1,0.020639835,1,0
c sharp,1,0.020639835,1,0
vba macros,1,0.020639835,1,0
actionscript 3 (adobe flash),1,0.020639835,1,0
asp.net(c#),1,0.020639835,1,0
groovy grails,1,0.020639835,1,0
shell scripting (bash and ksh),1,0.020639835,1,0
sql variants,1,0.020639835,1,0
escript,1,0.020639835,1,0
"php, sql",1,0.020639835,1,0
intersystems cache (mumps),1,0.020639835,1,0
product specific scripting and parameter languages,1,0.020639835,1,0
sql/plsql,1,0.020639835,1,0
c++ java,1,0.020639835,1,0
sensetalk,1,0.020639835,1,0
transact-sql,1,0.020639835,1,0
language_5,0,0,#DIV/0!,0
language_4,0,0,#DIV/0!,0
language_1,0,0,#DIV/0!,0
language_2,0,0,#DIV/0!,0
language_3,0,0,#DIV/0!,0
