"","language_1","language_2","language_3","language_4","language_5","where_perl_belongs_in_list"
"75","C","Shell","Java","","",1
"76","PHP","javascript","JAVA","","",4
"77","","","","","",1
"78","c","c++","ruby","perl","lua",4
"79","c++","","","","",2
"80","","","","","",
"81","O'Caml","Ruby","PHP","Bash","C",1
"82","","","","","",
"83","c#","javascript","shell","java","c++",1
"84","javascript","php","java","","",1
"85","javascript","bash","","","",1
"86","","","","","",
"87","Java","Ruby","Javascript","","",4
"88","javascript","bash","","","",1
"89","java","","","","",
"90","java","scala","ruby","javascript","",1
"91","Javascript","C","","","",1
"92","PHP","C","C++","","",2
"93","perl","bash","python","","",1
"94","PHP","C","Python","Bash","",1
"95","Scade","C","lisaac","","",2
"96","javascript","java","","","",1
"97","Java","","","","",1
"98","C++","C","JavaScript","Python","",2
"99","java","C","python","sh","",2
"100","","","","","",6
"101","","","","","",
"102","","","","","",3
"103","javascript","sql","c","","",1
"104","php","sql","javascript","c++","",1
"105","shell/bash","python","","","",1
"106","","","","","",1
"107","Haskell","C","Scala","Ruby","Java",6
"108","bash","javascript","","","",1
"109","PIC Assembler","A86 Assembler","C++","","",1
"110","","","","","",
"111","C++","java","php","PowerBuilder","C#",3
"112","c","javascript","","","",1
"113","","","","","",
"114","javascript","matlab","","","",1
"115","erlang","perl","c++","c","java",2
"116","","","","","",
"117","java","c++","c#","bash","",1
"118","","","","","",1
"119","c++","java","javascript","bash","pl sql",2
"120","","","","","",1
"121","C++","","","","",2
"122","","","","","",
"123","C","bash","java","","",1
"124","","","","","",
"125","cobol","pascal","dcl","","",4
"126","javascript","sql","python","bash","batch",1
"127","","","","","",
"128","javascript","c","","","",1
"129","Tcl","Skill","","","",2
"130","","","","","",
"131","java","c","","","",1
"132","","","","","",
"133","C","PIC assembler","autohotkey","VBA","",1
"134","Java","c","bash","","",1
"135","Java","Python","Perl","","",3
"136","python","java","c++","php","",3
"137","Shell","C","","","",1
"138","Bash / Shell","","","","",1
"139","C","lua","python","bash","c++",3
"140","pl sql","python","ruby","elisp","java",6
"141","C#","Javascript","transact sql","vbscript","",5
"142","","","","","",
"143","Java","C","C++","lisp scheme","javascript",2
"144","","","","","",
"145","php","c++","java","python","c",2
"146","Bash Shell Script","PHP","","","",1
"147","","","","","",
"148","java","shell(bash)","ruby","","",2
"149","python","java","c++","c","bash",6
"150","SQL","Javascript","Template Toolkit","HTML","PHP",1
"151","basic","javascript","bash","","",1
"152","PHP","actionscript","Python","C#","Bash",2
"153","","","","","",
"154","python","C","prolog","","",1
"155","SQL","C++","Basic","","",2
"156","","","","","",
"157","Ruby","Python","Javascript","java","C",2
"158","coldfusion","javascript","c++","java","",3
"159","Perl","bash","visual basic","csh","c",1
"160","","","","","",
"161","python","c","shell","","",6
"162","sh","Haskell","C","C++","Java",2
"163","ksh","tcl tk","python","ruby","",3
"164","javascript","shell","HTML","CSS","php",1
"165","C#","JavaScript","PHP","","",2
"166","javascript","php","C#","","",1
"167","php","","","","",2
"168","c++","c","bash","javascript","sql",1
"169","bash","javascript","java","","",2
"170","sql","c++","c","python","vbscript",1
"171","javascript","bash","python","c","tcl tk",1
"172","C#","c++","","","",1
"173","C","c++","","","",1
"174","C","Java","Shell Script","","",1
"175","","","","","",
"176","","","","","",
"177","","","","","",
"178","C#","python","C","","",2
"179","","","","","",
"180","ruby","javascript","","","",1
"181","JavaScript","Python","Scheme","Common Lisp","",2
"182","","","","","",
"183","Javascript","Python","","","",1
"184","Perl","php","javascript","","",1
"185","Java","C","C++","php","",5
"186","C","Java","c++","","",3
"187","","","","","",1
"188","","","","","",
"189","java","","","","",5
"190","","","","","",
"191","","","","","",
"192","Unix shell (bash/ksh/sh)","Ruby","Progress","","",2
"193","sql","ruby","bash","c","",1
"194","sql","bash","ruby","","",1
"195","javascript","tcl","python","scheme","",1
"196","","","","","",
"197","","","","","",
"198","c++","bash","","","",3
"199","Javascript","","","","",1
"200","python","R","","","",1
"201","C++","c","java","lisp","",1
"202","Javascript","bash","","","",1
"203","jython","clojure","java","","",2
"204","bash","python","java","","",2
"205","c++","python","","","",1
"206","Labview ","C","bash ","","",2
"207","pl sql","ksh","bash","c","",1
"208","Python","C","D","Java","",2
"209","javascript","","","","",2
"210","C++","perl","C","bash","java",2
"211","javascript","php","python","java","",3
"212","JavaScript","Python","C#","PHP","Java",1
"213","c","C++","java","","",1
"214","Java","Javascript","erlang","ruby","python",2
"215","","","","","",
"216","PHP","Javascript","Erlang","","",1
"217","java","javascript","elisp","","",1
"218","ruby","python","php","c++","java",4
"219","","","","","",
"220","","","","","",
"221","","","","","",
"222","php","javascript","c","common lisp","perl",5
"223","Haskell","C","PostScript","Forth","Perl 6",1
"224","Java","C#","C","Tcl/Tk","VB .NET",6
"225","javascript","C++","java","","",1
"226","Python","C++","javascript","java","ruby",6
"227","c/c++","java","php","bash","ocaml",4
"228","bash","","","","",1
"229","","","","","",
"230","C/C++","javascript","Common Lisp","","",1
"231","Java","C++","","","",1
"232","javascript","C","","","",1
"233","","","","","",
"234","","","","","",
"235","Java","Delphi","","","",1
"236","C++","PHP","Java","","",2
"237","sql","ksh","","","",1
"238","bash","vbscript","","","",1
"239","bash","C","","","",2
"240","javascript","ruby","php","","",1
"241","PHP","","","","",1
"242","php","","","","",1
"243","","","","","",
"244","C++","python","matlab","bash","C",6
"245","bash","","","","",1
"246","bash","sybase sql","javascript","php","",1
"247","objective c","c","c++","php","java",1
"248","xslt","bash","","","",1
"249","lua","c","c++","php","",1
"250","","","","","",
"251","javascript","python","bash","","",2
"252","","","","","",
"253","python","c++","c","java","haskell",1
"254","","","","","",
"255","bash","SQL","","","",1
"256","C","","","","",1
"257","java","php","javascript","","",2
"258","sql","javascript","ruby","xslt","python",1
"259","javascript","objective c","python","","",1
"260","verilog","","","","",2
"261","","","","","",
"262","C++","C","python","","",3
"263","python","php","","","",1
"264","Common Lisp","Ruby","SQL","","",1
"265","PHP","ECMAScript","Prolifics Panther","Java","C#",4
"266","javascript","php","java","c","emacs lisp",1
"267","perl","","","","",1
"268","Javascript","Java","","","",1
"269","javascript","java","","","",1
"270","JavaScript","PHP","Java","","",1
"271","","","","","",
"272","SQL","bash","","","",1
"273","Java","javascript","Groovy","","",3
"274","ruby","shell","","","",2
"275","java","visual basic","","","",3
"276","","","","","",
"277","Bash","JavaScript","XSLT","","",1
"278","sh/bash","python","php","java","",2
"279","","","","","",
"280","javascript","actionscript","","","",1
"281","bash","","","","",1
"282","sql","javascript","","","",1
"283","javascript","erlang","php","sql","",3
"284","common lisp","scheme","javascript","emacs lisp","c",6
"285","","","","","",
"286","","","","","",
"287","javascript","java","bash","","",1
"288","java","dsssl","bash","c","",4
"289","","","","","",
"290","","","","","",
"291","","","","","",1
"292","Ruby","java","C#","","",1
"293","JavaScript","bash","","","",1
"294","python","Tcl","javascript","java","Fortran",6
"295","PHP","C","C++","bash","perl",5
"296","bash","php","java","c","",1
"297","java","scala","perl","","",3
"298","java","c++","c","","",3
"299","java","c#","","","",1
"300","bash","gawk","javascript","python","",2
"301","php","unix scripting - bash, ksh, sed.grep. tr, etc","C","c++","cobol",2
"302","c","python","c#","delphi","java",1
"303","java","","","","",2
"304","C#","","","","",1
"305","Java","bash","sql","objective c","c",1
"306","PHP","Python","C","","",1
"307","bash","vala","c","csh","javascript",1
"308","C++","C","R","MATLAB","",1
"309","ruby","php","visual basic","visual c++","c++",3
"310","PHP","JavaScript","bash","Ruby","",2
"311","javascript","c#","c++","vbscript","java",1
"312","","","","","",3
"313","","","","","",
"314","bash","ksh","","","",1
"315","Shell","Awk","sed","","",2
"316","bash","PHP","elisp","C","",1
"317","","","","","",
"318","javascript","C/C++","","","",1
"319","php","java","python","","",3
"320","Perl","SQL","c#","HTML","java",1
"321","python","sql","bash scripting","","",1
"322","","","","","",
"323","ruby","javascript","c","python","java",4
"324","javascript","sh","","","",1
"325","","","","","",
"326","perl","python","C","C++","",1
"327","sh","c","applescript","","",1
"328","Shell scripting","C","forth","Javascript","Assembler",1
"329","","","","","",
"330","ksh","sh","","","",1
"331","","","","","",
"332","java","javascript","shell","c","",1
"333","java","c#","c++","","",1
"334","php","javascript","xslt","sql","bash",2
"335","","","","","",
"336","C","vhdl","verilog","assembler","java",3
"337","bash","plsql/plpgsql","python","pascal","java",1
"338","","","","","",
"339","","","","","",
"340","c#","java","","","",1
"341","Python","Ruby","c#","c++","",3
"342","","","","","",
"343","python","bash","","","",1
"344","C","python","bash","","",1
"345","bash","Javascript","c","","",1
"346","javascript","","","","",1
"347","C","Python","Java","Fortran","",1
"348","sql","pl/sql","","","",1
"349","","","","","",
"350","","","","","",
"351","","","","","",
"352","sql","python","php","awk","pl sql",3
"353","","","","","",
"354","C++","C","bash","javascript","fortran",2
"355","javascript","python","java","php","csharp",1
"356","","","","","",
"357","php","c","java","c++","bash",2
"358","javascript","c","java","","",1
"359","","","","","",
"360","C","pascal","python","shell","",2
"361","C++","PHP","J2EE","BASH Scripting",".NET/C#",2
"362","","","","","",
"363","","","","","",1
"364","","","","","",
"365","bash","objective c","c","","",1
"366","","","","","",
"367","C","","","","",1
"368","C","SQL","Shells","","",2
"369","sql","bash","clojure","java","ruby",1
"370","java","ruby","","","",3
"371","Python","Objective-C","JavaScript","C++","C",6
"372","PHP","bash script","python","","",2
"373","VCL","bash","PHP","","",1
"374","","","","","",
"375","PHP","Bash","","","",1
"376","bash","java","sql","python","c",1
"377","","","","","",
"378","c","python","awk","sed","bash",1
"379","","","","","",
"380","C++","Haskell","Javascript","Bash","",3
"381","Shell","SQL","","","",1
"382","coldfusion","flex","javascript","","",6
"383","ABAP (SAP)","","","","",2
"384","","","","","",
"385","","","","","",1
"386","bash","php","python","","",3
"387","","","","","",
"388","","","","","",
"389","perl","shell","","","",1
"390","php","javascript","java","","",1
"391","","","","","",
"392","","","","","",
"393","Java","PHP","Bash","","",1
"394","Scala","java","haskell","Ocaml","C",6
"395","","","","","",
"396","","","","","",1
"397","Python","PHP","JavaScript","bash","C",2
"398","Java","bash","javascript","","",1
"399","JavaScript","C","sh","","",1
"400","C#","Javascript","vbscript","C","Clojure",4
"401","java","bash","csh","sql","php",1
"402","c++","visual basic","javascript","DOS batch files","",1
"403","","","","","",
"404","Bash","","","","",1
"405","","","","","",1
"406","","","","","",
"407","java","c++","sql","python","",4
"408","","","","","",
"409","PL/SQL","Java","C","Python","Tcl",1
"410","c","c++","haskell","ruby","python",3
"411","bash","sql","php","c","",1
"412","javascript","java","r","","",1
"413","sql","c","","","",1
"414","","","","","",1
"415","PHP","C#","","","",3
"416","PHP","Javascript","","","",5
"417","sh","","","","",1
"418","php","C#","","","",1
"419","","","","","",
"420","c++","c","java","bash","python",1
"421","","","","","",
"422","java","javascript","sh","","",1
"423","","","","","",
"424","java","javascript","","","",1
"425","elisp","objective c","lisp","c","smalltalk",1
"426","bash","","","","",2
"427","Javascript (ECMA-262 3rd ed)","c++","","","",1
"428","","","","","",
"429","PHP","javascript","Groovy","vbscript","",5
"430","","","","","",
"431","C++","C","bash","","",2
"432","","","","","",
"433","Java","C/C++","","","",1
"434","","","","","",
"435","","","","","",
"436","php","","","","",1
"437","Ruby","javascript","","","",2
"438","php","javascript","","","",1
"439","","","","","",1
"440","","","","","",1
"441","","","","","",
"442","C","php","python","","",1
"443","C++","actionscript","","","",1
"444","C","Common Lisp","Bourne shell scripting","Ocaml","Scheme",3
"445","bash","sh","ruby","java","javascript",1
"446","","","","","",
"447","","","","","",
"448","javascript","processing","","","",1
"449","php","lua","","","",1
"450","bash","c","c++","","",1
"451","","","","","",
"452","","","","","",
"453","python","javascript","java","php","C",1
"454","javascript","C#","java","bash","",1
"455","C","java","","","",1
"456","","","","","",
"457","sql","bash","visual basic","prolog","php",4
"458","bash","Python","C","Ruby","",4
"459","bash","c","php","","",1
"460","shell","c","","","",1
"461","bash","python","c","","",1
"462","","","","","",1
"463","javascript","sql","c","python","",1
"464","SQL","bash","","","",1
"465","c","bash","c++","javascript","",2
"466","","","","","",
"467","c++","objective c++","ruby","","",4
"468","","","","","",
"469","","","","","",
"470","C","Java","","","",1
"471","c","","","","",1
"472","","","","","",
"473","Java","sql","javascript","awk","c",5
"474","","","","","",
"475","bash","c","python","ruby","",1
"476","c++","c#","javascript","xslt","",5
"477","php ","shell","","","",1
"478","","","","","",
"479","","","","","",
"480","Applescript","shell","","","",1
"481","Python","C","","","",3
"482","c","matlab","cpp","py","sh",3
"483","javascript","perl6","sql","bash","",1
"484","","","","","",
"485","bash","javascript","java","r","python",1
"486","","","","","",
"487","JavaScript","Python","","","",1
"488","","","","","",
"489","C++","bash","Python","Java","",1
"490","php","c","sql","bash","python",1
"491","Java","javascript","","","",1
"492","bash","","","","",1
"493","","","","","",
"494","bash","php","python","","",1
"495","","","","","",1
"496","c","js","sql","java","pascal",1
"497","","","","","",
"498","","","","","",1
"499","php","c","python","","",2
"500","","","","","",
"501","c","bash","assembler","","",1
"502","","","","","",
"503","javascript","","","","",1
"504","VB.Net","Python","Bash","JavaScript","",1
"505","Ruby","Java","","","",3
"506","python","bash","perl","C","",3
"507","C","c++","bash","","",1
"508","","","","","",
"509","C++","Java","Perl","BASH","Python",1
"510","C","PHP","","","",3
"511","dos batch files","","","","",1
"512","C","javascript","Java","python","powershell",3
"513","C","C++","Java",".net","Many Other",1
"514","","","","","",
"515","*sh","c","","","",1
"516","bash","php","python","java","",1
"517","R","python","lisp","C","Fortran",1
"518","php","javascript","bash","c","",1
"519","Perl","JavaScript","Ruby","C","Lisp",1
"520","bash","php","javascript","","",1
"521","python","awk","sed","c","",2
"522","ksh","perl","bash","","",1
"523","Java","JavaScript","C","","",4
"524","php","sql","javascript","html","c",1
"525","c","octave","vi","sed","",1
"526","php","javascript","bash","applescript","python",2
"527","java","bash","c","c++","lisp",1
"528","javascript","sql","php","","",1
"529","C#","bash","C","javascript","",2
"530","python","bash","c","","",1
"531","c","bash","assembler","php","java",2
"532","C++","bash","","","",2
"533","c#","c++","php","visual basic","ruby",4
"534","c#","javascript","sql","html","css",2
"535","Javascript","","","","",1
"536","java","perl","pl/sql","php","python",1
"537","Python","Tcl","PL/SQL","OCaml","",6
"538","","","","","",
"539","bash","visual basic","","","",1
"540","PHP","C++","Delphi","","",1
"541","","","","","",
"542","","","","","",
"543","Java","","","","",2
"544","Java","Python","C++","Perl","Fortran",4
"545","python","","","","",1
"546","perl","xslt","","","",1
"547","sql","spl (vendor-specific language for chemistry)","vbscript","c","fortran",1
"548","","","","","",
"549","","","","","",
"550","","","","","",
"551","C#","Ruby","PHP","javascript","",6
"552","Bourne Shell","C / C++","","","",1
"553","","","","","",
"554","sh","javascript","sql","C","python",1
"555","Bourne shell","","","","",1
"556","Java","Bash","","","",2
"557","c++","php","javascript","","",1
"558","php","python","java","javascript","",1
"559","Ruby","bash","PHP","","",2
"560","c++","c","javascript","java","vbscript",1
"561","","","","","",
"562","","","","","",
"563","Java","C","c++","Python","Bash",1
"564","javascript","","","","",1
"565","","","","","",
"566","","","","","",
"567","","","","","",1
"568","","","","","",
"569","javascript","python","php","java","bash",1
"570","","","","","",
"571","PHP","Python","","","",3
"572","","","","","",
"573","BASH","Python","C","Ada","Java",2
"574","ruby","bash","","","",1
"575","","","","","",1
"576","","","","","",
"577","PHP","javascript","ruby","","",1
"578","PHP","Python","ruby","Java","TCL/TK",4
"579","","","","","",
"580","C++","","","","",2
"581","javascript","sql","bash","","",1
"582","Php","JavaScript","","","",3
"583","c++","c","bash","python","awk",2
"584","","","","","",
"585","sql","vba","C#","Javascript","",3
"586","","","","","",
"587","PHP","vbscript","C#","visual basic","",2
"588","C#","C/C++","","","",2
"589","Prolog","","","","",1
"590","c","ada","","","",1
"591","","","","","",
"592","Java","Javascript","Bash script","","",3
"593","bash","c","","","",1
"594","bash","C","","","",1
"595","PHP","C++","Asm","","",4
"596","bash","objective c","","","",1
"597","Java","PHP","python","Groovy","",1
"598","javascript","bash","c","applescript","",1
"599","","","","","",
"600","c#","","","","",2
"601","javascript","","","","",1
"602","","","","","",
"603","","","","","",
"604","C++","C","Java","","",3
"605","JavaScript","c","SQL","","",1
"606","","","","","",
"607","","","","","",1
"608","","","","","",
"609","C++","PHP","Python","","",3
"610","","","","","",1
"611","","","","","",
"612","","","","","",
"613","c","c++","java","ruby","c#",1
"614","","","","","",
"615","","","","","",
"616","","","","","",1
"617","","","","","",
"618","c#","c","","","",1
"619","javascript","shell scripts","c++","","",1
"620","coldfusion","PHP","python","sql","",4
"621","Python","c","javascript","fortran","c++",6
"622","","","","","",
"623","python","bash","","","",1
"624","sql","javascript","objective c","","",1
"625","C++","C","javascript","java","python",1
"626","php","javascript","bash","c","",4
"627","","","","","",
"628","C","Scheme","Smalltalk","Forth","Pascal",2
"629","","","","","",
"630","","","","","",
"631","C++","C","assembler","pascal","",1
"632","java","bash","delphi","sql","",2
"633","bash","tcl tk","java","","",1
"634","java","Groovy","C","","",4
"635","","","","","",
"636","php","","","","",1
"637","","","","","",
"638","Objective-C","C++","Python","","",6
"639","javascript","java","bash","","",1
"640","bash","awk","html","css","sql",1
"641","","","","","",
"642","c++","c","java","php","r",6
"643","Windows shell","bash","Windows powershell","","",1
"644","bash","c","","","",1
"645","c++","c","","","",1
"646","C#","C","Javascript","c++","SQL",4
"647","","","","","",1
"648","Ruby","HTML","C++","JavaScript","Java",6
"649","Java","pl sql","python","bash","C",6
"650","","","","","",1
"651","","","","","",
"652","Java","c","bash","","",3
"653","Objective-C","C","c++","ruby","python",2
"654","zsh","ooo","","","",1
"655","","","","","",
"656","PL/* (PostgreSQL stored procedure languages)","PHP","javascript","","",1
"657","C++","Java","","","",2
"658","java","xslt","sql","php","bash",1
"659","","","","","",
"660","sql","bash","javascript","","",1
"661","","","","","",
"662","python","c++","php","java","",1
"663","shell (bash)","C","","","",1
"664","csh","","","","",1
"665","Javascript","SQL","bash","C","",1
"666","javascript","php","c++","bash","c",1
"667","","","","","",1
"668","C#","Java","pl sql","","",3
"669","","","","","",1
"670","C/C++","python","shell script","","",1
"671","C#","java","PERL","","",3
"672","Javascript","bash","c++","","",1
"673","","","","","",
"674","C","Javascript","Java","Python","",1
"675","sql","python","bash","","",2
"676","php","lisp ","bash","","",1
"677","","","","","",1
"678","javascript","parrot intermediate representation","c","common lisp","",3
"679","Python","C","C++","","",2
"680","","","","","",
"681","Java","","","","",1
"682","","","","","",
"683","","","","","",1
"684","javascript","php","objective c","","",1
"685","bash","java","python","","",1
"686","","","","","",
"687","","","","","",
"688","Java","sql","javascript","php","c++",3
"689","javascript","php","visual basic","","",1
"690","","","","","",
"691","java","javascript","","","",1
"692","PHP","","","","",1
"693","python","shell","java","C","ruby",1
"694","","","","","",
"695","","","","","",
"696","Python","Ruby","javascript","PHP","Java",1
"697","javascript","common lisp","","","",1
"698","Java","Bash","","","",3
"699","javascript","c","","","",1
"700","java","php","python","ruby","",5
"701","","","","","",1
"702","Java","Javascript","C++","Shell","Python",3
"703","c++","c","lisp scheme","sas","matlab",1
"704","C++","Python","Scala","Erlang","O'Caml",4
"705","Bash","Javascript","Haskell","","",1
"706","Python","","","","",1
"707","c++","java","javascript","","",4
"708","javascript","C++","C","erlang","",1
"709","python","c++","java","javascript","",1
"710","","","","","",
"711","","","","","",
"712","","","","","",
"713","javascript","Ruby","actionscript","","",4
"714","","","","","",
"715","","","","","",1
"716","Bash","Perl","","","",2
"717","php","python","expect","","",1
"718","php","bash","java","","",1
"719","","","","","",
"720","Perl","sql","javascript","","",1
"721","visual basic","autoit3","c","","",1
"722","","","","","",
"723","ksh/bash","Java","","","",1
"724","Java","Shell","php","","",2
"725","Php","","","","",1
"726","php","java","javascript","","",4
"727","bash","c","c++","python","lisp scheme",3
"728","javascript","Io","ruby","","",1
"729","Python","Java","C++","C","Javascript",1
"730","C","python","c++","","",5
"731","","","","","",
"732","lua ","python","c","","",1
"733","","","","","",
"734","php","java","javascript","","",1
"735","javascript","php","java","c++","python",1
"736","Bourne Shell","","","","",1
"737","PHP","java","","","",1
"738","javascript","bash","c","c++","actionscript",1
"739","Javascript","objective c","php","java","",2
"740","javascript","haskell","c","r","",1
"741","","","","","",1
"742","JavaScript","PHP","ActionScript","Java","",1
"743","php","VB.net","","","",1
"744","python","php","bash","sql","c",3
"745","c++","bash","","","",1
"746","sql","java","","","",1
"747","php","cobol","javascript","java","",3
"748","bash","javascript","php","c","assembler",1
"749","clojure","python","tcl","c++","golang",1
"750","C","gawk","c++","bash","",3
"751","javascript","sql","bash","","",1
"752","bash","C","C++","","",1
"753","","","","","",1
"754","c","python","erlang","","",1
"755","Java","Python","","","",1
"756","MySQL","","","","",1
"757","shell","tcl","scheme","","",1
"758","Java","Python","C++","C#","TCL",6
"759","html","sql","actionscript","javascript","",1
"760","","","","","",
"761","Shell","C","","","",1
"762","","","","","",
"763","java","Python","c++","awk","",6
"764","","","","","",
"765","C#","vbscript","ksh","javascript","",1
"766","c++","python","c","java","",4
"767","","","","","",2
"768","C++","C","java","shell","assembler",3
"769","sql","javascript","ruby","python","bash",1
"770","javascript","php","","","",1
"771","","","","","",
"772","Java","Python","Javascript","shell","Ruby",4
"773","shell","sql","","","",1
"774","VBA","","","","",1
"775","PHP","Visual Basic","","","",1
"776","c","objective c","c++","","",1
"777","java","javascript","python","lisp","",2
"778","java","python","javascript","bash","",2
"779","C","*nix Shell","","","",1
"780","","","","","",
"781","c","zsh","make","lisp","c++",1
"782","ruby","sql","javascript","","",2
"783","Java","Matlab","Bourne shell","C++","",5
"784","Perl","openwatcom fortran","openwatcom C/C++","","",1
"785","C++","Python","C#","","",4
"786","Java","C","","","",1
"787","r","javascript","bash","","",1
"788","C/C++","python","php","C#","",1
"789","javascript","php","c","","",1
"790","Java","Java Script","c++","Obejct Pascal","PHP",1
"791","javascript","delphi","php","RPG","bash",1
"792","C","php","java","","",1
"793","","","","","",
"794","Ruby","Clojure","Scala","Java","Common Lisp",5
"795","Ruby","Javascript","Python","bash","",1
"796","c++","bash","","","",2
"797","csh","c","","","",1
"798","C++","C","Python","java","ruby",2
"799","JavaScript","bash","","","",1
"800","php","bash","java","","",1
"801","Python","ksh","","","",1
"802","c++","php","java","python","visual basic",1
"803","bash","c","c++","python","",1
"804","bash","visual basic","","","",1
"805","c","delphi (pascal)","6502 asm","basic","logo",1
"806","C/C++","PHP","Java","Python","Microsoft BASIC 4.0",3
"807","c","shell","tcl","","",1
"808","C++","java","","","",2
"809","C++","Haskell","Scheme","Python","Clojure",6
"810","php","","","","",1
"811","shell","c","","","",3
"812","PHP","python","bash","AppleScript","",2
"813","javascript","java","","","",1
"814","bash","c","php","c++","java",2
"815","C","PHP","CSS","","",1
"816","C++","C","python","Sh","EMCAScript",2
"817","","","","","",
"818","SQL","php","","","",1
"819","java","ruby","tcl","groovy","scala",2
"820","c++","java","c#","ruby","",6
"821","c","php","","","",1
"822","Ruby","sh","c","","",1
"823","Java","c","php","javascript","ooc",6
"824","python","ruby","tcl tk","lua","groovy",6
"825","php","c++","","","",1
"826","c","","","","",1
"827","bash","php","","","",1
"828","C++","Python","","","",1
"829","C#","WSH/VBScript","php","","",4
"830","javascript","ILERPG","","","",1
"831","","","","","",1
"832","","","","","",
"833","ruby","c","python","haskell","java",1
"834","","","","","",1
"835","","","","","",3
"836","C","PHP","","","",1
"837","","","","","",
"838","c","tcl tk","","","",2
"839","c","c++","","","",1
"840","C++","C#","PLSQL","sh","Java",5
"841","tcsh","","","","",1
"842","Bash","C","","","",1
"843","","","","","",
"844","","","","","",
"845","","","","","",
"846","Java","TCL","C","","",1
"847","bash","zsh","tcsh","TCL/Tk","",1
"848","Perl","python","php","java","c",1
"849","C++","java","python","C","ruby",3
"850","","","","","",
"851","python","php","c","","",1
"852","","","","","",
"853","javascript","sql","shell","","",1
"854","Mathematica","bash","C","JavaScript","",1
"855","javascript","html","php","","",1
"856","","","","","",1
"857","javascript","php","java","","",1
"858","","","","","",
"859","php","Java","c","","",1
"860","python","c++","c","c#","php",6
"861","Java","C++","Python","PHP","",6
"862","python","bash","","","",1
"863","Java","","","","",1
"864","python","java","perl","","",3
"865","php","Ruby","Lisp","","",2
"866","PHP","C","Fortran","","",1
"867","","","","","",
"868","c++","php","","","",2
"869","","","","","",6
"870","javascript","ruby","java","bash","awk",1
"871","javascript","python","java","objective c","",1
"872","bash","ruby","python","C","",1
"873","c","python","sql","bash","java",2
"874","","","","","",1
"875","","","","","",
"876","CLP","rpg","vba","","",4
"877","Java","Javascript","","","",1
"878","","","","","",
"879","ruby","","","","",2
"880","","","","","",
"881","","","","","",
"882","c","c++","","","",3
"883","TCL","PHP","C","c++","Java",1
"884","tcsh","javascript","mel","python","",1
"885","java","javascript","C#","scala","ocaml",1
"886","ruby","shell (bash)","java","","",1
"887","c++","bash","c","ruby","",1
"888","","","","","",1
"889","java","ruby","c++","javascript","",3
"890","javascript","C","Haskell","","",1
"891","java","javascript","","","",2
"892","JavaScript","C","Python","Scheme","",2
"893","sql","javascript","","","",1
"894","ABAP","java","php","","",4
"895","Java","C#","C/C++","PHP","python",3
"896","eScript","vbscript","javascript","java","c",2
"897","C++","javascript","php","","",1
"898","PHP","","","","",1
"899","","","","","",
"900","php","python","c++","javascript","lisp scheme",2
"901","Python","C","java","","",2
"902","","","","","",
"903","","","","","",
"904","","","","","",
"905","","","","","",
"906","unix shell","forth","applescript","javascript","",1
"907","javascript","","","","",1
"908","Java","","","","",2
"909","","","","","",1
