"","official_perl_cert_for_me","official_perl_cert_for_others","perl_cert_comments"
"2530",5,5,""
"2531",2,5,""
"2532",6,6,""
"2533",1,5,""
"2534",2,4,"certification does not prove anything, current and past experience does, better work on free software projects and let people know your work than get a certification"
"2535",5,5,""
"2536",NA,NA,""
"2537",NA,NA,""
"2538",2,2,"I and a variety of friends and coworkers taunt people (eg applicants) with MS and Java certifications."
"2539",NA,NA,""
"2540",NA,NA,""
"2541",3,5,""
"2542",5,5,""
"2543",6,6,""
"2544",1,1,"Don't really care. Either I can, or I can't. Could at some point in the past is irreverent to me."
"2545",NA,NA,""
"2546",1,NA,""
"2547",NA,NA,""
"2548",2,2,""
"2549",1,1,""
"2550",2,6,""
"2551",NA,NA,""
"2552",1,1,""
"2553",5,6,""
"2554",6,6,""
"2555",4,4,""
"2556",NA,NA,""
"2557",NA,NA,""
"2558",NA,NA,""
"2559",NA,NA,""
"2560",5,7,"SOUNDS LIKE IT IS A GOOD WAY TO STRESS THE IMPORTANCE OF THE LANGUAGE "
"2561",2,2,""
"2562",3,3,"Unnecessary. Certification won't solve anything."
"2563",6,6,""
"2564",6,6,"Would reign in all the weirdness, maybe"
"2565",3,3,""
"2566",7,6,""
"2567",4,6,""
"2568",7,7,""
"2569",4,4,""
"2570",5,6,""
"2571",1,5,"Perl is enough."
"2572",NA,NA,""
"2573",3,3,""
"2574",1,1,""
"2575",5,6,"Don't make it too easy, don't downgrade hard certifications to easy, require periodic re-certifications, but not too often."
"2576",2,6,"For previous employer I was a co-creator of our Perl training course and then taught it twice. People often took the course as a one-week holiday :("
"2577",1,1,"Does anyone really pay attention to these things?"
"2578",2,2,""
"2579",NA,NA,""
"2580",NA,NA,""
"2581",5,1,"If there will be, it should be offered by recognized (by the management) institutions, like Oracle, IBM, Microsoft because otherwise they will have almost no value."
"2582",NA,NA,""
"2583",2,5,"It might get you a job but it's not going to help you read other people's code.[CR][CR]Note the remark about overcomplicated syntax."
"2584",3,3,"- while interviewing we can understand if one know programming or knows perl with 1-2 fizzbuzz questions.[CR]- we don't always require the candidates to know perl. The good ones can pick it up."
"2585",2,1,"I am idealogically opposed to any form of closed certification."
"2586",1,6,""
"2587",4,5,""
"2588",3,1,"I don't think it has any work value.  Training, yes, but a cert?  Who cares?"
"2589",1,1,""
"2590",NA,NA,""
"2591",2,2,"sounds like a terrible idea. certification useless enough for real languages."
"2592",3,3,""
"2593",NA,NA,""
"2594",NA,NA,""
"2595",3,6,"Nope"
"2596",NA,NA,""
"2597",NA,NA,""
"2598",1,1,""
"2599",NA,NA,""
"2600",1,1,""
"2601",NA,NA,""
"2602",NA,NA,""
"2603",NA,NA,""
"2604",NA,NA,""
"2605",NA,NA,""
"2606",NA,NA,""
"2607",1,1,""
"2608",3,3,""
"2609",3,3,"I personally do not give certifications much value..."
"2610",4,4,"I think that community already provides a sort of certification done right."
"2611",NA,NA,""
"2612",3,3,""
"2613",1,1,""
"2614",5,5,"unnecessary"
"2615",2,1,""
"2616",3,3,""
"2617",1,1,""
"2618",3,1,""
"2619",NA,NA,""
"2620",6,6,""
"2621",NA,NA,""
"2622",3,1,""
"2623",5,5,""
"2624",4,5,"Certification only helps in bureaucratic environments."
"2625",6,6,""
"2626",6,6,""
"2627",2,4,"Eh."
"2628",1,1,""
"2629",2,2,"Perl certification is pretty absurd, the people I have known who have used Perl are all autodidacts."
"2630",1,5,"Really the value of a certification is a function of how much potential employers respect it and how much knowledge is tested for the certification."
"2631",3,6,"Bureaucratic, un-Perl-ish"
"2632",NA,NA,""
"2633",NA,NA,""
"2634",6,1,""
"2635",4,4,""
"2636",2,2,""
"2637",NA,NA,""
"2638",NA,NA,""
"2639",3,3,""
"2640",NA,NA,""
"2641",3,5,"I find certifications a silly idea"
"2642",5,5,"only if it'd involve being able to use the power of the community."
"2643",5,1,""
"2644",NA,NA,""
"2645",5,6,"unless it is recognised by a significant industry body outside the Perl community, there seems little point: another ""vendor"" certification without a known vendor name, is pretty pointless."
"2646",3,5,"I wouldn't seek it - too much to learn. I like the simple pieces of Perl, but for larger projects, I like a more readable language."
"2647",NA,NA,""
"2648",3,1,""
"2649",3,3,""
"2650",3,5,""
"2651",1,1,""
"2652",6,7,"I think its a great idea, would help bring an official best practices to the language."
"2653",NA,NA,""
"2654",NA,NA,""
"2655",3,NA,""
"2656",NA,NA,""
"2657",NA,NA,""
"2658",NA,NA,""
"2659",NA,NA,""
"2660",3,6,"My clients do not really know I'm using Perl; a certification would mean little to them."
"2661",7,7,""
"2662",2,2,""
"2663",NA,NA,""
"2664",3,4,""
"2665",NA,NA,""
"2666",2,2,"Perl is not a language focused in Market solutions. There's no ESB created in Perl for example. If it is not focused in creating enterprise solutions, there's no need to create a certificate."
"2667",NA,NA,""
"2668",7,2,"Being able to prove I'm the most hip developer in the office is highly important"
"2669",3,3,"Resume padding."
"2670",NA,NA,""
"2671",3,3,""
"2672",5,6,""
"2673",3,3,"certification = bullshit"
"2674",2,2,""
"2675",NA,NA,""
"2676",NA,NA,""
"2677",5,5,""
"2678",NA,NA,""
"2679",3,3,""
"2680",4,4,"guidelines would be good, certification not so much"
"2681",NA,NA,""
"2682",6,6,"I can help beginners to be have a path for majority/agreed best practices."
"2683",NA,NA,""
"2684",NA,NA,""
"2685",4,6,""
"2686",NA,NA,""
"2687",1,1,""
"2688",4,4,""
"2689",7,7,"Three levels. Administered by a local community college. Online validation of cert. Cheap. "
"2690",3,3,"You either learn to be effective in Perl, or you move on to another scripting language."
"2691",3,1,"I'm can't really comment, nowhere I've worked has valued or insisted on language-specific qualifications."
"2692",NA,NA,""
"2693",3,1,"Not specially interested.  Doubt that it would promote ""good"" programming."
"2694",6,6,""
"2695",2,2,""
"2696",1,1,""
"2697",7,7,"Without certification Perl cannot gain mindshare in the mainstream business world. This may not matter to the grandees of Perl but for those of us that want it in our businesses, certification is expected."
"2698",5,6,"Certification generally in my opinion is a waste of time and effort, but apparently the industry values it as there is no other easy way to demonstrate competence."
"2699",1,1,""
"2700",5,6,""
"2701",3,3,"I've never felt a need for certification and have a poor opinion of certifications in general.  A certification that tested more than the ability to memorize facts about the language (i.e. tested programming ability in the language) would be useful though. "
"2702",2,1,""
"2703",6,1,"I would be interested if it is easily accessible through some online examination/training bootcamp and it has some reasonable pricing."
"2704",5,6,""
"2705",1,1,""
"2706",NA,NA,""
"2707",4,6,""
"2708",NA,NA,""
"2709",1,1,""
"2710",2,2,"Not a good idea for the type of community in Perl."
"2711",NA,NA,""
"2712",7,5,"It would be nice to make the certification for Perl-devs"
"2713",NA,NA,""
"2714",4,4,"Every certification is only expensive. I would also not join an other certification course (Java, Cisco, .Net,...)"
"2715",5,5,""
"2716",2,5,"I do not really believe in certification. I've interviewed many candidates who had certificates for many things because their previous employer paid for those but that did not ensure quality. Busy and quality people do not have time to go to courses and get certification. So actually, too many certifications is a red flag."
"2717",6,6,""
"2718",NA,NA,""
"2719",4,1,""
"2720",4,4,"Meh"
"2721",NA,NA,""
"2722",5,1,""
"2723",1,1,""
"2724",3,3,""
"2725",NA,NA,""
"2726",6,6,""
"2727",2,2,""
"2728",NA,NA,""
"2729",6,6,""
"2730",3,3,"meh"
"2731",1,1,""
"2732",3,5,""
"2733",NA,NA,""
"2734",3,3,""
"2735",3,5,""
"2736",3,5,"If you have to have a piece of paper to prove you can do something, I suppose it's useful."
"2737",5,1,"Most certifications pertaining to software development are worse than useless as predictors of individual performance. I have never once heard anything good about them from someone whose judgment I trusted. Still, if it helped legitimize Perl in the eyes of the pointy-haired, it might not be a complete waste."
"2738",3,3,"There is no job for ""perl programmers"" there is much work for ""programmers"". Perl is a tool or toy, and decision to use or not to use belongs to programmer. if he use it - he must know it well already."
"2739",3,3,"why ? the most companies are unknowing that threre are use perl"
"2740",7,6,"Think in spanish user"
"2741",NA,NA,""
"2742",NA,NA,""
"2743",1,1,"I never really believed in certification"
"2744",NA,NA,""
"2745",2,2,"waste of time"
"2746",2,2,""
"2747",3,1,""
"2748",3,3,"Pointless"
"2749",NA,NA,""
"2750",6,6,"Hopefully the certification does not scare people away from using/learning Perl, i.e. it should be fine and challenge, and widely accepted as an evidence for Perl proficiency "
"2751",6,5,"no"
"2752",NA,NA,""
"2753",NA,NA,""
"2754",3,1,"Having a certificatioin program might be useful in spreading perl use within enterprise settings"
"2755",3,5,"For those people that like to compare each others ability by way of benchmarks, certificates are perhaps useful. You can make simple assessment of ones Perl programming ability by reading their recent code examples."
"2756",3,5,"From the perspective of my role as a hiring manager: a certification will tell if someone knows Perl.  But what I really need are people who have mastered Perl, and I think that only comes from experience."
"2757",NA,NA,""
"2758",3,3,"I'd rather see a programmer's problem solving ability than a piece of paper"
"2759",2,3,"Who cares?  I don't hire people who are proud of their certifications."
"2760",7,7,"It is difficult for beginning Perl programmers to find a job since most positions require experience. A certification might help those beginners get jobs and subsequently experience."
"2761",3,3,"It's solving the wrong problem.  Perl experts are easy to identify.  What I need (as someone who hires Perl programmers) is way to know if someone has been taught basic good Perl, and what I need for that is a standard Perl *course*."
"2762",NA,NA,""
"2763",3,6,"Perl is harder to learn than Java, but management thinks that you do not need to train for a scripting-language. Some certification may improve that."
"2764",NA,NA,""
"2765",1,1,"Certification of language environments attempts to substitute numbers for judgement."
"2766",NA,NA,""
"2767",NA,NA,""
"2768",2,1,"It doesn't seem very useful.  When hiring I look at code, not certification."
"2769",NA,NA,""
"2770",5,5,"Certificate rarely show ability just attendance at a course"
"2771",3,1,""
"2772",NA,NA,""
"2773",NA,NA,""
"2774",NA,NA,""
"2775",5,5,"It's an interesting prospect. Though(having a few certs); I'm generally dissatisfied with the way the culture of certifications ends up being exploited or the complacency associated after obtaining certs (with no self-study) for any technology."
"2776",2,1,"Certifications are a waste of money. Professional experience is far more important than certifications. You'll often get asked what projects you worked on or finished in your previous jobs, but never what certification you have. Besides, general knowledge of programming concepts is more useful than programming skills, and you can quickly acquire new language skills.[CR]"
"2777",1,5,""
"2778",5,6,""
"2779",3,5,""
"2780",2,2,"It turns out that the very idea of language certification is evil."
"2781",NA,NA,""
"2782",1,NA,""
"2783",5,5,""
"2784",3,6,""
"2785",6,6,""
"2786",NA,NA,""
"2787",7,7,"Where can I get one?"
"2788",3,6,""
"2789",5,5,"I wouldn't mind being certified, but I'm not entirely sure what that would get me (though the same opinion goes for certification for other languages - I personally don't see much of a difference, but I'm also not a manager or executive)."
"2790",5,1,""
"2791",2,2,""
"2792",3,3,""
"2793",7,7,""
"2794",6,6,""
"2795",NA,NA,""
"2796",6,6,""
"2797",4,4,"The only value of a Perl certification program would to create a perception on the part of large organizations and the broader technical community that Perl is 'production-ready' in the way that C, C++, and Java are perceived to be.  I don't know to what extent a certification would help to create that perception.  My experience of other certification programs is that they do not provide much useful information in gauging the skills of a certification holder.  In other words, my experience has been that there is a poor correlation between 'Person X has a certification in technology Y' and 'Person X (is able to use)|(is really good with) technology Y'.  And in the case of some certifications if there is a correlation then it appears to be negative."
"2798",7,7,"The difficulty is in creating a cert for Perl vs. specific applications (e.g., web design)."
"2799",5,7,"It should cover skills that are valued in the workplace - [CR]competence, effectiveness, coherence, and communication.[CR]Not things that are valued in online communities, like[CR]low golf scores, arcana, esoterica, or large TIMTOWTDI numbers[CR](37, no, 38! ways to reverse a string in Perl)[CR][CR]Sponsor programming contests with testable results and[CR]points for readability of code and documentation.[CR]"
"2800",NA,NA,""
"2801",NA,NA,""
"2802",1,1,""
"2803",5,6,""
"2804",5,5,"It's not a bad idea :) Might help establish knowledge of Perl as a industry-recognized qualification. Certainly would help employers and possible employees."
"2805",NA,NA,""
"2806",4,6,""
"2807",1,1,"Don't care - a certificate holds zero value as far as I'm concerned. Write, fix and share code, be judged on that instead. I would hire someone with a good track record in preference to someone with a long list of qualifications."
"2808",5,5,""
"2809",6,5,"cost of getting certified, as a non profit and/or disabled person,[CR]basically living a student lifestyle at 46 years old,[CR]learning from open course ware training materials and outlines might help, but without a career path, somewhat time consuming and potentially useless, though intriguing..."
"2810",3,6,""
"2811",5,5,""
"2812",1,1,""
"2813",2,3,""
"2814",NA,NA,""
"2815",NA,NA,""
"2816",NA,NA,""
"2817",1,1,""
"2818",3,3,"I'd rather see readable code with good style than a certification that says you know how many parameters open() takes."
"2819",1,5,""
"2820",1,1,""
"2821",NA,NA,""
"2822",1,1,"Perl is a tool I use on my own projects or on projects where the employer doesn't know or care what tools I use as long as I provide the desired output. Certification for me would therefore be pointless."
"2823",NA,NA,""
"2824",2,3,""
"2825",NA,NA,""
"2826",2,1,"determining whether someone is certifiable would be Turing-complete."
"2827",5,5,""
"2828",4,1,""
"2829",4,4,""
"2830",NA,NA,""
"2831",NA,NA,""
"2832",NA,NA,""
"2833",NA,NA,""
"2834",NA,NA,""
"2835",NA,NA,""
"2836",2,7,"Are there any refreshments?"
"2837",2,2,""
"2838",NA,NA,""
"2839",NA,NA,""
"2840",6,6,""
"2841",3,5,""
"2842",1,1,"Who needs this if the code is doing its job and is maintainable?[CR]"
"2843",2,6,"Cert can come later; better make it more popular again first."
"2844",3,3,"I don't think I would consider certs when hiring new perl programmers - it would take a lot to convince me the certs are meaningful."
"2845",7,6,"Larry expects that he'll be certified before Perl is."
"2846",1,1,"None"
"2847",2,3,""
"2848",6,6,"If well done, I think it could help with Perl's ""professional"" image.  Perl's accessibility means that ""I know Perl"" can indicate a wide range of competence.  A certification won't help identify a good developer, but it would help indicate a standardized baseline proficiency."
"2849",5,5,"In my opinion, certification in general is only helpful to get the foot in the door.  It does not have any bearing on the quality of the individual's programming.  It is useful to show to management, however, since they will think that somebody with a certification is better."
"2850",3,5,""
"2851",NA,NA,""
"2852",NA,NA,""
"2853",NA,NA,""
"2854",NA,NA,""
"2855",1,1,""
"2856",3,3,""
"2857",NA,NA,""
"2858",NA,NA,""
"2859",4,4,""
"2860",2,4,""
"2861",2,2,"Just a way to make money for the certifiers"
"2862",NA,NA,""
"2863",7,7,""
"2864",1,1,""
"2865",7,7,"I think being a certified in perl would be good because a) refresh knowledge of perl functionality and best practices b) show potential employers that I am serious about Perl c) Like a Boss"
"2866",5,5,""
"2867",NA,NA,""
"2868",1,1,""
"2869",2,2,""
"2870",NA,NA,""
"2871",3,3,""
"2872",7,7,""
"2873",7,7,""
"2874",4,1,"In my experience in software development, certification is nearly orthogonal to ability."
"2875",5,NA,"I would pursue a basic Perl certification. A basic cert with add-ons for specialization areas would be nice."
"2876",3,6,"It certainly could be useful in industry, where people need to check off boxes. It's annoying that people will then have to jump through hoops, but that's life. There's a small possibility that the existence of certifiaction would make more people take the language seriously."
"2877",5,6,""
"2878",1,1,""
"2879",NA,NA,""
"2880",2,1,""
"2881",NA,NA,""
"2882",3,3,""
"2883",2,2,"is that an oxymoron?"
"2884",3,1,""
"2885",5,5,"Not sure that certification (any) useful at all. May be because I live in country where with money you can buy almost anything?"
"2886",NA,NA,""
"2887",5,5,""
"2888",NA,NA,""
"2889",NA,NA,""
"2890",5,5,""
"2891",3,5,"Certification is useful for employers when they don't know how to evaluate the skills of the people they hire.  The problem with certification is that it is usually used a as profit center for some training company, rather than something to benefit the community as a whole.  Charging hundreds of dollars to take a test only benefits people who work for large corporations, not the small independent programmers that make up the bulk majority of perl programmers.  Another issue with testing is that most certification tests have a tendency to focus on esoteric things rather than the things programmers do everyday.  I own the company I work for, so certification has no benefit to me personally."
"2892",4,4,"I had Brainbench.com master cert on Perl before but usually had to prove my skills by demo work anyway."
"2893",3,1,""
"2894",2,5,""
"2895",1,1,""
"2896",NA,NA,""
"2897",NA,NA,""
"2898",7,7,""
"2899",2,2,"Completed projects are the best certificates."
"2900",2,2,"Certification is a busted concept."
"2901",5,5,"I think the PHBs would love it."
"2902",NA,NA,""
"2903",NA,NA,""
"2904",3,1,""
"2905",2,5,""
"2906",2,2,""
"2907",7,7,""
"2908",6,6,""
"2909",7,NA,""
"2910",2,2,"not relevant"
"2911",2,NA,""
"2912",6,6,"none"
"2913",1,1,""
"2914",NA,NA,""
"2915",1,1,""
"2916",5,5,"I've never liked certification in general as it usually only tells you the person's ability to memorize test material, but employers seem to think it's a good metric for hiring."
"2917",3,3,""
"2918",4,4,"Certification is for people who can't get into interviews based on their actual ability."
"2919",2,2,"I never understood the point of such schemes."
"2920",7,7,"- I do *strongly* agree! [CR]- We generally need more of those ""corporate"" awareness and support (bidirectional - from and to the corporate world).[CR]- We also need an official benchmark, kind of a ""SPECperl"" (if that weren't a[CR] reserved phrase). Companies take things more serious that are so ""worthy"" that they even have a dedicated benchmark.[CR]"
"2921",2,2,""
"2922",5,5,""
"2923",4,4,"may help raise the profile of the language but perl is so large and has so many uses unless there were lots of diff certs e.g. sys admin, web/cgi, application etc the cert might prove to loose/vague. "
"2924",NA,NA,""
"2925",3,1,""
"2926",5,6,""
"2927",2,2,""
"2928",1,1,""
"2929",6,6,""
"2930",6,5,"Holding many IT-certificates I am having the impression that the certification-boom based on multiple-choice-tests is not over - probably we should think about alternative approaches."
"2931",2,3,"Why bother?"
"2932",NA,NA,""
"2933",1,1,"What value would certification add?"
"2934",7,7,"When will this be available?"
"2935",NA,NA,""
"2936",5,5,"It should focus on best practices, clean code, and talk about large systems too, if appropriate"
"2937",NA,NA,""
"2938",1,1,""
"2939",NA,NA,""
"2940",2,4,"does a healthy, self sufficient ecosystem need certifications... i somehow doubt it... i don't know how the culture side would be affected. i don't like certifications but then again maybe i am just afraid of them subconsiously?! i may be incompetent but i love my perl."
"2941",NA,NA,""
"2942",2,1,"I don't know if it will be useful nowadays."
"2943",3,1,""
"2944",NA,NA,""
"2945",NA,NA,""
"2946",5,5,""
"2947",1,1,"if there was a community endorsed certification myself and my crew would probably get it."
"2948",2,1,""
"2949",6,6,"Good idea"
"2950",1,1,""
"2951",3,3,""
"2952",3,5,""
"2953",2,3,"Certifications are about regurgitating facts.  All of the highly intelligent people, and all of the best programmers I know have one thing in common - a bachelors degree.  Many have higher degrees, most do not have a degree in comp. sci.  They are engineers, and or scientists.  Perl is a tool, how you use it has little to do with a certification."
"2954",3,3,""
"2955",3,3,""
"2956",7,7,"Would be most useful for system admins to prove competency."
"2957",NA,NA,""
"2958",NA,NA,""
"2959",NA,NA,""
"2960",2,1,"Doesn't really concern me."
"2961",NA,NA,""
"2962",NA,NA,""
"2963",NA,NA,""
"2964",NA,NA,""
"2965",1,1,"I'm a researcher, and I don't particularly believe in any certifications nor do most of my colleagues, but I guess maybe they're useful in other contexts?"
"2966",4,6,""
"2967",2,2,""
"2968",6,6,""
"2969",7,6,"A certification programm could stimulate different people to star programming Perl. SOme people I know would love to make some kind of course, but there's little people involved int his initiative here ate my City/Country"
"2970",6,6,"I think offical perl certification would help to present perl in a more professional light. [CR][CR]As an employer it would offer a way to gauge potential employees proficiancy.[CR][CR]As an employee it would be easier to make a case for training if there was an official qualification to acheive.[CR][CR]I would also hope that it would increase the number of places offering Perl training."
"2971",NA,NA,""
"2972",NA,NA,""
"2973",NA,NA,""
"2974",NA,NA,""
"2975",7,7,"Becoming certified in perl would greatly increase the power of my resume."
"2976",1,6,""
"2977",2,2,""
"2978",2,2,""
"2979",NA,NA,""
"2980",2,2,"Not a believer."
"2981",7,NA,""
"2982",3,1,"Not sure if the benefits of 'certification' are worth the pain of management of such a certification scheme."
"2983",5,2,""
"2984",2,2,"In my hiring experience certificates are worthless as an indicator of anything."
"2985",3,3,""
"2986",NA,NA,""
"2987",NA,NA,""
"2988",3,5,"Robert Half (technology-focused temporary agency) had a decent Perl evaluation test, and I could see them interested in the program."
"2989",2,2,"Certification in other languages has been a poor predictor of job performance for my hirees, and is largely seen as a fine you have to pay to get HR to talk to you at larger companies."
"2990",3,5,""
"2991",5,5,""
"2992",6,6,""
"2993",NA,NA,""
"2994",1,1,""
"2995",1,1,""
"2996",2,1,"I'm not convinced that this works without the backing of a large company."
"2997",5,5,""
"2998",3,5,""
"2999",4,5,""
"3000",NA,NA,""
"3001",NA,NA,""
"3002",NA,NA,""
"3003",5,5,""
"3004",NA,NA,""
"3005",NA,NA,""
"3006",3,3,"From what I have seen in the job market in my area, almost no one is hiring Perl programmers so what would you need certification for?"
"3007",NA,NA,""
"3008",1,1,""
"3009",7,5,"It would need to be a distance learning certification - being on the tip of africa. Our company cannot find perl developers in South Africa, this would serve as a focal lead."
"3010",NA,NA,""
"3011",5,5,""
"3012",5,6,""
"3013",NA,NA,""
"3014",4,4,""
"3015",3,3,"Why?"
"3016",NA,NA,""
"3017",3,3,""
"3018",3,6,"It's a good idea if split into different categories. Sysadmin don't need to know Moose."
"3019",6,6,""
"3020",NA,NA,""
"3021",5,5,""
"3022",3,3,"Runs against Perl culture, true Perl people would scorn such a ridiculous notion.  Your code is your cred."
"3023",NA,NA,""
"3024",6,6,""
"3025",5,5,""
"3026",1,1,""
"3027",2,3,""
"3028",3,6,"Beginners will be able to prove their commitment and expertise level."
"3029",3,3,""
"3030",7,7,"No"
"3031",3,3,"Track record and history of working with Perl or other languages will be a better predictor for eventual success with Perl on any given project."
"3032",NA,NA,""
"3033",2,2,""
"3034",2,2,"Convince management of its value first. "
"3035",NA,NA,""
"3036",3,6,"Perl certification is probably a good idea when dealing with large enterprise clients, but unless the certification actually tests whether someone can write at least a small project, it's worthless because people will just memorize and regurgitate without application."
"3037",2,3,""
"3038",5,6,""
"3039",NA,NA,""
"3040",3,3,"Code is more useful than paper for judging a developer."
"3041",3,3,""
"3042",NA,NA,""
"3043",2,2,""
"3044",2,3,"Experience is far more valuable to most Perl employers than certifications."
"3045",2,2,""
"3046",3,3,""
"3047",3,3,""
"3048",1,1,""
"3049",3,1,""
"3050",2,3,""
"3051",1,1,""
"3052",1,1,"I do Perl for fun."
"3053",6,6,"I think it would be a great tool for helping to drive people to write better code."
"3054",NA,NA,""
"3055",2,3,""
"3056",5,5,""
"3057",NA,NA,""
"3058",3,3," Perl is not a rigid language, nor is it a hard language to understand.  A certification would only be useful  if it taught general programming concepts and discipline.  Discipline is a hard thing to certify."
"3059",3,1,""
"3060",NA,NA,""
"3061",4,4,"I have some sertification from brainbench, neither hot nor cold"
"3062",1,6,""
"3063",5,5,"I guess it might be useful? Just another thing for the resume, I guess."
"3064",2,1,"Certification holds little interest for me, but it might be useful for screening resumes. In my experience most people who list Perl have only done very basic tasks. I can imagine it being useful for contract work."
"3065",NA,NA,""
"3066",NA,NA,""
"3067",5,6,""
"3068",4,4,"With the exception of Cisco certs I have never given much weight to them."
"3069",6,6,"That would help manager recognize the business value of Perl. It would also help them estimate how easy (or hard) it is to hire Perl programmers"
"3070",NA,NA,""
"3071",3,6,"perltraining.com.au has the right idea and the right courses (and is in the right place). Just need to convince management its worth the cost to send people there so I don't have to teach them (badly) myself."
"3072",5,5,""
"3073",2,1,"Don't care about it in the slightest."
"3074",1,1,""
"3075",NA,NA,""
"3076",3,3,""
"3077",3,5,""
"3078",3,1,"I wonder whether there is the market for it. At over 50, I am most unlikely to look for such a credential."
"3079",4,4,"There is more than one way to certify it."
"3080",1,1,""
"3081",NA,NA,""
"3082",NA,NA,""
"3083",NA,NA,""
"3084",NA,NA,""
"3085",3,5,""
"3086",2,2,"Certfication isn't really issue, people are choosing to learn python because it's easier."
"3087",5,5,""
"3088",1,1,""
"3089",NA,NA,""
"3090",3,1,""
"3091",6,6,""
"3092",7,7,""
"3093",3,3,""
"3094",NA,NA,""
"3095",3,5,"I doubt there is a market for it."
"3096",NA,NA,""
"3097",NA,NA,""
"3098",1,1,""
"3099",6,6,""
"3100",1,1,""
"3101",2,2,""
"3102",NA,NA,""
"3103",4,4,"I do not know many developers who have bothered with certs.  It seems more prevalent in the systems and networking community."
"3104",1,1,""
"3105",NA,NA,""
"3106",NA,NA,""
"3107",NA,NA,""
"3108",5,6,""
"3109",5,1,""
"3110",5,5,""
"3111",1,1,""
"3112",5,5,""
"3113",1,1,""
"3114",6,6,""
"3115",5,5,""
"3116",5,6,""
"3117",NA,NA,""
"3118",3,3,"why bother?"
"3119",NA,NA,""
"3120",NA,NA,""
"3121",3,3,"I think providing certification would be very difficult. I have looked at taking the Zend certification for PHP and it seems to lack many important areas (e.g. complete evaluation of security). I think the problems would be magnified for Perl since there are many CPAN modules, expressions and such. But I think this question would be better for people in the hiring manager position. I hear stories of how hard it is to filter out good/skilled/experience Perl programmers during the process. I can see how a cert might help these folks and make Perl appear more corp friendly."
"3122",2,2,""
"3123",5,5,""
"3124",5,6,"Make sure it is using Modern Perl / Enlightened Perl technologies."
"3125",5,5,""
"3126",3,3,""
"3127",7,7,"A certification will certainly boost Perl's penetration into colleges and hence into companies."
"3128",NA,NA,""
"3129",NA,NA,""
"3130",5,6,"Sounds like an interesting idea... when I interview people for a perl job having certification could help in making a decision about that person.[CR][CR]But, certification is probably even a better idea from a marketing perspective as it could make perl feel more corporate friendly (a good thing if done right)."
"3131",5,6,""
"3132",NA,NA,""
"3133",3,3,NA
"3134",NA,NA,""
"3135",2,5,""
"3136",2,4,""
"3137",5,4,""
"3138",NA,NA,""
"3139",2,2,""
"3140",NA,NA,""
"3141",4,5,""
"3142",1,1,""
"3143",5,5,""
"3144",2,2,"greed of gain"
"3145",2,2,""
"3146",NA,NA,""
"3147",6,6,""
"3148",3,7,"yes, I need this to come with a good class material so I can send the QA folks out for training and certification.  Would be a great way to get them up to speed."
"3149",6,6,""
"3150",NA,NA,""
"3151",7,7,"Great - but I'd like no to pay much for that and could get it by net."
"3152",5,5,""
"3153",1,1,""
"3154",NA,NA,""
"3155",1,1,""
"3156",NA,NA,""
"3157",5,6,"Not a bad idea, could help better establish it. Management is still a little leary of perl, because all they hear about is ASP, .NET, etc."
"3158",6,6,""
"3159",NA,NA,""
"3160",6,6,"Would provide structure to otherwise haphazard learning process."
"3161",NA,NA,""
"3162",NA,NA,""
"3163",NA,NA,""
"3164",NA,NA,""
"3165",7,7,""
"3166",2,2,""
"3167",NA,NA,""
"3168",1,1,""
"3169",NA,NA,""
"3170",3,3,"It's a good idea and would probably look good on a resume, but a lot of certifications are stupid and mean next to nothing in the real world."
"3171",2,1,""
"3172",NA,NA,""
"3173",NA,NA,""
"3174",1,1,""
"3175",NA,NA,""
"3176",6,6,"One for developer and one for administrator/network engineers."
"3177",3,1,""
"3178",NA,NA,""
"3179",NA,NA,""
"3180",7,1,""
"3181",3,6,""
"3182",6,6,""
"3183",3,3,""
"3184",1,1,""
"3185",NA,NA,""
"3186",7,7,""
"3187",7,7,"If there was an independent body that people recognized (like HR) as a good body to give certifications then it would be worthwhile.  otherwise it is a wasted piece of paper."
"3188",3,3,"I dont see any value in perl certification."
"3189",3,1,""
"3190",1,6,""
"3191",NA,NA,""
"3192",2,3,""
"3193",1,1,""
"3194",1,1,""
"3195",3,3,""
"3196",2,1,"What's the point?"
"3197",NA,NA,""
"3198",NA,NA,""
"3199",2,2,"It's not possible for someone to know ""all of Perl"" and a certificate won't change that.  As an employer I want people who are smart, adaptable and self sufficient.  Certification programs at best do not encourage these traits and at worst, discourage them.  I would much rather a job candidate show me an app they've built that they are proud of."
"3200",1,1,""
"3201",7,7,""
"3202",1,1,""
"3203",1,1,"I don't neet a certification. I use Perl occasionally for scripting, not as my specialty."
"3204",1,1,""
"3205",2,1,"don't know why anybody needs a ""certificated"" programming language"
"3206",4,5,""
"3207",NA,NA,""
"3208",1,1,""
"3209",2,1,"I thought certifications were made only for the business to make money."
"3210",1,1,""
"3211",6,6,"Considering it is the one language I've used most in my last 7 years (3 jobs) of software development it would be nice to get a certification to more easily identify my credentials to others."
"3212",NA,NA,""
"3213",3,4,""
"3214",5,5,""
"3215",NA,NA,""
"3216",NA,NA,""
"3217",2,6,""
"3218",1,1,""
"3219",NA,NA,""
"3220",NA,NA,""
"3221",3,3,"Meh."
"3222",5,1,"Certifications often get confused with skill. Just because someone has a certification does not mean they write good code."
"3223",NA,NA,""
