"","running_perl_program_across_mult_platforms_easy","cross_platform_perl_programming_comments"
"171",6,"Perl is very portable per se, but it's quite difficult to deal with Microsoft platforms' annoyances."
"172",1,""
"173",6,""
"174",7,"Runs like a baby. I use to run the same tools on Windows, Linux e Solaris. Never got bad times."
"175",NA,""
"176",NA,""
"177",NA,""
"178",1,"never tried"
"179",NA,""
"180",5,""
"181",5,""
"182",NA,""
"183",6,""
"184",6,""
"185",1,"I use Linux or BSD for everything."
"186",1,""
"187",7,"I see tests as important for me as a programmer.[CR]However, a normal user does not understand their importance and might never understand them in the future either."
"188",NA,""
"189",NA,""
"190",NA,""
"191",NA,""
"192",4,"Like many of your questions, this section has different answers depending on how well the code has been put together. Someone who has experience of multiple differing platforms, and who appreciates cross-platform issues, is more likely to write more portable code that someone who only knows one platform."
"193",5,""
"194",6,""
"195",6,""
"196",NA,""
"197",NA,""
"198",6,"strawberry perl is god"
"199",5,"It is getting noticeably better, but the pace of development in some areas makes keeping up with all the non-perl dependencies very tricky."
"200",6,""
"201",5,"Waaaayyyy better than C/C++ (despite autoconf etc), but it's a notoriously difficult field."
"202",5,""
"203",4,"99% of my time spent on Solaris"
"204",5,""
"205",1,""
"206",6,""
"207",5,"I don't do it much."
"208",5,""
"209",6,"Easy for easy task and doable for complex"
"210",6,""
"211",4,"Deployment has been a pain, maybe there's a good way to do it? I've not found it"
"212",5,"I don't do it much; my code usually deploys in one platform or another, but not both."
"213",1,"Don't care about it."
"214",NA,""
"215",NA,""
"216",5,"Depending on task sometimes it's tricky"
"217",1,""
"218",5,""
"219",NA,""
"220",NA,""
"221",NA,""
"222",6,""
"223",1,"If it's not running on UNIX, I don't care."
"224",2,"use other language than perl, e. g. Java"
"225",1,""
"226",1,""
"227",5,"no experience"
"228",1,""
"229",NA,""
"230",6,"The big problem is fork(). I use a fork()less Perl on Windows, and *many* tests fail on CPAN modules due to a missing fork()"
"231",7,""
"232",5,""
"233",NA,""
"234",NA,""
"235",5,""
"236",6,""
"237",5,"Do not do much of it"
"238",5,"I like Perl fo this quality."
"239",6,"if you don't use sytem() - take it and run it"
"240",NA,""
"241",5,""
"242",4,"the shebang is a problem under windows as it is not ignored (even google says something else!)"
"243",NA,""
"244",NA,""
"245",1,""
"246",1,"Threads programming is harder to do cross platform and not always being able to get the necessary DBD modules installed can be a problem when developing on OSX and then deploying on Linux."
"247",NA,""
"248",1,""
"249",4,""
"250",NA,""
"251",1,""
"252",NA,""
"253",6,"Most of my stuff works in cygwin/OSX/linux just fine!"
"254",NA,""
"255",1,""
"256",5,""
"257",5,"using active state not all cpan modules are available"
"258",5,"i just try to avoid windows"
"259",4,""
"260",2,"Yech"
"261",NA,""
"262",6,""
"263",1,""
"264",6,""
"265",4,"Cross platform programming is fine as long there are no GUI, no critical socket operations and not too many third party libraries (e.g. openssl or libxml) involved."
"266",7,""
"267",6,""
"268",6,""
"269",1,""
"270",6,""
"271",NA,""
"272",1,""
"273",7,"It's always worked out well for me."
"274",5,""
"275",6,"ActiveState makes it easy"
"276",NA,""
"277",5,""
"278",6,""
"279",NA,""
"280",5,"things are a little painful in Windows... osx, linux, solaris all work great"
"281",5,""
"282",1,"No comments on cross platform programming. The CPAN questions should have frequency responses (e.g.: never, sometimes, always) instead of agreement options."
"283",7,"its nice"
"284",1,""
"285",NA,""
"286",NA,""
"287",5,""
"288",6,"one still has to keep the platform issues in mind"
"289",NA,""
"290",NA,""
"291",NA,""
"292",5,""
"293",4,"Better than a lot of languages, but still some differences."
"294",6,""
"295",NA,""
"296",6,""
"297",6,""
"298",NA,""
"299",7,""
"300",1,""
"301",6,"Great way to leverage code"
"302",6,""
"303",1,""
"304",7,"This is vital. At least Windows and Linux"
"305",4,"I find handling file paths cross platform little painful"
"306",5,"It could be much better. But all the options suck."
"307",1,""
"308",6,""
"309",6,"The first thing that comes to mind about incompatibility issues is related to file paths in Windows."
"310",5,"I tend to find that installation of modules presents more difficulties than actually using the code once it's properly installed.[CR][CR]Every direct CPAN interface I've ever used has fallen far short of the kind of basic, brain-dead usability (a la apt-get install foo) that I really want from a package manager."
"311",5,"UNIX-like OSes seem to be easier to do cross platform work on, while Windows presents more issues."
"312",NA,""
"313",NA,""
"314",6,""
"315",NA,""
"316",6,""
"317",NA,""
"318",5,""
"319",1,""
"320",4,""
"321",6,""
"322",NA,""
"323",6,""
"324",6,"typically very easy for what I do."
"325",NA,""
"326",4,""
"327",6,""
"328",NA,"Most people don't understand how to do it, or why they should bother."
"329",NA,""
"330",7,""
"331",NA,""
"332",6,"I'm not doing it much, but it worked well enough the few times I tried."
"333",7,""
"334",3,"MORe windows support would be good"
"335",NA,""
"336",2,"Perl in itself is highly portable, however I find it rare that modules work on more than one platform (assuming it even works on one platform).[CR]"
"337",1,""
"338",NA,""
"339",NA,""
"340",7,""
"341",NA,""
"342",NA,""
"343",5,""
"344",3,""
"345",5,""
"346",3,""
"347",7,""
"348",6,"Strawberry Perl goes a log way to supporting cross-platform Perl. I've found it a little too hard to get working with Oracle so have stayed with ActivState - which doesn't support it to a great degree.[CR][CR]I find it very hard to get a lot of modules compiled on Max OSX. DBD::mysql wouldn't compile with the default Apple mysql - I needed to go straight to mysql.com. Can't get DBD::Pg to compile at all. Makes developing on a Mac difficult in my line of business, and I end up using a Linux VM on my MacBook"
"349",NA,""
"350",NA,""
"351",NA,""
"352",6,""
"353",NA,""
"354",6,"It's a God-sent. I have yet to program in a language that makes this easier (certainly not Java). With Wx, we can even do portable AND nice looking GUIs."
"355",2,"For developing, its rather difficult. Having no decent editor that can support running on a client windows machine through an ssh tunnel to a remote linux machine means I'm stuck using vim over putty. When padre adds support for this, it will be a significant improvement. However, because the deployment will be on the remote server, all sorts of hackery will be necessary to let the ide ""know"" the details of the deployment environment. Libraries and the like.[CR]"
"356",NA,""
"357",4,"i love perl so much i dont use windows naymore"
"358",1,"never needed it"
"359",NA,""
"360",6,""
"361",5,""
"362",NA,""
"363",5,""
"364",NA,""
"365",5,""
"366",NA,""
"367",7,""
"368",6,"Everything non architectural dependent is remarquable. Otherwise, e.g. thread programming require anyway thinking twice between Windows and *nix"
"369",1,""
"370",5,""
"371",5,""
"372",3,"(Cross platform for me is essentially Linux and Windows)[CR]While Perl is better than most at it, most 3rd party support for Perl on Windows is for ActiveState, which limits package selection."
"373",6,""
"374",NA,""
"375",5,"works fine!"
"376",5,"most CPAN modules I use do pretty well. However, most application code I come across does NOT."
"377",NA,""
"378",7,"Cross platform programming is pretty easy given that you are on the same version of perl on the different platforms.  If a module has an issue on one platform it will show up on most, if not all, of the other platforms.  When that happens you need to look at the code to see if this module really meets your needs."
"379",NA,""
"380",5,""
"381",NA,"Never had to do it."
"382",NA,""
"383",3,""
"384",NA,""
"385",1,""
"386",1,""
"387",NA,""
"388",NA,""
"389",6,"The biggest issue I have is that not all CPAN modules I use are installed on different platforms."
"390",5,""
"391",NA,""
"392",NA,""
"393",5,""
"394",NA,""
"395",NA,""
"396",1,""
"397",6,""
"398",5,"Similar to java, internal applications will typically be developed for 1 environment, and then deploy to a similar environment, regardless of the x-platform abilities of the interpreter.  [CR]Targeting Unix makes it easy to deploy on server-class OSes.  Targeting Win32 makes it easier for beginners to pickup and learn the language.  Supporting x-platform abilities helps those beginners move quickly to server environments"
"399",5,"Perl has a Unix heritage and it shows -- but Unix is still usually the most powerful platform available!"
"400",NA,""
"401",5,""
"402",1,"never used"
"403",NA,""
"404",5,"I use several different flavors of Linux and I can usually count on my applications working 100% of the time on any of them. "
"405",4,""
"406",NA,""
"407",5,""
"408",NA,""
"409",6,""
"410",NA,""
"411",7,"It works!"
"412",6,""
"413",1,""
"414",NA,""
"415",4,""
"416",NA,""
"417",6,"Never use windows, I understand that's where most of the cross-platform trouble is"
"418",5,"Still a pain in the ass, but much easier with Strawberry Perl, and definitely easier than in other languages"
"419",NA,""
"420",7,"love it."
"421",NA,""
"422",6,"Windows doesn't count! Seriously though, my code runs on OS X, linux and Solaris w/o any issue on a regular basis.  I have been pleasantly surprised at the amount of time that co-workers can make use of utility scripts I've written using Strawberry, but got forbid we ever count on Perl code on windows in production..."
"423",NA,""
"424",1,""
"425",5,""
"426",NA,""
"427",7,"See earlier comment about CPAN module installation on different platforms. "
"428",NA,""
"429",1,""
"430",NA,""
"431",7,""
"432",NA,""
"433",6,""
"434",NA,""
"435",NA,""
"436",1,""
"437",5,""
"438",4,""
"439",NA,""
"440",3,"Windows is painful, so I avoid it as far as possible"
"441",NA,""
"442",5,""
"443",7,"It all seems to work fine, as long as the modules are available for all platforms."
"444",6,"Better than with many other languages, including some selling their ""portability"" as a feature (Java for instance)."
"445",6,"cpanminus rulez[CR][CR]Sometimes machines are so ""secure"" that they don't have internet access or even http_proxy options.[CR][CR]Some kind of cpanssh would be nice.[CR]Or how about being able to download a tarball containing all dependencies."
"446",NA,""
"447",NA,""
"448",5,"Would be helpful to abstract platform differences away, e.g. *not* having to ""use Win32"" when required.[CR][CR]APIs to cross-platform libs like WxWindows, GTK, SDL are often very complicated and difficult to start developing with. I think a lot of the trouble comes down to the libs changing and a lot of tutorials being out-of-date and/or inaccurate and/or not sufficiently cross-platform compatible.[CR][CR]I choose Perl for cross-platform development but usually only for web apps. I'm sure I'd do more desktop-app development were it easier to get in to."
"449",3,"Occasionally frustrating porting from Mac OS X to CentOS when C++ object libraries are involved."
"450",5,""
"451",5,""
"452",NA,""
"453",5,""
"454",7,"As long as it isn't Windows, there are generally few caveats."
"455",7,""
"456",NA,""
"457",5,"There are a number of modules which I have excluded from use, as they presuppose an OS (usually *nix), and do not work on Windows (or vice versa). There is usually an assumption that you have a C compiler to hand, which may not be the case at client sites. If you are careful, you can successfully use Perl cross platform. In fact, using Strawberry Perl, I now have a portable (USB) Perl environment."
"458",5,""
"459",6,""
"460",1,""
"461",5,""
"462",6,""
"463",6,""
"464",6,"Perl is extremely portable across platforms, and this is a great strength."
"465",6,"not usual to me"
"466",NA,""
"467",1,""
"468",NA,""
"469",NA,""
"470",5,"I <3 File::Spec.  That said, most of my heavy stuff runs on Linux anyways."
"471",1,""
"472",NA,""
"473",6,""
"474",NA,""
"475",7,"Easier than in any other language I use"
"476",5,"obviously depends heavily on the type of application"
"477",NA,""
"478",NA,""
"479",NA,""
"480",6,""
"481",5,"Perl has very little in the way of organized QA, and little documentation about what system requirements actually are."
"482",NA,""
"483",5,"I generally only force install one Windows when the tests are broken, which isn't uncommon."
"484",NA,""
"485",6,"Windows line endings sometimes cause problems[CR]Getting Modules to work under cygwin is sometimes also a challange[CR]Getting more esoteric modules to work on strange platforms can be a real challenge... "
"486",NA,""
"487",1,""
"488",NA,""
"489",7,"It's one of the reasons I generally prefer Perl to C++."
"490",5,"Cross-platform Perl is only easy if the platforms implement Unix/POSIX abstractions.  Windows, not so much yet."
"491",NA,""
"492",6,"Issues with @INC and where perl modules load."
"493",NA,""
"494",NA,""
"495",6,""
"496",1,""
"497",NA,""
"498",4,""
"499",6,""
"500",NA,""
"501",3,"I rely a lot on modules that link to C code using XS or similar, so this is not a fair comparison."
"502",NA,""
"503",NA,""
"504",7,"All my code runs on more than one platform. It's not too difficult."
"505",5,""
"506",7,""
"507",1,"nup"
"508",NA,""
"509",5,""
"510",1,""
"511",6,"Most of my programs are self-contained and I simply offload any paths to a configuration file rather than loading the module for doing it in a more cross-platform friendly way."
"512",4,"libwin32 (Win32::*) lacks support.[CR]Perl programming on proprietary Unixes with CPAN modules is painful.[CR]The Perl Foundation should have contracts with IBM, HP to have CPAN Testers on those environment."
"513",NA,""
"514",NA,""
"515",1,""
"516",7,""
"517",6,""
"518",1,""
"519",3,"Deployment on other platforms sucks, no _easy_ packaging."
"520",1,""
"521",5,"most CPAN is shit. "
"522",6,""
"523",1,"I believe that while Perl has its use, Java is better for cross-platform programming."
"524",6,"Ce n'est pas parfait mais on peut s'en sortir"
"525",1,"in our production we only use linux"
"526",5,""
"527",6,""
"528",1,""
"529",5,""
"530",5,""
"531",2,"the few times I've tried perl on windows the experience hasn't been pleasant. a way to package up a perl script, its dependencies, and the perl interpreter into a single executable for windows would be nice (probably does exist somewhere already!) but mostly who cares? run perl on unix and be done with it."
"532",1,"We primary avoid CPAN per se, unless they are packaged into RPMs and packed into the Linux distribution."
"533",2,"cpan seems to run badly on mac environments. on more than one occasion i've had to run off my own webserver, or open a unix/xp machine to get the program running properly cross-platform- i'm sure that this is just my lack of expertise (only been programming for <5yrs)"
"534",3,""
"535",6,""
"536",3,"It is much tougher to cross-deploy, cross-develop than say a language like Java, primarily because of the dependencies on a C/Make based build environment. In a lot of cases, the build environment cannot always be matched to the target envrionment, but technologies like VirtualBox and VMWare workstation can help alleviate some of the struggle."
"537",NA,""
"538",NA,""
"539",5,""
"540",6,"As long as it doesn't deal with COM ports on Windows it works well!"
"541",NA,""
"542",NA,""
"543",1,""
"544",NA,""
"545",6,""
"546",NA,""
"547",6,"Works so much better/easier than I ever would have guessed. Simply ran an old unix-based script on a PC and it worked. Even file specification is simple."
"548",NA,""
"549",NA,""
"550",NA,""
"551",5,"Learned on windows, but only use it on *nix now"
"552",1,""
"553",NA,""
"554",3,"depends on functionality of the application, is not the same a hello world than a threaded server."
"555",5,"The main issues I've had are that many CPAN modules I've needed for one thing or another (often to support other software I'm trying to install rather than for my own coding) haven't been packaged for the operating system I'm using (especially CentOS, but also Mac OS X), forcing me to create OS packages using tools such as cpan2rpm.[CR][CR]I have also had issues where I needed to install several CPAN modules (either with packages or using CPAN directly) to run scripts I developed on one platform on another (especially Mac OS X with MacPorts vs. CentOS)."
"556",1,""
"557",5,"Perhaps not due to perl but new line characters between OS can be treated differently by the native perl functions."
"558",7,""
"559",2,"I'm not used to Windows platforms, and when I want to test a module of my own on these platforms, it's always a pain for me. Mostly because I've always trouble finding a ""make"" replacement to manually build my modules. I'd like to be able to test Perl modules as easily as under UNIX."
"560",6,"We maintain an in-house Perl distribution for Linux and Windows. It often takes several days to compile new modules with all dependencies on both platforms. Therefore we rarely update modules or update the core Perl."
"561",NA,""
"562",NA,""
"563",6,"Perl is excellent in this regard. "
"564",5,""
"565",NA,""
"566",NA,""
"567",1,""
"568",NA,""
"569",2,"Without external package management, it's hard enough ensuring that your perl libraries are the same across machines - let alone across platforms."
"570",NA,""
"571",7,"It's a language that makes x-platform programming very easy. So long as the dependent modules are installed, you're good to go. "
"572",NA,""
"573",5,""
"574",6,""
"575",NA,""
"576",NA,""
"577",6,"I don't use Perl on Windows."
"578",7,""
"579",NA,""
"580",6,"Perl is one of the best languages for cross platform programming. Portability problems are the exception rather than the rule."
"581",4,"In particular filesystem abstraction is something you need to be aware of."
"582",1,""
"583",5,""
"584",NA,""
"585",3,"My local copy of perl and/or modules is often newer than what's on the deployment server.  I would love it if there was a way to pull some kind of config file off the server and pass it to my local version when running a script to force my local install to act the way the server will.[CR]"
"586",NA,""
"587",5,""
"588",6,""
"589",1,"I never experienced problems (except for process handling) in different Unix-like systems (Amiga OS, Tru64, Solaris, Linux)"
"590",6,""
"591",NA,""
"592",1,"Nope."
"593",6,"It works about as well as one could hope without sacrificing performance on UNIX-like systems."
"594",5,""
"595",3,"Windows filename support is lacking."
"596",6,""
"597",4,""
"598",4,"Modules incorporating XS code or other binaries is painful.[CR]"
"599",NA,""
"600",6,""
"601",2,"things don't often work on windows :)"
"602",NA,""
"603",NA,""
"604",3,"Installing CPAN packages on Windows is hit-and-miss - some install painlessly, others are nearly impossible to install (e.g. Alien::SVN, which insists on compiling Subversion even when libraries and headers are already available)"
"605",6,""
"606",NA,""
"607",NA,""
"608",NA,""
"609",1,""
"610",NA,""
"611",NA,""
"612",NA,""
"613",7,"Perl is the ONLY language we have been able to get to run the same way on all platforms, with Windows being the most problematic."
"614",NA,""
"615",NA,""
"616",5,"Cross platform does not include any variant of Windows."
"617",NA,""
"618",4,""
"619",6,"Across Unix-y platforms (Mac OS-X included), cross-platform Perl programming is a piece of cake.  The *only* issues I've run into when doing cross-platform Perl development were when dealing with Windows platforms (in part due to the slash/backslash difference)"
"620",6,""
"621",NA,""
"622",NA,""
"623",6,"This is one of the biggest wins for Perl. It runs everywhere. It does everything. I recently implemented a smoke system for testing new builds involving: a TCP client (Unix/Windows), a TCP server (Windows), a CGI interface (Unix), a rake to collect result files (Unix/Windows), the framework for the smoke test itself (Windows) and even some of the tests themselves (Windows). Every piece (minus a few Windows unit tests written by someone else) of this system is Perl. Flexibility is key here and Perl delivers."
"624",5,""
"625",3,"Cross platform with anything is difficult, I feel that perl is one of the easier ones for this if a packaging approach is takem. Should never expect customers to be able to use CPAN, CPAN is a programming tool."
"626",1,""
"627",NA,""
"628",5,"It would be good to use one shell across all platforms."
"629",NA,""
"630",NA,""
"631",5,""
"632",3,"I like that it's portable, but I don't have test facilities for cross platform testing."
"633",3,""
"634",5,""
"635",NA,""
"636",4,""
"637",NA,""
"638",5,""
"639",1,""
"640",7,"Never tried it, but I hope it's easy."
"641",NA,""
"642",4,"I've never had problems with the code itself, but getting all the CPAN modules necessary working on all platforms can be a PITA."
"643",2,"I have yet to get ssh on Windows working"
"644",1,""
"645",5,""
"646",6,"Issues are mostly due to platform-centric assumptions in CPAN module. Strawberry Perl has made it easier to work with XS modules on Windows."
"647",4,"Not very familiar with it"
"648",1,""
"649",5,""
"650",7,""
"651",NA,""
"652",6,""
"653",5,"Some modules have odd behavior between Perl distributions."
"654",4,""
"655",NA,""
"656",4,""
"657",1,""
"658",5,"Needs experience. I think Perl is well equipped, but best practices only come with experience."
"659",NA,""
"660",6,"Strawberry Perl FTW (95% of what I do is on *NIX, I've not used Perl on a Mac)"
"661",NA,""
"662",NA,""
"663",7,""
"664",6,"often fails because of back-end libraries (e.g., libxml2, X11, etc.)"
"665",5,""
"666",4,""
"667",1,""
"668",3,""
"669",1,""
"670",7,""
"671",1,""
"672",4,"Neglected in too many resources for perl programming."
"673",NA,""
"674",5,""
"675",6,""
"676",5,""
"677",5,""
"678",1,""
"679",NA,""
"680",NA,""
"681",6,""
"682",NA,""
"683",5,""
"684",6,""
"685",5,""
"686",NA,""
"687",NA,""
"688",3,""
"689",5,""
"690",NA,""
"691",6,""
"692",NA,""
"693",7,""
"694",NA,""
"695",NA,""
"696",6,"90% or more of my applications run unchanged on Linux, OS X, and Windows platforms. The remaining few tend to rely on platform-specific libraries such as Win32 or Mac::Glue. Basically, Perl is more than sufficient for my cross-platform needs."
"697",1,""
"698",6,""
"699",6,""
"700",6,"I haven't done a lot, but what I have done was fairly straight-forward."
"701",4,"Windows = :("
"702",6,""
"703",6,""
"704",5,"Overall decent, but it's sometimes hard to know what will or will not work on (say) Windows vs Unix. Documentation can be rather sparse on this in places."
"705",6,"Unicode in file names is highly problematic on Windows. That's been in perltodo for *years*."
"706",1,""
"707",6,""
"708",3,""
"709",1,""
"710",NA,""
"711",NA,""
"712",NA,""
"713",7,""
"714",NA,""
"715",7,"We do it all the time, but our product includes an embedded perl interpreter, which makes it easy for the business logic of what our product does to be coded in perl."
"716",1,""
"717",7,"You still have to know a bit about the platform in many cases.  Not all modules build on all platforms, and not all core functions are available.  I would love to have an additional flag like -c or -w that would give warnings about possible cross platform issues.  It could simply warn about functions or modules and what platforms they are known not to work on.  (Yes, I know that's asking a lot)"
"718",NA,""
"719",NA,""
"720",7,""
"721",5,""
"722",NA,""
"723",5,"Slashes/backslashes suck :("
"724",4,""
"725",6,"Need pre-compiled perl compatibility between different OS-s (something that I expect in Perl 6)."
"726",NA,""
"727",5,""
"728",6,"I (nearly) always have control of my environment.   So always compile Perl from source and maintain same set of CPAN modules by using central minicpan.   This make is easy!"
"729",3,""
"730",1,""
"731",NA,""
"732",5,""
"733",NA,""
"734",6,"It's quite easy to write portable code (usually by sticking to core Perl functions and Unix semantics), but it's not always easy to set up CPAN modules on Windows."
"735",5,""
"736",5,"Generally OK, but Windows vs Linux can be a challenge"
"737",5,"Some care has to be taken to make sure appropriate modules are used, but there are generally few problems."
"738",5,"Across unix-like Perls is easy; over to Windows is difficult."
"739",7,"Usually works as expected."
"740",6,"Current gui toolkits are not up to the task"
"741",1,""
"742",5,""
"743",6,""
"744",NA,""
"745",4,""
"746",NA,""
"747",NA,""
"748",6,""
"749",1,""
"750",1,""
"751",5,"I mostly live in Linux"
"752",6,""
"753",1,""
"754",5,""
"755",NA,""
"756",3,""
"757",7,""
"758",4,""
"759",1,""
"760",NA,""
"761",7,""
"762",NA,""
"763",5,""
"764",NA,""
"765",6,""
"766",NA,""
"767",NA,""
"768",7,"For what I have done, I haven't done anything that would be tremendously different across platforms."
"769",NA,""
"770",7,""
"771",NA,""
"772",1,"Never did it"
"773",NA,""
"774",3,""
"775",1,""
"776",6,""
"777",7,""
"778",5,""
"779",6,""
"780",NA,""
"781",6,""
"782",6,""
"783",1,""
"784",6,"it works"
"785",1,""
"786",6,""
"787",1,""
"788",5,""
"789",1,"I haven't tried this."
"790",NA,""
"791",5,""
"792",NA,""
"793",NA,""
"794",6,"This traditionally was a very strong case for Perl (made it somewhat unique through the early 2000's, now other stacks are portable enough)."
"795",1,""
"796",4,"It kinda sucks if I'm not aware that, e.g. the // operator isn't available on the slightly older release of perl on my other machine.[CR][CR]And I stay the hell away from windows."
"797",NA,""
"798",1,""
"799",6,"I never use Windows, so ""cross-platform"" to me means Mac OS X versus Linux versus, occasionally, *BSD. Not much of a difference."
"800",NA,""
"801",NA,""
"802",5,""
"803",7,""
"804",NA,""
"805",5,""
"806",6,"CPAN module quality varies a lot. Some sort of certification would be nice (instead of a voluntary test suite, which offers no real incentive to do it ""right"")"
"807",NA,""
"808",5,"I wish I had learned in the beginning how to avoid direct OS calls (ls, rm,...) to make my scripts more easily unix/windows portable"
"809",NA,""
"810",1,""
"811",4,""
"812",3,""
"813",6,""
"814",NA,""
"815",5,""
"816",6,""
"817",6,""
"818",5,""
"819",1,""
"820",NA,""
"821",7,""
"822",6,""
"823",NA,""
"824",2,""
"825",NA,""
"826",4,""
"827",5,""
"828",NA,""
"829",1,""
"830",1,""
"831",6,""
"832",NA,""
