"","versions_of_perl_commonly_used_5.4","versions_of_perl_commonly_used_5.0005","versions_of_perl_commonly_used_5.6","versions_of_perl_commonly_used_5.8","versions_of_perl_commonly_used_5.10","versions_of_perl_commonly_used_5.12","version_of_perl_used_most_frequently"
"144",0,0,0,0,0,0,NA
"145",0,0,1,1,0,0,4
"146",0,0,0,0,1,1,6
"147",0,0,0,0,0,0,NA
"148",0,0,0,0,1,1,5
"149",0,0,1,0,0,0,3
"150",0,0,0,1,1,0,5
"151",0,0,0,0,1,0,5
"152",0,0,0,1,1,0,5
"153",0,0,0,0,0,0,NA
"154",0,0,0,1,1,0,5
"155",0,0,0,1,1,0,5
"156",0,0,0,0,0,0,NA
"157",0,0,0,1,1,0,5
"158",0,0,0,1,0,0,4
"159",0,0,0,1,1,0,5
"160",0,0,0,0,0,0,NA
"161",0,0,0,0,1,0,5
"162",0,0,0,1,1,1,5
"163",0,0,0,1,1,0,4
"164",0,0,0,1,1,0,5
"165",0,0,1,1,0,0,3
"166",0,0,0,1,1,0,4
"167",0,0,0,1,1,0,5
"168",0,0,0,1,1,1,5
"169",0,0,0,1,1,1,5
"170",0,0,0,1,0,0,4
"171",0,0,0,1,1,1,4
"172",0,0,0,1,0,0,4
"173",0,0,0,1,1,0,4
"174",0,0,0,1,1,0,5
"175",0,0,0,0,0,0,NA
"176",0,0,0,0,0,0,NA
"177",0,0,0,0,0,0,NA
"178",0,1,1,1,0,0,4
"179",0,0,0,1,1,0,5
"180",0,0,0,1,1,0,5
"181",0,0,0,0,1,0,5
"182",0,0,0,0,0,0,NA
"183",0,0,0,1,1,0,4
"184",0,0,0,0,1,0,5
"185",0,0,0,0,1,0,5
"186",0,0,0,1,1,0,5
"187",0,0,0,1,1,0,4
"188",0,0,0,0,0,0,NA
"189",0,1,0,0,0,0,2
"190",0,0,0,0,0,0,NA
"191",0,0,0,0,0,0,NA
"192",0,0,0,1,1,0,5
"193",0,0,0,1,1,0,4
"194",0,0,0,1,1,0,5
"195",0,0,0,0,1,0,5
"196",0,0,0,0,0,0,NA
"197",0,0,0,0,0,0,NA
"198",0,0,0,1,1,0,4
"199",0,0,0,1,1,0,5
"200",0,0,0,1,1,0,4
"201",0,0,1,1,0,0,4
"202",0,0,0,0,1,0,5
"203",0,0,0,0,1,1,5
"204",0,0,0,0,0,0,NA
"205",0,0,1,1,0,0,3
"206",0,0,0,1,1,0,5
"207",0,0,0,1,1,0,4
"208",0,0,1,1,1,0,5
"209",0,0,0,1,1,0,5
"210",1,1,1,1,1,0,4
"211",0,0,0,1,1,0,4
"212",0,0,1,1,0,0,4
"213",0,0,0,0,1,0,5
"214",0,0,0,0,1,0,5
"215",0,0,0,0,0,0,NA
"216",0,0,0,1,1,0,5
"217",0,0,0,1,1,0,4
"218",0,0,0,0,1,0,5
"219",0,0,0,0,0,0,NA
"220",0,0,0,0,0,0,NA
"221",0,0,0,0,0,0,NA
"222",0,0,1,0,0,0,3
"223",0,0,0,1,0,0,4
"224",0,0,0,0,0,0,NA
"225",0,0,0,1,1,0,4
"226",0,0,0,0,0,1,6
"227",0,0,0,1,1,0,5
"228",0,0,0,1,0,0,4
"229",0,0,0,0,0,0,NA
"230",0,0,0,0,1,1,5
"231",0,0,0,1,0,0,4
"232",0,0,0,1,1,0,5
"233",0,0,0,1,0,0,4
"234",0,0,0,0,0,0,NA
"235",0,0,0,1,1,0,5
"236",0,0,0,1,0,0,4
"237",0,0,0,1,1,0,5
"238",0,0,0,1,1,0,4
"239",1,1,1,1,1,0,5
"240",0,0,0,1,1,0,5
"241",0,0,0,1,1,0,4
"242",0,0,1,1,0,0,4
"243",0,0,0,0,0,0,NA
"244",0,0,0,0,1,0,5
"245",0,0,0,1,0,0,4
"246",0,0,0,1,1,0,4
"247",0,0,1,1,1,0,5
"248",0,0,0,1,1,0,5
"249",0,0,0,1,1,0,5
"250",0,0,0,1,0,0,4
"251",0,0,0,1,1,0,5
"252",0,0,0,0,0,0,NA
"253",0,0,0,1,1,0,4
"254",0,0,0,0,0,0,NA
"255",0,0,0,0,1,0,5
"256",0,0,0,1,1,0,5
"257",0,0,1,1,1,0,5
"258",0,0,1,1,1,0,4
"259",0,0,0,1,1,0,5
"260",0,0,0,1,0,0,4
"261",0,0,0,0,0,0,NA
"262",0,0,0,1,1,0,5
"263",0,0,0,1,0,0,4
"264",0,0,0,1,0,1,4
"265",0,0,0,1,1,0,5
"266",0,0,0,1,1,0,5
"267",0,0,0,0,1,0,5
"268",0,0,0,1,1,0,5
"269",0,0,0,0,1,0,5
"270",0,0,1,1,1,0,4
"271",0,0,0,0,0,0,NA
"272",0,0,0,1,0,0,4
"273",0,1,0,1,0,0,2
"274",0,0,0,1,0,0,4
"275",0,0,0,1,0,0,4
"276",0,0,0,0,0,0,NA
"277",0,0,0,1,1,0,4
"278",0,0,0,1,1,0,5
"279",0,0,0,0,0,0,NA
"280",0,0,0,1,1,0,5
"281",0,0,0,1,0,0,4
"282",0,0,0,1,0,0,4
"283",0,0,0,0,0,1,6
"284",0,0,0,0,1,0,5
"285",0,0,0,0,0,0,NA
"286",0,0,0,0,0,0,NA
"287",0,0,0,1,1,0,5
"288",0,0,0,1,1,0,5
"289",0,0,0,0,0,0,NA
"290",0,0,1,1,0,0,4
"291",0,0,1,1,0,0,4
"292",0,0,0,1,0,0,4
"293",0,0,0,1,0,0,4
"294",0,0,0,1,0,1,4
"295",1,0,0,0,0,0,1
"296",0,0,0,0,1,0,5
"297",0,0,0,0,1,0,5
"298",0,0,1,1,0,0,4
"299",0,0,0,1,0,0,4
"300",0,0,0,0,1,0,5
"301",0,0,0,0,1,0,5
"302",0,0,0,0,1,0,5
"303",1,0,0,0,0,0,1
"304",0,0,1,1,0,0,4
"305",0,0,1,1,0,0,4
"306",0,0,1,1,1,0,4
"307",0,0,0,1,1,0,5
"308",0,0,0,0,1,0,5
"309",1,0,1,0,0,0,1
"310",0,0,0,1,1,1,6
"311",0,0,1,0,0,1,3
"312",0,0,1,0,0,0,3
"313",0,0,0,0,0,0,NA
"314",0,0,0,1,0,0,4
"315",1,1,0,1,0,0,4
"316",0,0,0,1,1,0,4
"317",0,0,0,0,0,0,NA
"318",0,0,0,1,0,0,4
"319",0,0,0,1,0,0,4
"320",0,0,0,1,1,0,5
"321",0,0,0,1,0,0,4
"322",0,0,0,0,0,0,NA
"323",1,1,0,1,1,0,5
"324",0,0,0,1,1,0,5
"325",0,0,0,1,0,0,4
"326",0,0,0,0,1,0,5
"327",0,0,0,1,1,0,5
"328",0,0,0,1,1,0,4
"329",0,0,0,0,0,0,NA
"330",0,0,0,1,0,0,4
"331",0,0,0,0,0,0,NA
"332",0,0,0,1,1,0,5
"333",0,0,0,1,1,0,4
"334",0,0,0,0,1,0,5
"335",0,0,0,0,0,0,NA
"336",0,0,1,1,0,0,4
"337",0,0,0,1,1,0,4
"338",0,0,0,0,0,0,NA
"339",0,0,0,0,0,0,NA
"340",0,0,0,1,0,0,4
"341",0,0,0,0,0,0,NA
"342",0,0,0,0,0,0,NA
"343",0,0,0,0,1,1,5
"344",0,0,1,1,1,0,4
"345",0,0,0,1,1,1,5
"346",0,0,0,1,0,0,4
"347",0,0,0,0,1,1,5
"348",0,0,0,1,1,0,5
"349",0,0,0,0,0,0,NA
"350",0,0,0,0,0,0,NA
"351",0,0,0,0,0,0,NA
"352",0,0,0,1,1,0,5
"353",0,0,0,0,0,0,NA
"354",0,0,0,0,1,1,5
"355",0,0,0,1,1,0,4
"356",0,0,0,0,0,0,NA
"357",0,0,0,1,1,0,4
"358",0,0,1,1,1,0,5
"359",0,0,0,0,0,0,NA
"360",0,1,0,1,0,1,4
"361",0,0,0,0,1,0,5
"362",0,0,0,0,0,0,NA
"363",0,0,0,1,1,0,5
"364",0,0,0,1,0,0,4
"365",0,0,0,1,0,0,4
"366",0,0,1,1,1,0,5
"367",0,0,0,1,0,0,4
"368",0,0,0,0,1,0,5
"369",0,0,0,1,1,0,4
"370",1,1,0,0,0,0,1
"371",0,0,0,0,1,0,5
"372",0,0,0,1,1,0,5
"373",0,0,0,0,1,0,5
"374",0,0,0,0,0,0,NA
"375",0,0,0,1,1,0,4
"376",0,0,0,1,1,0,4
"377",0,0,0,0,0,0,NA
"378",0,1,1,1,1,0,3
"379",0,0,0,0,0,0,NA
"380",0,0,1,0,0,0,3
"381",0,0,0,1,1,0,4
"382",0,0,0,0,1,0,5
"383",0,0,0,1,1,0,5
"384",0,0,0,0,0,0,NA
"385",0,0,0,1,0,0,4
"386",0,0,0,1,1,0,4
"387",0,0,0,0,0,0,NA
"388",0,0,0,0,0,0,NA
"389",0,0,0,1,0,0,4
"390",0,0,0,1,1,0,5
"391",0,0,0,0,0,0,NA
"392",0,0,0,0,0,0,NA
"393",0,0,0,1,1,0,5
"394",0,0,0,0,0,0,NA
"395",1,0,0,0,0,0,1
"396",0,0,0,1,1,0,5
"397",0,0,0,1,1,0,4
"398",0,0,0,1,1,0,4
"399",0,0,0,1,1,1,5
"400",0,0,1,1,0,0,4
"401",0,0,0,1,1,0,5
"402",0,0,1,1,1,0,5
"403",0,0,0,0,0,0,NA
"404",0,0,0,1,1,0,5
"405",0,0,0,0,1,0,5
"406",0,0,0,0,0,0,NA
"407",0,0,0,0,1,0,5
"408",0,0,0,1,1,0,4
"409",0,0,0,1,1,0,5
"410",0,0,0,0,0,1,6
"411",0,0,0,1,1,1,5
"412",0,0,0,1,1,0,5
"413",0,0,0,0,1,0,5
"414",0,0,1,1,1,0,4
"415",0,1,1,0,0,0,3
"416",0,0,0,0,0,1,6
"417",0,0,0,1,1,0,5
"418",0,0,0,1,1,0,5
"419",0,0,0,0,0,0,NA
"420",0,0,0,1,1,0,5
"421",0,0,0,0,0,0,NA
"422",0,0,0,1,1,0,5
"423",1,0,0,0,0,0,1
"424",0,0,0,1,0,0,4
"425",0,0,1,1,0,0,4
"426",0,0,0,1,0,0,4
"427",0,0,0,1,1,0,4
"428",0,0,1,0,0,0,3
"429",0,0,0,0,1,0,5
"430",0,0,0,0,0,0,NA
"431",0,0,0,1,1,0,4
"432",0,0,0,0,0,0,NA
"433",0,0,0,1,1,0,4
"434",0,0,0,0,0,0,NA
"435",0,0,0,0,0,0,NA
"436",0,0,0,1,0,0,4
"437",0,0,0,0,1,0,5
"438",0,0,0,1,1,0,4
"439",0,0,0,1,0,0,4
"440",0,0,0,1,0,0,4
"441",0,0,0,0,0,0,NA
"442",0,0,0,1,0,0,4
"443",0,0,0,0,0,1,6
"444",0,0,0,1,1,0,5
"445",0,0,0,1,1,0,5
"446",0,0,0,0,0,0,NA
"447",0,0,0,0,0,0,NA
"448",0,0,0,1,1,1,6
"449",0,0,0,1,1,0,4
"450",0,0,1,1,1,0,5
"451",0,0,0,1,1,0,5
"452",0,0,0,0,0,0,NA
"453",0,0,0,1,1,0,5
"454",0,0,0,0,1,1,5
"455",0,0,0,1,0,0,4
"456",0,0,0,0,0,0,NA
"457",0,0,0,1,1,0,5
"458",0,0,0,0,1,0,5
"459",0,0,0,1,0,0,4
"460",0,0,0,1,1,0,4
"461",0,0,0,1,1,0,5
"462",0,0,0,1,1,0,4
"463",0,0,0,1,1,0,4
"464",0,0,0,0,1,0,5
"465",0,1,0,1,1,0,2
"466",0,0,0,0,0,0,NA
"467",0,0,0,1,1,0,5
"468",0,0,0,0,0,0,NA
"469",0,0,0,0,0,0,NA
"470",0,0,1,1,1,0,4
"471",0,0,0,1,0,0,4
"472",0,0,0,1,1,0,5
"473",0,0,0,0,1,0,5
"474",0,0,0,0,0,0,NA
"475",0,0,0,1,1,0,4
"476",0,0,0,0,1,1,5
"477",1,1,1,1,1,0,5
"478",0,0,0,1,1,0,4
"479",0,0,0,0,0,0,NA
"480",0,0,0,1,0,1,4
"481",0,0,0,0,1,0,5
"482",0,0,0,1,0,0,4
"483",0,0,0,1,1,1,5
"484",0,0,0,0,0,0,NA
"485",0,0,0,0,1,0,5
"486",0,0,0,0,0,0,NA
"487",0,0,0,0,1,0,5
"488",0,0,0,0,0,0,NA
"489",0,0,0,1,1,0,5
"490",0,0,0,1,1,0,5
"491",0,0,0,1,1,0,5
"492",0,0,0,1,0,0,4
"493",0,0,0,0,0,0,NA
"494",0,0,0,0,1,0,5
"495",0,0,0,1,1,0,4
"496",0,0,0,1,1,1,4
"497",0,0,0,0,0,0,NA
"498",0,0,0,0,1,0,5
"499",0,0,1,1,1,0,4
"500",0,0,0,0,0,0,NA
"501",0,0,0,1,1,0,4
"502",0,0,0,0,0,0,NA
"503",0,0,0,1,0,0,4
"504",0,0,0,1,1,1,5
"505",0,0,0,1,1,0,5
"506",0,0,0,0,1,0,5
"507",0,0,0,1,1,0,4
"508",0,0,0,0,0,0,NA
"509",0,0,1,0,0,1,6
"510",0,0,0,1,0,0,4
"511",0,0,0,1,0,0,4
"512",0,0,0,1,1,0,4
"513",0,0,0,1,1,1,6
"514",0,0,0,0,0,0,NA
"515",0,0,0,1,1,0,5
"516",0,0,0,1,1,1,5
"517",0,0,0,1,0,0,4
"518",0,0,0,1,1,0,5
"519",0,0,0,1,1,0,5
"520",0,0,0,1,1,0,4
"521",0,0,0,1,1,0,5
"522",0,0,0,1,1,0,5
"523",0,0,0,0,1,0,5
"524",0,0,0,1,1,0,5
"525",0,0,0,1,1,0,5
"526",0,0,1,1,1,0,4
"527",0,0,0,1,1,0,4
"528",0,0,0,1,1,0,5
"529",0,0,0,0,1,0,5
"530",0,0,0,1,1,1,5
"531",0,0,0,0,1,1,5
"532",0,0,0,0,1,0,5
"533",1,0,1,0,0,0,3
"534",0,0,0,0,1,0,5
"535",0,1,1,1,1,0,5
"536",0,0,0,1,1,0,4
"537",0,0,0,1,0,0,4
"538",0,0,0,0,0,0,NA
"539",0,0,0,0,1,0,5
"540",0,0,0,1,1,0,5
"541",0,0,0,0,0,0,NA
"542",0,0,0,0,0,0,NA
"543",0,0,1,1,0,0,3
"544",0,0,0,0,1,0,5
"545",0,0,0,1,0,0,4
"546",0,0,0,0,1,0,5
"547",0,0,0,1,1,0,5
"548",0,0,0,0,0,0,NA
"549",0,0,0,0,0,0,NA
"550",0,0,0,0,0,0,NA
"551",0,0,0,0,1,0,5
"552",0,0,0,0,1,0,5
"553",0,0,0,1,1,0,5
"554",0,0,0,1,1,0,5
"555",0,0,0,1,1,0,5
"556",0,0,0,1,1,0,5
"557",0,0,0,0,1,0,5
"558",0,0,1,1,1,0,5
"559",0,0,0,1,1,0,5
"560",0,0,0,1,1,0,5
"561",0,0,0,0,0,0,NA
"562",0,0,0,1,1,0,5
"563",0,0,0,0,1,0,5
"564",0,0,0,1,0,0,4
"565",0,0,0,0,0,0,NA
"566",0,0,0,0,0,0,NA
"567",0,0,0,0,1,0,5
"568",0,0,0,0,1,0,5
"569",1,0,0,1,0,0,4
"570",0,0,0,0,0,0,NA
"571",0,0,0,1,0,0,4
"572",0,0,0,0,0,0,NA
"573",0,0,1,1,1,0,5
"574",0,0,0,1,1,0,5
"575",0,0,0,1,0,0,4
"576",0,0,0,1,0,1,6
"577",0,0,0,1,1,0,4
"578",0,0,0,1,1,0,4
"579",0,0,0,0,0,0,NA
"580",0,0,0,0,1,1,5
"581",0,0,0,1,1,0,4
"582",0,0,0,0,0,1,6
"583",0,0,0,1,1,0,4
"584",0,0,1,1,0,0,4
"585",0,0,0,1,1,0,5
"586",0,0,0,0,0,0,NA
"587",0,0,0,1,1,0,5
"588",0,0,0,1,1,1,6
"589",0,0,0,1,1,0,5
"590",0,0,0,1,1,0,5
"591",0,0,0,0,0,0,NA
"592",0,0,0,0,1,0,5
"593",0,0,0,1,1,1,4
"594",0,0,0,1,1,0,5
"595",0,0,0,1,1,0,5
"596",0,0,0,1,1,0,5
"597",0,0,0,0,1,1,5
"598",0,0,0,1,1,0,4
"599",0,0,0,0,0,0,NA
"600",0,0,0,1,1,1,5
"601",0,0,0,1,1,0,4
"602",0,0,0,0,0,0,NA
"603",0,0,0,0,0,0,NA
"604",0,0,0,1,0,0,4
"605",0,0,0,1,1,1,5
"606",0,1,0,0,0,0,2
"607",0,0,0,1,0,0,4
"608",0,0,0,0,0,0,NA
"609",0,0,0,0,1,0,5
"610",0,0,0,1,1,0,4
"611",0,0,1,0,1,1,6
"612",0,0,0,0,0,0,NA
"613",0,0,1,1,1,1,3
"614",0,0,0,0,0,0,NA
"615",0,0,0,0,0,0,NA
"616",0,0,0,1,0,0,4
"617",0,0,0,0,0,0,NA
"618",0,0,0,1,1,0,5
"619",0,0,0,1,1,0,5
"620",0,1,0,0,0,0,2
"621",0,0,0,0,0,1,6
"622",0,0,0,0,0,0,NA
"623",0,0,0,1,1,0,5
"624",0,0,0,1,1,0,4
"625",0,0,0,1,1,0,4
"626",0,0,0,1,1,0,4
"627",0,0,0,0,0,0,NA
"628",0,0,1,0,1,1,6
"629",0,0,0,1,1,0,4
"630",0,0,0,0,0,0,NA
"631",0,0,0,1,1,0,5
"632",0,0,1,1,1,0,5
"633",0,1,1,1,1,0,4
"634",0,0,1,1,1,0,5
"635",0,0,0,0,0,0,NA
"636",0,0,0,0,1,0,5
"637",0,0,0,0,0,0,NA
"638",0,0,0,0,0,0,NA
"639",0,0,0,1,1,0,4
"640",0,0,0,0,1,1,5
"641",0,0,0,0,0,0,NA
"642",0,1,1,0,0,0,2
"643",0,0,1,0,1,0,5
"644",0,0,0,1,0,0,4
"645",0,0,1,1,1,0,4
"646",0,0,0,1,1,0,5
"647",1,1,1,1,0,0,4
"648",0,0,0,1,0,0,4
"649",1,0,1,0,0,0,3
"650",0,0,0,0,1,1,6
"651",0,0,0,0,0,0,NA
"652",0,0,0,0,0,0,NA
"653",0,0,1,1,0,0,3
"654",0,0,0,1,1,0,5
"655",0,0,0,0,0,0,NA
"656",0,0,0,1,1,0,5
"657",0,0,1,0,0,0,3
"658",0,0,0,0,1,1,5
"659",0,0,0,0,1,1,5
"660",0,0,0,1,1,0,4
"661",0,0,0,0,0,0,NA
"662",0,0,0,1,1,1,5
"663",0,0,0,1,1,0,4
"664",0,0,0,1,1,0,5
"665",0,0,0,1,1,0,4
"666",0,0,0,1,1,0,4
"667",0,0,0,1,0,0,4
"668",0,0,0,0,0,1,6
"669",0,0,0,1,1,0,4
"670",0,0,0,1,1,0,5
"671",1,0,0,0,0,0,1
"672",0,0,0,1,0,0,4
"673",0,0,0,0,0,0,NA
"674",0,0,0,1,1,0,4
"675",0,0,1,0,0,0,3
"676",0,0,0,1,1,0,5
"677",0,0,0,1,0,0,4
"678",0,0,0,0,0,0,4
"679",0,0,0,0,1,0,5
"680",0,1,0,0,0,0,2
"681",0,0,0,1,0,0,4
"682",0,0,0,0,0,0,NA
"683",0,0,0,1,1,0,4
"684",0,0,0,1,0,0,4
"685",0,0,0,1,1,0,4
"686",0,0,0,0,0,0,NA
"687",0,0,0,0,0,0,NA
"688",0,0,1,0,0,0,3
"689",1,0,1,0,0,0,3
"690",0,0,0,0,0,0,NA
"691",0,0,0,1,1,0,4
"692",0,0,0,1,1,0,4
"693",0,0,0,1,1,0,5
"694",0,0,0,1,0,0,4
"695",0,0,0,0,0,0,NA
"696",0,0,0,1,1,1,5
"697",0,0,0,0,1,0,5
"698",0,0,0,1,0,0,4
"699",0,0,0,1,1,0,4
"700",0,0,0,1,1,0,5
"701",0,0,0,0,1,0,5
"702",0,0,0,0,1,0,5
"703",0,0,0,1,1,1,4
"704",0,0,1,1,0,0,4
"705",0,0,0,0,1,0,5
"706",0,0,0,1,1,0,5
"707",0,0,0,0,1,0,5
"708",0,0,0,1,1,0,4
"709",0,0,0,1,1,1,4
"710",0,0,0,0,0,0,NA
"711",0,0,0,0,0,0,NA
"712",0,0,0,0,0,0,NA
"713",0,0,0,0,0,1,6
"714",0,0,0,1,0,0,4
"715",0,0,0,1,1,0,4
"716",0,0,0,1,0,0,4
"717",0,0,0,1,0,0,4
"718",0,1,1,0,1,0,5
"719",0,0,0,0,0,0,NA
"720",0,0,0,1,1,0,5
"721",0,0,0,1,0,0,4
"722",0,0,0,0,0,0,NA
"723",0,0,0,1,1,0,5
"724",0,0,1,1,1,0,5
"725",0,0,0,0,1,1,5
"726",0,0,1,1,0,0,NA
"727",0,0,0,0,1,1,5
"728",0,0,0,1,1,1,5
"729",0,0,0,1,1,0,5
"730",0,0,0,1,0,0,4
"731",0,0,0,0,0,0,NA
"732",0,0,0,1,1,0,5
"733",0,0,0,0,0,0,NA
"734",0,0,0,0,1,1,5
"735",0,0,1,0,0,0,3
"736",0,0,0,1,0,0,4
"737",0,0,0,1,1,0,5
"738",0,0,0,1,0,1,4
"739",0,0,0,1,1,0,5
"740",0,0,0,1,1,0,5
"741",0,0,0,0,1,0,5
"742",0,0,0,1,1,1,4
"743",0,0,0,1,1,0,5
"744",0,1,0,1,1,0,4
"745",0,0,0,1,1,0,5
"746",0,0,0,1,0,0,4
"747",0,0,1,1,1,1,5
"748",0,0,0,0,1,0,5
"749",0,0,1,0,0,0,3
"750",0,0,1,1,1,0,4
"751",0,0,0,1,1,0,5
"752",0,0,0,0,1,0,5
"753",0,0,0,1,1,1,5
"754",0,0,0,1,0,0,4
"755",0,0,0,1,1,0,5
"756",0,0,0,1,1,0,5
"757",0,0,0,1,0,0,4
"758",0,0,0,1,1,0,4
"759",0,1,0,0,0,0,2
"760",0,0,0,0,0,0,NA
"761",0,0,0,1,0,0,4
"762",0,0,0,0,0,0,NA
"763",0,0,1,0,0,0,3
"764",0,0,0,0,0,0,NA
"765",0,0,0,0,1,0,6
"766",0,0,0,0,0,1,6
"767",1,0,0,0,0,0,2
"768",0,0,1,1,0,0,4
"769",0,0,0,1,1,0,5
"770",0,0,0,1,1,1,6
"771",0,0,0,0,0,0,NA
"772",0,0,0,0,1,0,5
"773",0,0,0,1,1,0,5
"774",0,0,0,1,0,0,4
"775",0,0,0,1,1,0,5
"776",0,0,0,1,1,0,4
"777",0,0,0,1,0,0,4
"778",0,0,0,1,1,0,4
"779",0,0,0,1,1,0,4
"780",0,0,0,0,0,1,6
"781",0,0,0,0,0,1,6
"782",0,0,0,1,1,0,4
"783",0,0,0,0,1,0,5
"784",0,0,0,1,1,0,5
"785",0,0,0,1,0,0,4
"786",0,0,0,0,1,1,5
"787",0,0,0,1,1,0,4
"788",0,0,0,0,1,1,5
"789",0,0,0,0,1,0,5
"790",0,0,0,0,1,0,5
"791",0,0,1,1,0,0,4
"792",0,0,0,1,1,0,5
"793",0,0,0,0,0,0,NA
"794",0,0,1,1,1,0,5
"795",0,0,0,1,0,0,4
"796",0,0,0,1,1,0,5
"797",0,0,1,1,0,0,3
"798",0,0,0,1,1,0,4
"799",0,0,0,0,1,1,6
