"","num_cpan_modules_handed_over","provided_bug_report_for_perl_interpreter","provided_code_to_fix_bug_perl_interpreter","provided_code_to_add_feature_to_perl_interpreter","provided_bug_report_for_CPAN_module","provided_code_to_fix_bug_CPAN_module","provided_code_to_add_feature_to_CPAN_module"
"152",1,1,1,1,1,1,1
"153",NA,NA,NA,NA,NA,NA,NA
"154",1,1,1,1,1,1,1
"155",1,2,3,1,3,3,3
"156",NA,NA,NA,NA,NA,NA,NA
"157",1,1,1,1,1,1,1
"158",1,1,1,1,1,1,1
"159",1,1,1,1,3,2,1
"160",NA,NA,NA,NA,NA,NA,NA
"161",1,1,1,1,1,1,1
"162",1,2,1,1,3,3,3
"163",1,1,1,1,1,1,1
"164",3,1,1,1,3,3,3
"165",1,1,1,1,1,1,1
"166",1,1,1,1,3,3,2
"167",1,1,1,1,3,1,1
"168",1,1,1,1,3,4,4
"169",1,1,1,1,1,1,1
"170",1,1,1,1,3,3,1
"171",1,1,1,1,3,3,3
"172",1,1,1,1,1,1,1
"173",1,1,1,1,3,3,3
"174",2,1,1,1,1,1,1
"175",NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA
"178",1,1,1,1,1,1,1
"179",NA,NA,NA,NA,NA,NA,NA
"180",1,3,2,1,2,3,2
"181",1,1,1,1,1,1,1
"182",NA,NA,NA,NA,NA,NA,NA
"183",1,2,1,1,3,3,3
"184",1,1,1,1,1,1,1
"185",1,1,1,1,3,3,3
"186",1,1,1,1,1,1,1
"187",1,1,1,1,3,3,2
"188",NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA,NA
"192",1,1,1,NA,3,2,1
"193",1,1,1,1,3,1,1
"194",1,1,1,1,1,1,1
"195",1,2,2,1,2,2,1
"196",NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA
"198",1,1,1,1,3,2,1
"199",1,2,1,1,4,3,1
"200",1,1,1,1,3,2,2
"201",1,1,1,1,3,3,1
"202",1,1,1,1,2,2,2
"203",2,2,1,1,3,3,3
"204",1,1,1,1,3,3,3
"205",2,3,3,2,2,2,2
"206",1,3,1,1,3,2,1
"207",1,3,3,1,4,4,3
"208",1,1,1,1,1,1,1
"209",2,1,1,1,4,3,2
"210",1,1,1,1,1,1,1
"211",1,1,1,1,3,1,1
"212",1,1,1,1,3,2,1
"213",2,2,2,1,4,4,4
"214",NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA
"216",1,1,1,1,2,1,1
"217",1,1,1,1,3,3,3
"218",1,3,2,1,4,3,3
"219",NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA
"222",1,1,1,1,1,1,1
"223",1,1,1,1,1,1,1
"224",1,1,1,1,1,1,1
"225",1,1,1,1,3,1,1
"226",1,1,1,1,1,1,1
"227",1,1,1,1,1,1,1
"228",1,1,1,1,1,1,1
"229",NA,NA,NA,NA,NA,NA,NA
"230",1,3,2,1,3,3,3
"231",1,1,1,1,1,1,1
"232",1,1,1,1,1,1,1
"233",NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA
"235",1,1,1,1,3,2,1
"236",1,1,1,1,1,1,1
"237",1,1,1,1,3,3,1
"238",1,1,1,1,3,3,3
"239",1,1,1,1,1,1,1
"240",NA,NA,NA,NA,NA,NA,NA
"241",1,1,1,1,3,3,1
"242",1,1,1,1,2,1,1
"243",NA,NA,NA,NA,NA,NA,NA
"244",1,1,1,1,1,1,1
"245",1,1,1,1,1,1,1
"246",1,2,2,1,3,3,3
"247",1,2,1,1,3,1,1
"248",1,1,1,1,1,1,1
"249",1,1,1,1,1,1,1
"250",NA,NA,NA,NA,NA,NA,NA
"251",1,1,1,1,1,1,1
"252",NA,NA,NA,NA,NA,NA,NA
"253",1,1,1,1,3,3,1
"254",NA,NA,NA,NA,NA,NA,NA
"255",1,1,1,3,3,1,1
"256",2,1,1,1,4,4,4
"257",1,1,1,1,1,1,1
"258",1,1,1,1,1,1,1
"259",1,1,1,1,2,2,1
"260",2,1,1,1,3,3,3
"261",NA,NA,NA,NA,NA,NA,NA
"262",1,1,1,1,3,2,1
"263",1,1,1,1,1,1,1
"264",2,3,3,2,4,3,3
"265",1,3,1,2,3,3,3
"266",1,1,1,1,3,3,3
"267",1,1,1,1,1,1,1
"268",1,1,1,1,2,1,1
"269",1,1,1,1,1,1,1
"270",1,3,3,2,3,3,3
"271",NA,NA,NA,NA,NA,NA,NA
"272",1,1,1,1,1,1,1
"273",1,1,1,1,1,1,1
"274",1,1,1,1,3,2,1
"275",1,1,1,1,2,1,1
"276",NA,NA,NA,NA,NA,NA,NA
"277",1,1,1,1,3,1,1
"278",2,1,2,1,1,3,3
"279",NA,NA,NA,NA,NA,NA,NA
"280",1,1,1,1,3,1,1
"281",1,1,1,1,1,1,1
"282",1,2,1,1,1,1,1
"283",4,2,1,1,1,1,1
"284",1,1,1,1,1,1,1
"285",NA,NA,NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA,NA,NA
"287",1,1,1,1,2,2,1
"288",1,1,1,1,3,2,1
"289",NA,NA,NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA
"291",1,2,2,2,2,2,2
"292",1,1,1,1,3,1,2
"293",1,1,1,1,1,1,2
"294",1,3,1,3,3,1,3
"295",NA,NA,NA,NA,NA,NA,NA
"296",1,1,1,1,1,1,1
"297",1,1,1,1,1,1,1
"298",1,NA,NA,NA,NA,NA,NA
"299",NA,1,1,1,1,1,1
"300",1,1,1,1,1,1,1
"301",1,1,1,1,1,1,1
"302",1,1,1,1,2,1,1
"303",1,1,1,1,1,1,1
"304",1,1,1,1,1,1,1
"305",1,1,1,1,1,1,1
"306",1,1,1,1,2,2,1
"307",1,1,1,1,1,1,2
"308",1,1,1,1,1,1,1
"309",1,1,1,1,1,1,1
"310",1,1,1,1,3,3,2
"311",1,1,1,1,3,1,1
"312",2,NA,NA,NA,NA,NA,NA
"313",NA,NA,NA,NA,NA,NA,NA
"314",1,1,1,1,1,1,1
"315",NA,1,1,1,1,1,1
"316",1,1,1,1,3,3,3
"317",NA,NA,NA,NA,NA,NA,NA
"318",1,1,1,1,1,1,1
"319",1,1,1,1,1,1,1
"320",1,2,1,1,3,2,2
"321",1,1,1,1,1,1,1
"322",NA,NA,NA,NA,NA,NA,NA
"323",1,1,1,1,3,3,1
"324",1,2,1,1,3,2,1
"325",NA,NA,NA,NA,NA,NA,NA
"326",1,1,1,1,3,1,3
"327",1,1,1,1,3,1,1
"328",2,3,3,1,4,4,3
"329",NA,NA,NA,NA,NA,NA,NA
"330",1,1,1,1,1,1,1
"331",NA,NA,NA,NA,NA,NA,NA
"332",1,1,1,1,3,3,1
"333",1,1,1,1,3,1,1
"334",1,1,1,1,1,1,1
"335",NA,NA,NA,NA,NA,NA,NA
"336",1,2,1,NA,1,1,1
"337",1,1,1,1,3,1,1
"338",NA,NA,NA,NA,NA,NA,NA
"339",NA,NA,NA,NA,NA,NA,NA
"340",3,1,1,1,1,1,1
"341",1,1,1,1,1,1,1
"342",NA,NA,NA,NA,NA,NA,NA
"343",1,1,1,1,3,3,3
"344",1,1,1,1,3,3,3
"345",1,3,1,1,3,3,3
"346",1,1,1,1,2,1,1
"347",1,1,1,1,1,1,1
"348",1,1,1,1,4,4,3
"349",NA,NA,NA,NA,NA,NA,NA
"350",NA,NA,NA,NA,NA,NA,NA
"351",NA,NA,NA,NA,NA,NA,NA
"352",1,1,1,1,2,2,1
"353",NA,NA,NA,NA,NA,NA,NA
"354",3,4,3,3,4,4,4
"355",1,1,1,1,3,3,3
"356",NA,NA,NA,NA,NA,NA,NA
"357",1,1,1,1,1,1,1
"358",1,1,1,1,2,2,2
"359",NA,NA,NA,NA,NA,NA,NA
"360",1,1,1,1,1,1,1
"361",1,1,1,1,1,1,1
"362",NA,NA,NA,NA,NA,NA,NA
"363",1,1,1,1,3,3,3
"364",NA,NA,NA,NA,NA,NA,NA
"365",2,2,1,1,4,4,4
"366",NA,NA,NA,NA,NA,NA,NA
"367",1,1,1,1,1,2,1
"368",1,3,3,1,3,3,1
"369",2,1,1,1,3,3,3
"370",1,1,1,1,1,1,1
"371",1,1,1,1,2,1,3
"372",1,2,1,1,2,2,1
"373",1,1,1,1,2,1,1
"374",NA,NA,NA,NA,NA,NA,NA
"375",1,1,1,1,3,3,1
"376",1,1,1,1,3,3,3
"377",NA,NA,NA,NA,NA,NA,NA
"378",1,1,1,1,1,1,1
"379",NA,NA,NA,NA,NA,NA,NA
"380",1,1,1,1,1,1,1
"381",1,3,1,1,3,3,1
"382",1,1,1,1,1,1,1
"383",1,1,1,1,1,1,1
"384",NA,NA,NA,NA,NA,NA,NA
"385",1,1,1,1,1,1,1
"386",1,1,1,1,1,1,1
"387",NA,NA,NA,NA,NA,NA,NA
"388",NA,NA,NA,NA,NA,NA,NA
"389",1,3,3,1,3,2,1
"390",1,1,1,1,2,2,2
"391",NA,NA,NA,NA,NA,NA,NA
"392",NA,NA,NA,NA,NA,NA,NA
"393",1,1,1,1,1,1,1
"394",1,1,1,1,1,1,1
"395",NA,NA,NA,NA,NA,NA,NA
"396",1,1,1,1,1,1,1
"397",1,1,1,1,3,3,2
"398",1,1,1,1,2,2,1
"399",1,3,2,2,4,4,4
"400",1,NA,NA,NA,NA,NA,NA
"401",1,1,1,1,1,1,1
"402",1,2,1,1,2,1,1
"403",NA,NA,NA,NA,NA,NA,NA
"404",2,1,1,1,4,4,4
"405",3,1,1,1,1,1,1
"406",NA,NA,NA,NA,NA,NA,NA
"407",1,1,1,1,1,1,1
"408",NA,NA,NA,NA,NA,NA,NA
"409",1,1,1,1,3,3,1
"410",1,1,1,1,1,1,1
"411",1,1,1,1,1,1,1
"412",1,1,1,1,4,3,3
"413",1,1,1,1,2,1,1
"414",1,1,1,1,1,1,1
"415",1,1,1,1,1,1,1
"416",NA,NA,NA,NA,NA,NA,NA
"417",1,1,1,1,3,2,1
"418",2,1,1,1,3,3,2
"419",NA,NA,NA,NA,NA,NA,NA
"420",1,1,1,1,3,3,3
"421",NA,NA,NA,NA,NA,NA,NA
"422",2,3,1,1,3,3,3
"423",NA,NA,NA,NA,NA,NA,NA
"424",1,1,1,1,1,1,1
"425",1,1,1,3,3,1,3
"426",1,2,1,1,2,1,1
"427",1,1,1,1,3,3,1
"428",NA,NA,NA,NA,NA,NA,NA
"429",1,1,1,1,1,1,1
"430",NA,NA,NA,NA,NA,NA,NA
"431",1,1,1,1,3,3,2
"432",NA,NA,NA,NA,NA,NA,NA
"433",1,1,1,1,1,1,1
"434",NA,NA,NA,NA,NA,NA,NA
"435",NA,NA,NA,NA,NA,NA,NA
"436",1,1,1,1,1,1,1
"437",1,1,1,1,1,1,1
"438",1,1,1,1,3,3,3
"439",1,1,1,1,1,1,1
"440",1,1,1,1,3,3,1
"441",NA,NA,NA,NA,NA,NA,NA
"442",1,1,1,1,3,3,3
"443",1,1,1,1,2,2,1
"444",1,1,1,1,3,3,3
"445",1,1,1,1,3,2,1
"446",NA,NA,NA,NA,NA,NA,NA
"447",NA,NA,NA,NA,NA,NA,NA
"448",1,1,1,1,3,3,3
"449",1,1,1,1,1,1,1
"450",1,1,1,1,1,1,1
"451",1,1,1,1,1,1,1
"452",NA,NA,NA,NA,NA,NA,NA
"453",1,1,1,1,3,3,1
"454",1,1,1,1,3,3,3
"455",1,1,1,1,3,3,1
"456",NA,NA,NA,NA,NA,NA,NA
"457",1,1,1,1,1,1,1
"458",1,1,1,1,1,1,1
"459",1,1,1,1,3,3,1
"460",1,1,1,1,2,2,1
"461",1,1,1,1,2,1,1
"462",NA,1,1,1,3,3,3
"463",1,3,2,1,4,4,4
"464",2,2,NA,2,3,3,3
"465",1,2,1,1,1,1,1
"466",NA,NA,NA,NA,NA,NA,NA
"467",2,3,3,3,3,1,3
"468",NA,NA,NA,NA,NA,NA,NA
"469",NA,NA,NA,NA,NA,NA,NA
"470",1,1,1,1,1,1,1
"471",1,1,1,1,3,1,1
"472",NA,NA,NA,NA,NA,NA,NA
"473",1,1,1,1,1,1,1
"474",NA,NA,NA,NA,NA,NA,NA
"475",1,3,3,1,4,4,4
"476",1,1,1,1,1,1,1
"477",1,1,1,1,1,1,1
"478",NA,NA,NA,NA,NA,NA,NA
"479",NA,NA,NA,NA,NA,NA,NA
"480",1,1,1,1,3,1,1
"481",1,NA,NA,NA,NA,NA,NA
"482",1,1,1,1,1,1,1
"483",1,1,1,1,1,1,1
"484",NA,NA,NA,NA,NA,NA,NA
"485",1,1,1,1,1,1,1
"486",NA,NA,NA,NA,NA,NA,NA
"487",1,1,1,1,1,1,2
"488",NA,NA,NA,NA,NA,NA,NA
"489",1,1,1,1,NA,1,1
"490",1,1,1,1,4,3,3
"491",3,4,4,4,4,4,4
"492",1,1,1,1,3,1,1
"493",NA,NA,NA,NA,NA,NA,NA
"494",1,1,1,1,1,1,1
"495",1,1,1,1,3,3,3
"496",1,1,1,1,1,1,1
"497",NA,NA,NA,NA,NA,NA,NA
"498",1,1,1,1,3,2,2
"499",1,1,1,1,1,1,1
"500",NA,NA,NA,NA,NA,NA,NA
"501",1,1,1,1,3,3,3
"502",NA,NA,NA,NA,NA,NA,NA
"503",NA,NA,NA,NA,NA,NA,NA
"504",1,1,1,1,1,1,1
"505",1,1,1,1,2,1,1
"506",1,1,1,1,1,1,1
"507",2,1,1,1,1,1,1
"508",NA,NA,NA,NA,NA,NA,NA
"509",1,1,1,3,3,1,1
"510",1,1,1,1,1,1,1
"511",1,1,1,1,2,1,1
"512",1,3,1,1,4,4,4
"513",1,1,1,1,1,1,1
"514",NA,NA,NA,NA,NA,NA,NA
"515",1,2,1,1,1,1,1
"516",1,1,1,1,3,3,3
"517",1,1,1,1,1,NA,1
"518",1,1,1,1,1,1,1
"519",1,1,1,1,1,1,1
"520",1,1,1,1,1,1,1
"521",1,2,1,1,3,2,2
"522",1,1,1,1,1,1,1
"523",1,1,1,1,1,1,1
"524",1,1,1,1,1,2,1
"525",1,1,1,1,3,3,3
"526",1,2,1,1,3,3,3
"527",1,1,1,NA,3,3,2
"528",1,1,1,1,1,1,1
"529",1,1,1,1,3,3,1
"530",1,1,1,1,1,2,2
"531",1,2,1,1,1,1,1
"532",1,1,1,1,1,1,1
"533",1,3,1,1,1,1,1
"534",1,1,1,1,1,1,1
"535",2,2,1,1,3,3,3
"536",1,1,1,1,1,1,1
"537",1,1,1,1,1,1,1
"538",NA,NA,NA,NA,NA,NA,NA
"539",1,1,1,1,1,1,1
"540",1,1,1,1,1,1,1
"541",NA,NA,NA,NA,NA,NA,NA
"542",NA,NA,NA,NA,NA,NA,NA
"543",3,1,1,1,1,1,1
"544",1,1,1,1,1,1,1
"545",1,3,1,1,3,1,1
"546",1,1,1,1,1,1,1
"547",1,1,1,1,3,1,1
"548",NA,NA,NA,NA,NA,NA,NA
"549",NA,NA,NA,NA,NA,NA,NA
"550",NA,NA,NA,NA,NA,NA,NA
"551",1,1,1,1,2,2,1
"552",1,3,1,1,3,3,1
"553",NA,NA,NA,NA,NA,NA,NA
"554",1,1,1,NA,3,3,1
"555",1,1,1,1,1,1,1
"556",1,2,1,1,3,1,1
"557",1,1,1,1,1,1,1
"558",1,1,1,1,4,3,3
"559",1,1,1,1,3,4,4
"560",1,1,1,NA,3,2,1
"561",NA,NA,NA,NA,NA,NA,NA
"562",NA,NA,NA,NA,NA,NA,NA
"563",1,1,1,1,1,1,1
"564",2,1,1,1,3,3,3
"565",NA,NA,NA,NA,NA,NA,NA
"566",NA,NA,NA,NA,NA,NA,NA
"567",1,1,1,1,1,1,1
"568",NA,NA,NA,NA,NA,NA,NA
"569",1,1,1,1,3,2,2
"570",NA,NA,NA,NA,NA,NA,NA
"571",1,1,1,1,1,1,1
"572",NA,NA,NA,NA,NA,NA,NA
"573",1,1,1,1,3,2,3
"574",1,2,1,1,3,3,2
"575",1,1,1,1,1,1,1
"576",NA,NA,NA,NA,NA,NA,NA
"577",1,1,1,1,1,1,1
"578",1,1,1,1,1,1,1
"579",NA,NA,NA,NA,NA,NA,NA
"580",1,2,2,2,4,4,4
"581",1,1,1,1,3,3,3
"582",1,1,1,1,3,2,1
"583",1,1,1,1,1,1,1
"584",NA,NA,NA,NA,NA,NA,NA
"585",1,1,1,1,1,1,1
"586",NA,NA,NA,NA,NA,NA,NA
"587",1,1,1,1,1,1,1
"588",1,1,1,1,1,1,1
"589",1,1,1,1,3,1,1
"590",1,1,1,1,1,1,1
"591",NA,NA,NA,NA,NA,NA,NA
"592",1,1,1,1,1,1,1
"593",1,2,1,1,3,3,3
"594",1,1,1,3,3,1,1
"595",1,1,1,1,1,1,1
"596",1,2,2,2,4,4,4
"597",1,1,1,1,2,2,1
"598",1,2,1,1,4,3,3
"599",NA,NA,NA,NA,NA,NA,NA
"600",1,1,1,1,3,2,NA
"601",1,1,1,1,3,3,3
"602",NA,NA,NA,NA,NA,NA,NA
"603",NA,NA,NA,NA,NA,NA,NA
"604",1,1,1,1,2,2,1
"605",2,1,1,1,3,3,3
"606",NA,NA,NA,NA,NA,NA,NA
"607",1,NA,NA,NA,NA,NA,NA
"608",NA,NA,NA,NA,NA,NA,NA
"609",1,1,1,1,1,1,1
"610",NA,NA,NA,NA,NA,NA,NA
"611",NA,NA,NA,NA,NA,NA,NA
"612",NA,NA,NA,NA,NA,NA,NA
"613",1,2,2,1,2,2,1
"614",NA,NA,NA,NA,NA,NA,NA
"615",NA,NA,NA,NA,NA,NA,NA
"616",1,1,1,1,3,1,1
"617",NA,NA,NA,NA,NA,NA,NA
"618",1,1,1,1,2,1,1
"619",1,3,3,3,3,3,3
"620",1,1,1,1,1,1,1
"621",NA,NA,NA,NA,NA,NA,NA
"622",NA,NA,NA,NA,NA,NA,NA
"623",1,1,1,1,2,1,1
"624",1,1,1,1,3,3,2
"625",1,1,1,1,3,3,2
"626",1,1,1,1,1,1,1
"627",NA,NA,NA,NA,NA,NA,NA
"628",1,1,1,1,3,3,1
"629",NA,NA,NA,NA,NA,NA,NA
"630",NA,NA,NA,NA,NA,NA,NA
"631",1,1,1,1,2,2,1
"632",1,1,1,1,1,1,1
"633",1,1,1,1,2,1,1
"634",1,1,1,1,2,2,2
"635",NA,NA,NA,NA,NA,NA,NA
"636",1,1,1,1,1,1,1
"637",NA,NA,NA,NA,NA,NA,NA
"638",1,1,1,1,1,1,1
"639",1,2,1,1,2,1,1
"640",1,2,1,1,3,1,1
"641",NA,NA,NA,NA,NA,NA,NA
"642",1,1,1,1,3,3,2
"643",1,1,1,1,1,1,1
"644",1,1,1,1,2,1,1
"645",1,1,1,1,1,1,1
"646",3,3,2,2,3,3,3
"647",1,1,1,1,1,1,1
"648",1,1,1,1,1,1,1
"649",1,1,1,1,1,1,1
"650",1,1,1,1,1,1,1
"651",NA,NA,NA,NA,NA,NA,NA
"652",1,1,1,1,2,1,1
"653",1,1,1,1,3,1,1
"654",1,1,1,1,1,1,1
"655",NA,NA,NA,NA,NA,NA,NA
"656",1,1,1,1,2,1,2
"657",1,1,1,1,1,1,1
"658",1,2,1,1,3,2,2
"659",NA,NA,NA,NA,NA,NA,NA
"660",1,1,1,1,3,3,3
"661",NA,NA,NA,NA,NA,NA,NA
"662",1,1,1,1,1,1,1
"663",1,2,1,1,4,3,3
"664",1,2,1,1,3,3,3
"665",2,1,1,1,4,4,4
"666",1,1,1,1,3,3,3
"667",1,1,1,1,1,1,1
"668",1,1,1,1,3,1,1
"669",1,1,1,1,1,1,1
"670",1,1,1,1,1,1,1
"671",1,1,1,1,1,1,1
"672",1,1,1,1,3,3,3
"673",NA,NA,NA,NA,NA,NA,NA
"674",1,1,1,1,3,3,1
"675",1,1,1,1,1,1,1
"676",1,1,1,1,3,3,3
"677",1,1,1,1,1,1,1
"678",1,1,1,1,1,1,1
"679",1,NA,NA,NA,NA,NA,NA
"680",NA,NA,NA,NA,NA,NA,NA
"681",1,1,1,1,2,1,1
"682",NA,NA,NA,NA,NA,NA,NA
"683",1,1,1,1,3,3,3
"684",2,1,1,1,3,3,3
"685",1,1,1,1,3,3,3
"686",NA,NA,NA,NA,NA,NA,NA
"687",NA,NA,NA,NA,NA,NA,NA
"688",1,1,1,1,1,1,1
"689",3,1,1,1,3,2,2
"690",NA,NA,NA,NA,NA,NA,NA
"691",1,1,1,1,2,1,1
"692",1,2,2,1,1,1,1
"693",1,2,2,1,4,4,4
"694",NA,NA,NA,NA,NA,NA,NA
"695",NA,NA,NA,NA,NA,NA,NA
"696",1,1,1,1,2,2,1
"697",1,2,1,1,1,1,1
"698",1,2,1,1,3,3,2
"699",1,1,1,1,3,1,1
"700",1,1,1,1,3,1,2
"701",1,1,1,1,1,1,1
"702",1,1,1,1,1,1,1
"703",1,1,1,1,1,1,1
"704",1,1,1,1,3,2,1
"705",1,1,1,1,3,4,2
"706",1,4,1,1,3,2,1
"707",1,1,1,1,1,1,1
"708",1,1,1,1,4,3,2
"709",1,1,1,1,4,3,3
"710",NA,NA,NA,NA,NA,NA,NA
"711",NA,NA,NA,NA,NA,NA,NA
"712",NA,NA,NA,NA,NA,NA,NA
"713",1,1,1,1,1,1,1
"714",NA,NA,NA,NA,NA,NA,NA
"715",1,1,1,1,3,2,2
"716",1,1,1,1,1,1,1
"717",1,1,1,1,3,1,1
"718",1,1,1,1,1,1,1
"719",NA,NA,NA,NA,NA,NA,NA
"720",1,1,1,1,2,2,1
"721",1,1,1,1,1,1,1
"722",NA,NA,NA,NA,NA,NA,NA
"723",1,3,3,2,2,2,1
"724",1,1,1,1,1,1,1
"725",1,1,1,1,3,3,1
"726",1,1,1,1,1,1,1
"727",1,1,2,1,3,3,3
"728",1,1,1,1,1,1,2
