"","perl_best_thing","perl_frustrates_most","describe_perl"
"41","it does small things well, and large things well too (though your approach has to be different, more disciplined)","most of our software at my current company is in perl, but because the software is regarded as ""legacy"", perl is lumped into the same basket.  i'd rather redevelop our existing apps in perl, and do them well, than adopt another framework and language.","concise, flexible, powerful, elegant"
"42","","",""
"43","","",""
"44","","",""
"45","being able to extend the language from within the language","hitting corner cases and mistakes of syntax which exist only for back-compat reasons","a flexible, reflective programming language"
"46","","",""
"47","","",""
"48","","",""
"49","","",""
"50","Simplicity","Syntax of OO coding",""
"51","It has a very wide choice of tools and interfaces written for it.","nothing, it's Perl coders who frustrate me.","flexible toolbox for hacking"
"52","flexibility, CPAN","it's flexability for poorly written code","perl is my best friend"
"53","regex","Syntax",""
"54","it is quick to write and fast to execute.","the gawd-awful implementation of classes.","Swiss Army knife of Languages"
"55","There's more than one way to do it.","",""
"56","CPAN.","Lack of formal parameters for functions.","flexible"
"57","","",""
"58","It just plain works and is maintainable easily across many platforms.","Some persons or people write very convoluted CPAN code and some times gets very cryptic about usage.","flexible extensible extendable x-platform usable"
"59","","",""
"60","Rapid prototyping is possible","All documentation examples don't ""use strict""","easy scripting"
"61","CPAN","",""
"62","flexibility","my own code, sometimes",""
"63","","",""
"64","","",""
"65","Perl 6 experimental features and Damian Conway.","Bad code/coders.","Handy scripting tool."
"66","CPAN","syntax","flexible"
"67","Rich, expressive and powerful","Occasional inconsistencies.","Awesomely useful"
"68","it works mostly ""out of the box""","lack of ""c++"" OO paradigms, no ""super strict"" mode","unix superglue"
"69","Its flexibility.","Its flexibility that results in the fact that you can't rely on anything and have to check for yourself. Be it function arguments, the type of something or the existance of something. Folks aren't even able to settle on a thing as simple as a version.","CPAN and the maintenance nightmare."
"70","","",""
"71","CPAN","Memory usage is difficult to control (specifically releasing back to OS after a big operation).","Perl gets things done."
"72","It's flexibility, it's freedom","It's flexibility, it's freedom","TIMTOWTDI, gets work done, lets me do stuf my way"
"73","it's hard to nail down one thing, but regular expressions were the initial draw for me and are often why I return to Perl.  That and CPAN.  Devs who don't use Perl are usually stunned when they see the variety of freely available modules in the CPAN.","Having used languages with named captures in regular expressions, I really like them and they make the maintenance chore of updating capture indices a non-issue.  If perl 5 has named captures, I must be missing it.","powerful, terse, robust, flexible, useful"
"74","Ease of use.","Since it is an interpreted language, speed is sometimes an issue.","The Swiss-Army Knife of Programming Languages"
"75","CPAN","Missing meta-information on CPAN packages","human programming language"
"76","","",""
"77","free","",""
"78","cpan","it's not ruby","powerful inconsistent syntax "
"79","fun","write-only",""
"80","","",""
"81","","",""
"82","","",""
"83","Manuplexity + Whipupitude ","slow","express yourself"
"84","","",""
"85","CPAN","OO system, reference syntax, sigils","pathologically eclectic rubbish lister"
"86","","",""
"87","The CPAN and its documentation.","To many ""line noise"" characters.","Perl is the ""work camel"" of scripting languages."
"88","","",""
"89","very wide community who uses perl and very easy to get modules from CPAN.[CR]alomost everything i can do in perl.","multithreading feature is not up to the expectaions. Needs serious campaign to promote this language around the world, sometimes get frustrated when people don't cosider this language for application development.","very usefull programming language."
"90","cpan","lack of oo syntax. while moosex::declare fixes this, it breaks many tools (ppi based, perltidy at least).",""
"91","CPAN","CPAN",""
"92","CPAN, flexibity, text handling","","universal programming language"
"93","","",""
"94","perlgolf! ;-)[CR]Well, that and the ease of implementation whatever needs to be done in the moment; the magnificience and variety that is CPAN; and the people in the #perl* IRC channels, of course. :)","I'm not sure. It's pretty much my first-choice programming language when it comes to anything.. even areas where perl isn't/wasn't (?) fully supporting current schemes yet (i.e. GUI support: QT).","Pirates' errands run literally well"
"95","Write fast, hope to not have to read it again.","Too easy to make mistake","Make it work yesterday."
"96","CPAN","CPAN",""
"97","cpan and the high quality of its community.","the infinite delay of perl6. The implementation of a modern object system ˆ la moose in the perl core.[CR] ","freedom, expertise, legacy, ubiquitous, friendly"
"98","","",""
"99","maturity ubiquity","maintainability scalability","scripting language, for medium projects"
"100","backwards compatibility","backwards compatibility","backwards compatibility is sort of wierd"
"101","","",""
"102","","",""
"103","CPAN, Community, Power, Flixibility","pod","Flexible powerfull programming with fun"
"104","","",""
"105","fast development and availability of modules via CPAN","managing dependencies of CPAN modules","powerful enough to hang yourself"
"106","","",""
"107","String Processing","Side effects","unreadable, poorly-designed, impossible, stupid"
"108","it makes easy things easy, and complex things possible","it seems to be lagging behind other dynamic languages",""
"109","It has crutches if you need them and works well if you want to stay portable with basic coding.","When I use a module to get quick code out the door then something changes and that module has become outdated. Then, I have to do what I should have done in the first place.","Good language with few quirks"
"110","","","easy, fast..."
"111","there are many ways to do things","Weak and verbose OOP support in mainstream versions - 5.6, 5.8.[CR]Complex extension programming (XS).","powerful, easy, fast, beauty, intuitive"
"112","That it's perl","edge cases",""
"113","","",""
"114","","",""
"115","expresivity","the perl6 launch ","great context to learn cs "
"116","","",""
"117","How fast you can create something with it.","The ability to write really nasty / unmaintainable code in it.","fast prototyping, easy, extended"
"118","there is more than one way to do it","","I love Perl"
"119","Regular Expressions in one liner","Lack of OO Support","Solve problems very quick an mostly dirty"
"120","The LibXML module is awesome. ","Module documentation is often poor. And really hard for me to read as a non-programmer type of person. ","relatively easy to learn"
"121","good tool for prototyping","errors regarding memory management / multithreading on Windows","Useful"
"122","","",""
"123","Quick and dirty problem solving","","sysadmin text hack"
"124","","",""
"125","it's free and powerfull","lack of modules for OpenVMS",""
"126","CPAN","","powerful concise; cpan modules rock"
"127","","",""
"128","Moose","The lack of up to date books, e.g. on Moose ; perl + web2 (e.g. perl + template toolkit + javascript)","very versatile tool for almost any situation"
"129","","",""
"130","","",""
"131","","",""
"132","","",""
"133","Fast, fast, fast.  To develop, that is.  Put together code as fast as you can figure out what you want the computer to do.  I call it ""The plastic pipe and duct tape of computer languages"".","Imprecision - the magical features of Perl can make it seem like nailing jelly to a wall.","You Don't Have To Learn the Other Way"
"134","that I can go farther, faster with less code.","the number of unmaintained or lightly-maintained modules on CPAN; when core modules don't handle new features (try Storable::dclone on a Regexp under 5.12 if you're into fatal errors) it really worries me.","expressive; works with me not against me"
"135","Flexibility.","Again, flexibility.",""
"136","","",""
"137","The lack of shame when stealing other languages features","The lack of my time to contribute more","secure robust proven stable irreverent"
"138","","",""
"139","","",""
"140","CPAN","Diversity","concise louse glue report parse"
"141","not to use it","everything","crap useless"
"142","","",""
"143","CPAN with its 12000+ modules when I counted a while back. Also, a very helpful community.","1. It's use of sigils. When breaking backward compatibility with Perl 5, Perl 6 could have chosen to do away with the sigils entirely, IMO. A sans-sigils code would make Perl much more readable.[CR][CR]2. No good perl to exe converter. There are times when I badly want to give away my program to somebody but also hide its code/logic. I cannot (easily/reliably) do that right now. Even an plain-text obfuscator would work for me, provided one is available. Please do something about it fast.[CR]","Perl is a great lang, would hate to see it go away"
"144","","",""
"145","Taint mode, flexibility, CPAN, mod_perl","Outdated and difficult-to-use support for threading, GUI","secure powerful fast flexible magic"
"146","Inherent, inline regex","Lack of local jobs","Better Living Through Line Noise"
"147","","",""
"148","freedom of codewriting","a lot of  bad-style scripts/ programs","free flexibility crosplatform  system-integrated"
"149","It's ubiquity","The sigils","It was good for its time"
"150","The thriving ""ecosystem"" of cpan, perl mongers, etc at the core of the community","Being sidelined when software projects don't bother providing a perl API, difficulty in working with C/C++","a universe of awesome"
"151","regular expressions","delay of perl6","good reporting and converting tool"
"152","Perl is extremely flexible and has a large body of work in CPAN to help with any project.","The common perception that Perl is unreadable and because of its flexibility programmers with poor organization can make a mess easily.","flexible, extensible, powerful, quick, convenient"
"153","","",""
"154","text processing made easy","I can't, unlike in most other modern languages, process a string like any other sequence (eg using $string[3] to access the 3rd (or rather 4th) character in $string","gets it done - fast"
"155","CPAN","cruft, dead links, old documentation, impossible to keep up with best practices and preferred modules","Perl gets the job done"
"156","","",""
"157","Flexibility and concision of syntax.","The community, who spend more time talking about how Perl isn't dead than showing *why* it isn't dead.",""
"158","It's got a solid design foundation, and has been extended very well. DBI works fabulously.  It's easy to learn.  The man pages were a lot of fun to read, and are very thorough and honest.  The author (was it Larry Wall?) wrote about capabilities, and sometimes unexpected results in a way that I have never seen anywhere else, and it's a resource that has multiplied the value of perl several times over.","Sometimes it was hard to find the right man page when I wanted to look up the purpose of a symbol or combination of symbols.  I think I know what they all mean, now, though.","perl works very well"
"159","Consistency","Object Oriented Programming","Best tool for data transformation."
"160","","",""
"161","","",""
"162","","",""
"163","Plays well with others","Frustrating GUI toolkit bindings","sed awk lisp in one"
"164","CPAN, Scraper","inactive in large projects","good but far from perfect"
"165","RegExp!","OO approach is a mess",""
"166","sigils","context",""
"167","CPAN and it works everywhere","Module installations and upgrades, although cpanminus makes it a lot better. Shared hosting.","totally love it"
"168","Freedom","Close-minded and selfish programmers","fast, easy, beautiful, smart, free"
"169","Its *nix heritage; its devoted community. I'm impressed by advances like Moose, PSGI & Plack, Catalyst, DBIx::Class, etc., and I'm eager to see these ""Best Practices"" continue to add polish and readability.[CR][CR]Also, I've got to give a nod to Inline::Java; the other members of my team are dyed-in-the-wool Java/GoF/Design Pattern weenies, but when I wrapped their back-end .jar files in a Catalyst App, they were impressed.","Its ""stigma"" as arcane.  I was an Amiga guy back-in-the-day, and Perl very much feels like the ""technically superior, but lacking mainstream respect"" technology.","""Swiss-Army Chainsaw"" sums it up nicely"
"170","CPAN","The whole Perl6 story would be exactly what you would do if you wanted to destroy perl.","CPAN plus duct-tape equals programs"
"171","flexibility...","...flexibility (far too easy to shoot yourself in the foot)","swiss army knife"
"172","It's quick to design a script...very little overhead.","None of the newer functionality such as C# has.",""
"173","","",""
"174","CPAN","","practical, light, quick, easy, helpfull"
"175","","",""
"176","","",""
"177","","",""
"178","good for small tools for admins and web programming","too many syntax variation, difficult to read complex data structures","my preferred admin tool"
"179","","",""
"180","the community: established, true-believers, smart developers with varied backgrounds and an insistence that perl can do anything","the community: entrenched, true-believers who insist that perl can do anything, and that adopting new functionality can only be achieved if it is done better than others.","first language, last language"
"181","closures","use utf8",""
"182","","",""
"183","TMTOWTDI","TMTOWTDI","fast amazing different best new"
"184","You can do a lot with very little code.[CR]It's a very natural language, it's easy for me to ""think"" in Perl","No block comments.[CR]Memory constraints makes it slow sometimes.","robust quick easy natural"
"185","For me, the best thing about Perl is that it eliminate the need for: SED/AWK, BASH and a few other UNIX Tools.","Not easy to debug.","text processing made easy and fast."
"186","","",""
"187","The flexibility of the language.[CR]After that, it's the community (CPAN).","Can't integrate it easily in Apache like with PHP, lack of wanting to show off Perl to the public, not enough support for libraries (GIMP, Blender), no CTypes-like interface like in Python, etc. etc.[CR]Pick one.","A flexible, strong, versatile, dynamic, fun lang"
"188","","",""
"189","","",""
"190","","",""
"191","","",""
"192","","",""
"193","TMTOWTDI[CR]CPAN[CR]","Hard to deploy in restricted environment like shared hosting[CR]Lack of popularity",""
"194","CPAN, testing","coding style","cleans all kitchen sinks"
"195","Syntax (the part that's good), power, speed, CPAN.","Syntax (the other part that's bad).","fast, powerful, mutable, does what programmer want"
"196","","",""
"197","","",""
"198","fun, yes, we write perl scripts for fun.","perl5 object;cpan bugs;","interesting, strong, "
"199","Community development","Legacy code confusing people about good practice",""
"200","easy to learn","difficult to understand other people's code"," Practical Extraction and Report Language"
"201","Integration of regexes","Lack of typechecking","Best for small hacks"
"202","its community and the CPAN.","that it has an undeserved bad reputation of being unmaintainable, which makes it harder to market Perl-based projects.",""
"203","CPAN","XS module deployment in datacenters without C compiler.","regex own all"
"204","","",""
"205","","",""
"206","CPAN, if you have to do something someone has done it. [CR]That you can define your own codeing style, readable or not is your own decision","Reading old code that has no comments","practical, fast, easy use of lists/strings"
"207","It lets me get stuff done. It allows but does not enforce object-oriented and/or functional style programming.","1) Getting some modules to compile.[CR]2) It spoils me to the point that other (most) other programming languages are frustrating.","Get on with it!"
"208","CPAN","","quick dirty hack"
"209","culture","syntax","ugly practical high-level task-orientied open"
"210","I love its flexibility","Code is easily scrambled, you can start it right, but sooner or later, and this depends in the amount of people touching the code and its level of expertise, I will become difficult to read.","TIMTOWTDI means just do it"
"211","CPAN and expressive syntax","Packaging and deployment of perl apps","expressive efficient ubiquitous fading"
"212","Having the luxury of working at a high level to do more work in less time, while also having the flexibility to work at a lower level if you so choose.","The community is very divided on important topics, and it seems to be okay with this.  Any attempt to build a support base on a particular issue is seen as engendering dogmatic views, or as unnecessary and pointless (or sometimes both).","Powerful, Elastic, Robust, Living!"
"213","Dynamic, lambda, flexible.","Aging, decrepit, no useful threading or parallelism.",""
"214","","",""
"215","","",""
"216","everything :)","that others who don't know Perl say bad things about it","intuitive, clean, cool, community, versatile "
"217","CPAN[CR]","Argument handling","brevity, plenty of libraries"
"218","regex","perlisms","efficient text searches"
"219","","",""
"220","","",""
"221","","",""
"222","its capabilities, convenience as web programming language, good web apps (such as MovableType) are developed using perl ","Maybe, it might have been better advertised like the PHP is being advertised...","straightforward, result-oriented, common, capable"
"223","concise idiomatic shortcuts for expressing common tasks","ambiguity about & pitfalls with dealing with byte strings versus character strings",""
"224","don't know","non maintainable code. Not standardized. Cryptic language. If Larry Wall does not proceed, perl does not proceed.","deprecated, cryptic language"
"225","small code size","global variable ($_ $@ $/ etc)","duct tape of the internet"
"226","","It's not python.",""
"227","","",""
"228","you can do just about anything with it","some of the things people do with it shouldn't be allowed","It just works"
"229","","",""
"230","CPAN","How easy it is to write crappy old-fashioned and unmaintainable code","Very sharp use with caution"
"231","Everything","Nothing","Neato"
"232","TMTOWTDI.  Perl has a lot of syntactic tools, you'll find one almost perfectly suitable for any problem.","It's a HUGE language, it's hard to master all of it.","TMTOWTDI"
"233","","",""
"234","","",""
"235","weak typing","weak typing, native object support","whippitupitude"
"236","","","unreadable source code"
"237","the good modules on CPAN","the bad modules on CPAN","get the job done"
"238","CPAN, hashtable, reference, regular expression, syntaxe can be as natural as english language.","people saying Perl is Dead or is not easy tu understand","Perl is the best multisystem programming language."
"239","multi purpose applicability [CR]the tons of modules for each demand","object vs. procedural programming syntax.[CR]die ""this is a correct error message - but not a case of death""","Programm Easy And Run Lovely"
"240","","",""
"241","the CPAN","many ways of doing things",""
"242","everyone can code using his own coding-style[CR]just start programming and it will do something[CR][CR]","no multi-line comments [CR]finding memory leeks is complicated[CR]utf-8/encoding-subjects are confusing[CR]dirty code can be written easily","simpel, free, quick, cool, powerful, dirty code, "
"243","","",""
"244","text processing","maintainability of old perl scripts. I would like to have a language between perl and python.","terse"
"245","cpan","readability",""
"246","regular expressions and string handling","trying to find a bug in an inline block where it just reports the line that starts the block","awesome do everything programming language"
"247","","",""
"248","CPAN, Catalyst, Moose","","pleasure of coding"
"249","","",""
"250","","",""
"251","perl data structures and cpan libraries","no object oriented language","great languaje and great community"
"252","","",""
"253","CPAN, which makes perl the ultimate rapid application development tool, cause everything has already been written and is being given away for free","Not as much GUI support","open symbolic dynamic kitchen sink"
"254","","",""
"255","I know it well","I'm finding it difficult to hire inexpensive Perl developers",""
"256","cpan and the community.","the lack of skilled programmers in my area.","cpan flexible adaptable community agile"
"257","it solves problems quick and clean, if errors occour it mostly tells very directly what went wrong. perl was my first programming language and after i understand the most things i never had big problems with another programming languages ;)","sometimes hashes of hashes","my first programming language love"
"258","it's main designer thought perl should be informed by what we know about human beings and languages ","it's flexibility leads to a lot of insane code, that actually works [but don't try to change it]",""
"259","CPAN","warnings that should really be errors","flexible mature extensible elegant"
"260","lets me focus on my problem, not the language","Sometimes makes me focus on issues around the language, taking my focus away from solving my problem.","do what I mean"
"261","","",""
"262","C/Unix-like.","Lack of Perl 6.","Concise, flexible, powerful."
"263","How much power you have with so little code.","Nothing.",""
"264","","",""
"265","High flexibility due to loose typing","Inconvenient Unicode/UTF8 handling (and documentation).","The unbeatable sword for computer ninjas"
"266","CPAN.","Legacy.","Adaptive."
"267","to get solutions rapidly","hard to get executables","my favourite programming language"
"268","Only few basic types","","easy "
"269","Lack of ""types""","OO programming is more difficult using perl",""
"270","CPAN - don't reinvent the wheel. Community - a big family.","The lack of real good thread support. Some minor things.","Dynamic. Powerful. Open. Great."
"271","","",""
"272","It's unique, but UNIX-related, culture.","How much badly written Perl code there is.","Power to the programmer"
"273","how different it is from other programming languages.  It forces you -- or allows you -- to think about solutions and programming in a different way.","If you don't keep up with it, it's hard to read when you go back and look at your older code -- more so than a language like Java.","innovative interesting fun"
"274","","",""
"275","it works","",""
"276","","",""
"277","CPAN,XS","Waiting for Perl 6[CR]","flexible"
"278","flexibility and large codebase (CPAN)","its too easy to make your code ""write once""","enough rope for a bridge or to hang yourself"
"279","","",""
"280","flexibility, community support, huge range of modules covering everything across the rainbow","speed, lack of native object orientation (frameworks are really slow!)","wonderful, powerful, flexible, clever, unique"
"281","","",""
"282","it facilitates programming with emphasis on whichever vertex of the project triangle (speed vs. quality vs. cost) suits your needs.","The vagueness of CPAN dependencies and it's incompatibility with other package management systems.","Oh cool, I just did that with perl(.|!|?)"
"283","cross platform","the syntax",""
"284","CPAN, and it can be very concise and expressive","peculiar semantics and unpleasant syntax",""
"285","","",""
"286","","",""
"287","flexibility, CPAN, comunity","too easy to write stupid code","special force programming tool"
"288","it runs virtually everywhere[CR]easy deployment","cumbersome multidimensional arrays[CR]parameter passing of complex data structures[CR]semantic overload for symbols","programmers swiss army knife"
"289","","",""
"290","","",""
"291","","",""
"292","flexibility","other people's perception of the language","Good tool, but few locals know and like it."
"293","CPAN modules for everything under the sun, all free.","The approach of interpreting an unusual construct in the most generous light, i.e. the programmer must have meant X so we'll do it that way, instead of throwing an error. As a simple example, assigning a scalar to an array or vice versa doesn't throw an error, it just triggers a different interpretation. I'd like a little less TMTOWTDI at the syntax level in exchange for stronger error checking.","compact powerful mature elegant rapid"
"294","Its potency:  it has answers to nearly all questions.","Trying to figure out the quality of specific extensions.","""It's in there."""
"295","","",""
"296","i can do it the way i want it (timtowtdi)","syntax hard to remember sometimes","useful tool for solving a multitude of problems"
"297","","",""
"298","","",""
"299","","",""
"300","It sorta goes with the UNIX/Linux flow of things","","excellent admin tool"
"301","You can do anything with it.","You can do anything with it, but sometimes it's not the best tool for the job.","The greatest bar band of languages."
"302","It is short, efficient and fast. You can programm the way you think.","I think in large projects it is hard to maintain. For novice programmers it is hard to read and understand.","short fast efficient hard"
"303","","",""
"304","dinamics, oop, work speed, development speed","my $self = shift; [CR]not professional programmers, [CR]IDE like Visual Studio","best, simple, understandable, fast, "
"305","CPAN","more than one way to do it",""
"306","CPAN","The insane syntax for data structures. Nesting referenced arrays and stuff to create data structures is very hard to spot errors in. The object oriented syntax isn't clean enough either, we should have had Ruby there.","The glue of the Internet."
"307","mature and stable[CR]big community[CR]good documentation[CR]Testdriven[CR]cpan has everything you need[CR]it's very consistent","perl has many catches, which overwhelm inexperienced. (E.g., use English, autovivification, eval + $ @ , etc)[CR]to restrictive in adding new features[CR]buggy threading[CR]missing modern syntaxsugar like Method::Signatures (with or without typecheck)[CR]missing optional typesystem","get things done"
"308","flexibility[CR]CPAN","It doesn't really frustrate me anymore.","powerful but ugly"
"309","The ability to slurp and process large amounts of data with easily written programs is the best thing about Perl.","The thing that frustrates me about Perl is its initial foundation which did not focus on a separation of public and private variables, object oriented design, or the importance of secure database transactions.","fast, easy, swiss army knife"
"310","Aesthetics, pragmatism, libraries.","References and reference syntax.",""
"311","CPAN","The object system is either cumbersome if building from scratch or bloated if using Moose.","High level power at a reasonable price."
"312","","",""
"313","","",""
"314","Its ubiquity.","Occasional uncertainty about context","Code for all reasons"
"315","if it doesn't work otherweise ...","",""
"316","TIMTOWDY and easily extensible one-liners; fast deployment","Scope, data structures and object orientation","scripty programmer-fast"
"317","","",""
"318","there is always more than one way to do a thing!","The community is shrinking as compared to others.","what you need, when you need it"
"319","The versatility.","The many ways of doing things.","Versatile, Powerful, Dynamic, Useful"
"320","regex, cpan, ","cpan","easy, quick, scalable"
"321","many modules and methods","can be cryptic",""
"322","","",""
"323","Flexible programming paradigms. Moose. Expressive language.","Funky object system. Reliability of any given module on CPAN to install. Bindings for 3rd party C libraries, such as GUI, not as plentiful or awesome as in Python.","Dynamic. Artistic. Effective."
"324","I know it. It fits my brain instead of having to make my brain fit it.","distributing applications can be painful","yes it can do that"
"325","","",""
"326","vivification","The slow evolvement to perl 6.[CR]The poor objectorienttating of perl 5.","Best Programming Languge up to 1000 Lines ;)"
"327","one liners or otherwise unit tests.","nothing comes to mind","moo"
"328","the CPAN and the community","neophilia in some parts of the community and pointless use of huge dependency chains in code",""
"329","","",""
"330","CPAN hands down","slow release of perl6","can solve almost any problem"
"331","","",""
"332","its powerful syntax and huge number of modules on CPAN[CR]","lack of real threading",""
"333","Rapid dev ability, ","Lack of typing and function declarations - some things are *too* loose, and I'd like to be able to tighten things as needed. For example, the inability to declare function args and return types makes auto-generating WSDLs Really Hard.[CR][CR]- Inefficient threading model. I've had to abandon threading in more than one instance due to the memory footprint.[CR][CR]- I'd Really Really like a better SOAP implementation.","quick and dirty get it done fast"
"334","fast","dependency of modules","weired but cool"
"335","","",""
"336","It's good for trial runs of software, prior to their implementation in a language such as C.","It doesn't have multi-line comments","quick kludge test automate "
"337","It fits the way I think. TIMTOWTDI is a great thing.","My ignorance level. TIMTOWTDI can be a royal pain.","Just get things done"
"338","","",""
"339","","",""
"340","you can simplify things, which are difficult in other languages","its hard to read code from someone else. especially if you are new on perl","useful, easy, difficult, fast, allround-talent"
"341","","",""
"342","","",""
"343","","",""
"344","","",""
"345","rapid program prototyping and versatility.","reading regex","versatile, fast, simple and robust"
"346","","",""
"347","perl tries to do what you intend, and has great syntactical flexibility","memory usage is high in many cases",""
"348","The community. In the absence of Perl 6, Moose has taken up the reigns of keeping the language fresh. DBIx::Class makes vendor-neutral DB programming a breeze, while the web frameworks really aid productivity","The lost mindshare because Perl 6 has taken so long to arrive. Many programmers have left the Perl fold because it was seen as fusty and old. They won't come back to Perl, even with advances like Moose, because they've now invested so much in alternative languages while way.","We're still here!"
"349","","",""
"350","","",""
"351","","",""
"352","CPAN[CR]Community","","The alicate tool on programming"
"353","","",""
"354","CPAN, the community","its reputation, my constant struggle to have it viewed at work/in science as not-just-a-shell-replacement, the Perl6 debacle, the bizarre maze of macros that is the perl5 core, and to some extend the extreme backwards-compatibility requirement of the perl5-porters (which has valid reasons)","gets the job done beautifully&effectively"
"355","Flexibility to do as I want, how I went, when I want.","Flexibility to do as I want, how I went, when I want and its failure to not shoot me for doing something stupid.","flexible"
"356","","",""
"357","","CPAN modules that do not work being accepted on cpan.",""
"358","freedom","syntax for methods/arguments is too much typing.[CR]i.e.[CR]sub do_it[CR]{[CR]  my($self, $param, $param, @list) = @_;[CR][CR]..","it gets me hot"
"359","","",""
"360","perl had good ideas for the language (PCRE, hashs) not available at the time in other dynamic languages. [CR]There is a huge pool of often helpfull CPAN modules","more effort neccessary keep code lean for larger projects",""
"361","portability, regular expressions, large support base of modules","hard to debug, hard to find out why add on modules sometimes won't compile.","swiss-army knife language"
"362","","",""
"363","cpan, flexibility","",""
"364","","",""
"365","CPAN","It's invalid perception amongst the general tech community","Powerfully Elegant Regal Language"
"366","","",""
"367","Its extendibility.","There's no mature compiler.","flexible simple extendible powerful cool"
"368","CPAN choice[CR]Portability","","Best Old, Perl6 Strongly Awaited"
"369","the wealth of modules available","","flexible powerful expressive practical"
"370","","",""
"371","TIMTOWTDI","Perl 6 is probably not going to arrive in my lifetime","better than shell scripting"
"372","The degree to which the language doesn't get in my way when trying to write something.","That it is considered to be part of the 'old' web, and newer, less-capable and uglier languages (PHP) get all the press.","tool for getting things done."
"373","The CPAN.","Non-Perl users perceive it as uncool.","Practical Extraction and Report Language. :)"
"374","","",""
"375","stable on any plattforms","to many geeks, looks old fashion","stable, cross plattform support, cpan"
"376","TIMTOWTDI, its ability to provide high-level abstractions concisely, and the endless creativity and generosity of the community.","other people's misconceptions about perl, various inconsistencies and ugliness in the core language, TIMTOWTDI (sometimes)","flexible, practical, powerful, deep, interesting"
"377","","",""
"378","regular expressions","python seems to be the new language of choice and it seems that management (in my company anyway) wants to see projects done with python, cython and DJango. ","fast, powerful programming language."
"379","","",""
"380","","",""
"381","The community","",""
"382","","",""
"383","There's More Than One Way To Do It","No acceptance in my surrounding, Freakimage","I love it"
"384","","",""
"385","","",""
"386","regex","conflicts between CPAN dependencies",""
"387","","",""
"388","","",""
"389","How easily I can process text files.","I wish more CPAN modules were part of the standard distribution.  In some cases, it is not trivial to download and install modules globally.","parsing, text processing"
"390","the community","that more places don't mandate it.","flexibile, friendly, fast."
"391","","",""
"392","","",""
"393","flexibility","cpan/build inconsistencies between linux and windows.","an elegant flexible problem solving tool"
"394","","","semantics irregular, notation execrable"
"395","","",""
